"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.533897690E-1	-9.635316730E-1	-3.941478580E-2	-1.809884310E0
1.557169880E-1	-9.906959534E-1	-1.597896591E-2	-1.843440175E0
1.569133460E-1	-1.017327547E0	-7.989482954E-3	-1.881789684E0
1.597743340E-1	-1.040230751E0	-8.522115648E-3	-1.919073939E0
1.613845000E-1	-1.070058107E0	-1.331580617E-2	-1.951564431E0
1.635747690E-1	-1.100950837E0	-1.384843793E-2	-1.977130890E0
1.650037310E-1	-1.136104584E0	-1.012001187E-2	-1.995240331E0
1.678638340E-1	-1.174454093E0	-3.621899337E-2	-2.009621382E0
1.693555000E-1	-1.208542466E0	-1.012001261E-1	-2.014415026E0
1.719159870E-1	-1.244228840E0	-1.821602285E-1	-2.014947653E0
1.731243850E-1	-1.273523688E0	-2.812298238E-1	-2.012284517E0
1.759720640E-1	-1.301220536E0	-3.984089196E-1	-1.997370839E0
1.776035770E-1	-1.326254249E0	-5.257080197E-1	-1.980859280E0
1.800219490E-1	-1.346494317E0	-6.546050310E-1	-1.959553957E0
1.812086540E-1	-1.369930148E0	-7.835019827E-1	-1.937716007E0
1.840789870E-1	-1.391767979E0	-9.054747820E-1	-1.910019159E0
1.857179230E-1	-1.415736437E0	-1.015197039E0	-1.881789684E0
1.881139100E-1	-1.440770149E0	-1.108407617E0	-1.850364327E0
1.893666540E-1	-1.462608099E0	-1.182443500E0	-1.817873836E0
1.921710260E-1	-1.483380795E0	-1.242630959E0	-1.788046360E0
1.939232310E-1	-1.500424981E0	-1.286306858E0	-1.757153749E0
1.962362570E-1	-1.511610270E0	-1.311340570E0	-1.729989529E0
1.974867690E-1	-1.521197677E0	-1.319862604E0	-1.706021070E0
2.002936800E-1	-1.528654456E0	-1.310275316E0	-1.684183121E0
2.019844230E-1	-1.532915592E0	-1.254881501E0	-1.658084154E0
2.041726540E-1	-1.531850338E0	-1.226652026E0	-1.650094628E0
2.056562690E-1	-1.528121829E0	-1.157409787E0	-1.642637849E0
2.083973720E-1	-1.521197677E0	-1.065264463E0	-1.631985188E0
2.097640770E-1	-1.510545015E0	-9.539443254E-1	-1.629854560E0
2.124904490E-1	-1.499892354E0	-8.250473142E-1	-1.631985188E0
2.137782310E-1	-1.480717540E0	-6.807039976E-1	-1.634648323E0
2.165817570E-1	-1.462608099E0	-5.203816891E-1	-1.643703103E0
2.182770000E-1	-1.415203810E0	-2.817624509E-1	-1.656486273E0
2.206166030E-1	-1.400822759E0	-2.024002522E-1	-1.661279917E0
2.218870770E-1	-1.368332148E0	-4.474110901E-2	-1.672997832E0
2.246730640E-1	-1.318797350E0	1.885518134E-1	-1.682585239E0
2.263383460E-1	-1.288437366E0	3.472762108E-1	-1.688444138E0
2.287208720E-1	-1.263936281E0	5.033374429E-1	-1.689509392E0
2.301358850E-1	-1.241565704E0	6.604639888E-1	-1.681519985E0
2.327778720E-1	-1.229847789E0	8.197209835E-1	-1.659682035E0
2.345932310E-1	-1.216531992E0	9.709885716E-1	-1.629854560E0
2.368440640E-1	-1.210140467E0	1.105211854E0	-1.590439796E0
2.381447690E-1	-1.205346704E0	1.224521518E0	-1.544100881E0
2.409012950E-1	-1.201618314E0	1.326254249E0	-1.493500710E0
2.427273080E-1	-1.203216195E0	1.412540674E0	-1.436509132E0
2.447840000E-1	-1.208009839E0	1.487641811E0	-1.379517436E0
2.461903080E-1	-1.212803602E0	1.545698762E0	-1.312938452E0
2.489906030E-1	-1.217597246E0	1.587244034E0	-1.239967823E0
2.505358840E-1	-1.217064619E0	1.618669391E0	-1.168595076E0
2.530439100E-1	-1.219195127E0	1.645300984E0	-1.093493938E0
2.543152310E-1	-1.222391009E0	1.672465205E0	-1.023186564E0
2.571002180E-1	-1.221858382E0	1.699629426E0	-9.523464441E-1
2.587945770E-1	-1.222391009E0	1.728924155E0	-8.788431883E-1
2.611346410E-1	-1.224521518E0	1.761947393E0	-8.143946528E-1
2.623943840E-1	-1.220260382E0	1.794438004E0	-7.483482957E-1
2.651906020E-1	-1.221858382E0	1.831189632E0	-6.823018789E-1
2.669811540E-1	-1.215999365E0	1.869006515E0	-6.199839115E-1
2.692234870E-1	-1.212803602E0	1.910551786E0	-5.597964525E-1
2.705595770E-1	-1.208009839E0	1.948368669E0	-5.012069345E-1
2.732791020E-1	-1.197357297E0	1.982989788E0	-4.442152679E-1
2.751386150E-1	-1.179247737E0	2.031459332E0	-3.691141307E-1
2.773332180E-1	-1.173388839E0	2.045307636E0	-3.446130455E-1
2.785906920E-1	-1.155279279E0	2.073004723E0	-3.062635362E-1
2.813888330E-1	-1.134506702E0	2.109756231E0	-2.759034932E-1
2.830702310E-1	-1.091363430E0	2.157693148E0	-2.444781959E-1
2.854224870E-1	-1.079112887E0	2.169943810E0	-2.428802997E-1
2.866856540E-1	-1.047154903E0	2.184324741E0	-2.370213419E-1
2.894776790E-1	-1.014664412E0	2.181661606E0	-2.423476577E-1
2.908618840E-1	-9.859022498E-1	2.153964758E0	-2.492718846E-1
2.935714100E-1	-9.555422068E-1	2.105495214E0	-2.695119083E-1
2.950449610E-1	-9.326390028E-1	2.043709755E0	-2.934803665E-1
2.976617560E-1	-9.006810784E-1	1.942509770E0	-3.557983339E-1
2.994235000E-1	-8.900284767E-1	1.887648582E0	-4.133225977E-1
3.017101410E-1	-8.878979087E-1	1.830124378E0	-4.841626883E-1
3.031042310E-1	-8.942894936E-1	1.760349512E0	-5.640575290E-1
3.057653330E-1	-9.001484513E-1	1.670334697E0	-6.492787004E-1
3.074864230E-1	-9.113337398E-1	1.553688169E0	-7.440872192E-1
3.097957950E-1	-9.273127317E-1	1.426921725E0	-8.468852639E-1
3.110673460E-1	-9.459548593E-1	1.304416299E0	-9.464874864E-1
3.138508720E-1	-9.656622410E-1	1.190965652E0	-1.046089649E0
3.155932690E-1	-9.784454107E-1	1.078580260E0	-1.141963482E0
3.179147180E-1	-9.917612076E-1	9.645969868E-1	-1.231445670E0
3.191693460E-1	-9.986854196E-1	8.490157723E-1	-1.319329977E0
3.219699870E-1	-9.970875382E-1	7.286409140E-1	-1.391767979E0
3.236905000E-1	-9.965549111E-1	6.061354876E-1	-1.458347082E0
3.258845770E-1	-9.848369956E-1	4.767058492E-1	-1.518001795E0
3.272593840E-1	-9.731190801E-1	3.419498801E-1	-1.568069220E0
3.300706410E-1	-9.502158761E-1	1.986718178E-1	-1.612810373E0
3.316086920E-1	-9.203884602E-1	6.125270575E-2	-1.647431493E0
3.341202180E-1	-8.852347732E-1	-7.403588295E-2	-1.675660968E0
3.353948460E-1	-8.420915604E-1	-2.034655064E-1	-1.701227307E0
3.381756790E-1	-7.946872711E-1	-3.302319944E-1	-1.718804240E0
3.398515770E-1	-7.408914566E-1	-4.538026452E-1	-1.732652664E0
3.422098330E-1	-6.791061163E-1	-5.752428174E-1	-1.741174698E0
3.434795770E-1	-6.077333689E-1	-6.998787522E-1	-1.745435834E0
3.462656790E-1	-5.336974859E-1	-8.383631110E-1	-1.747033715E0
3.479257310E-1	-4.516721368E-1	-9.789780378E-1	-1.740642071E0
3.503136020E-1	-3.632551730E-1	-1.127582431E0	-1.734783173E0
3.516178840E-1	-2.716424465E-1	-1.287372112E0	-1.717206359E0
3.543690640E-1	-1.741707325E-1	-1.453553319E0	-1.701227307E0
3.562371920E-1	-2.077265643E-2	-1.706553698E0	-1.672997832E0
3.584427180E-1	3.249056637E-2	-1.792307496E0	-1.663410425E0
3.597396150E-1	1.432780623E-1	-1.959553957E0	-1.644768357E0
3.624986020E-1	2.556634545E-1	-2.139583588E0	-1.625593543E0
3.641695000E-1	4.282363057E-1	-2.437325001E0	-1.597896695E0
3.664863840E-1	4.857605994E-1	-2.527339935E0	-1.592037678E0
3.678413460E-1	6.103965044E-1	-2.638659954E0	-1.572862983E0
3.705862170E-1	7.499461770E-1	-2.571015835E0	-1.562742949E0
3.719267690E-1	9.917612076E-1	-2.324407101E0	-1.562210321E0
3.746808710E-1	1.123321414E0	-2.393116713E0	-1.564340830E0
3.759742310E-1	1.240500450E0	-2.620018005E0	-1.571265101E0
3.787714870E-1	1.339037418E0	-2.893258333E0	-1.582450390E0
3.804487690E-1	1.431715488E0	-3.134007931E0	-1.594168305E0
3.828060250E-1	1.516936541E0	-3.330016613E0	-1.605353594E0
3.840708840E-1	1.594700933E0	-3.512176991E0	-1.608549356E0
3.868623330E-1	1.663410425E0	-3.704457045E0	-1.606951475E0
3.888204230E-1	1.729989529E0	-3.903661489E0	-1.600027204E0
3.908951020E-1	1.793372750E0	-4.108725071E0	-1.589907169E0
3.921511150E-1	1.852494836E0	-4.315386295E0	-1.577656627E0
3.949512170E-1	1.911084414E0	-4.526308537E0	-1.566471338E0
