"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
7.193022160E-1	-1.307999992E1	-4.302000046E1	7.799999714E0
7.274231010E-1	-1.247999954E1	-4.302000046E1	7.739999771E0
7.355139850E-1	-1.181999969E1	-4.277999878E1	8.039999962E0
7.436007930E-1	-1.127999973E1	-4.254000092E1	8.220000267E0
7.516919850E-1	-1.085999966E1	-4.259999847E1	7.919999599E0
7.597818310E-1	-1.061999989E1	-4.277999878E1	8.220000267E0
7.689627540E-1	-1.019999981E1	-4.289999771E1	8.340000153E0
7.770505620E-1	-9.420000076E0	-4.295999908E1	7.980000019E0
7.852599850E-1	-8.579999924E0	-4.302000046E1	7.919999599E0
7.933645240E-1	-7.619999886E0	-4.313999939E1	8.279999733E0
8.014518310E-1	-6.960000038E0	-4.331999969E1	8.460000038E0
8.095721000E-1	-6.539999962E0	-4.355999756E1	9.179999352E0
8.176736770E-1	-6.179999828E0	-4.307999802E1	8.819999695E0
8.258257160E-1	-6.000000000E0	-4.307999802E1	8.880000114E0
8.339166000E-1	-5.339999676E0	-4.307999802E1	8.579999924E0
8.420214080E-1	-5.159999847E0	-4.302000046E1	8.039999962E0
8.501525620E-1	-5.400000095E0	-4.350000000E1	8.399999619E0
8.582421390E-1	-5.159999847E0	-4.379999924E1	7.980000019E0
8.664348690E-1	-5.400000095E0	-4.415999985E1	7.980000019E0
8.745269460E-1	-4.920000076E0	-4.409999847E1	8.039999962E0
8.826144460E-1	-4.500000000E0	-4.452000046E1	7.319999695E0
8.907246770E-1	-3.959999800E0	-4.475999832E1	7.259999752E0
8.988121000E-1	-3.659999847E0	-4.481999969E1	6.539999962E0
9.069195230E-1	-4.019999981E0	-4.536000061E1	5.699999809E0
9.150245620E-1	-4.139999866E0	-4.536000061E1	4.920000076E0
9.231144460E-1	-4.920000076E0	-4.511999893E1	3.419999838E0
9.312338310E-1	-5.039999962E0	-4.505999756E1	2.399999857E0
9.393378690E-1	-5.039999962E0	-4.463999939E1	1.259999990E0
9.475201000E-1	-4.920000076E0	-4.379999924E1	5.399999619E-1
9.556087920E-1	-5.579999924E0	-4.409999847E1	2.399999946E-1
9.637119080E-1	-7.019999981E0	-4.409999847E1	-2.399999946E-1
9.718341380E-1	-8.699999809E0	-4.391999817E1	-2.999999821E-1
9.799229070E-1	-1.050000000E1	-4.457999802E1	-5.399999619E-1
9.880329460E-1	-1.103999996E1	-4.409999847E1	-1.079999924E0
9.961227920E-1	-1.127999973E1	-4.368000031E1	-1.860000014E0
1.004209792E0	-1.134000015E1	-4.361999893E1	-2.519999981E0
1.012320138E0	-1.151999950E1	-4.331999969E1	-3.359999895E0
1.020408253E0	-1.211999989E1	-4.295999908E1	-4.019999981E0
1.028595215E0	-1.253999996E1	-4.271999741E1	-4.199999809E0
1.036699215E0	-1.271999931E1	-4.229999924E1	-5.579999924E0
1.044788176E0	-1.307999992E1	-4.163999939E1	-6.599999905E0
1.052908292E0	-1.355999947E1	-4.139999771E1	-7.259999752E0
1.061011176E0	-1.446000004E1	-4.163999939E1	-8.399999619E0
1.069118599E0	-1.523999977E1	-4.139999771E1	-8.279999733E0
1.077209792E0	-1.559999943E1	-4.139999771E1	-8.939999580E0
1.085312215E0	-1.596000004E1	-4.109999847E1	-1.007999992E1
1.093442869E0	-1.637999916E1	-4.043999863E1	-1.067999935E1
1.101533484E0	-1.697999954E1	-3.954000092E1	-1.175999928E1
1.109728061E0	-1.805999947E1	-3.893999863E1	-1.230000019E1
1.117818407E0	-1.842000008E1	-3.870000076E1	-1.301999950E1
1.125905868E0	-1.853999901E1	-3.791999817E1	-1.350000000E1
1.134016022E0	-1.895999908E1	-3.821999741E1	-1.434000015E1
1.142105022E0	-1.877999878E1	-3.761999893E1	-1.439999962E1
1.150191599E0	-1.943999863E1	-3.671999741E1	-1.446000004E1
1.158300138E0	-2.003999901E1	-3.629999924E1	-1.517999935E1
1.166390253E0	-2.076000023E1	-3.575999832E1	-1.505999947E1
1.174511791E0	-2.118000031E1	-3.605999756E1	-1.571999931E1
1.182602368E0	-2.123999977E1	-3.605999756E1	-1.644000053E1
1.190790022E0	-2.118000031E1	-3.570000076E1	-1.650000000E1
1.198880253E0	-2.142000008E1	-3.552000046E1	-1.637999916E1
1.206983291E0	-2.135999870E1	-3.491999817E1	-1.650000000E1
1.215103483E0	-2.195999908E1	-3.491999817E1	-1.619999886E1
1.223191022E0	-2.237999916E1	-3.497999954E1	-1.644000053E1
1.231283060E0	-2.160000038E1	-3.468000031E1	-1.703999901E1
1.239373060E0	-2.177999878E1	-3.473999786E1	-1.692000008E1
1.247461291E0	-2.153999901E1	-3.420000076E1	-1.697999954E1
1.255570791E0	-2.142000008E1	-3.371999741E1	-1.668000031E1
1.263658676E0	-2.195999908E1	-3.359999847E1	-1.637999916E1
1.271868252E0	-2.202000046E1	-3.347999954E1	-1.626000023E1
1.279974291E0	-2.153999901E1	-3.371999741E1	-1.655999947E1
1.288063599E0	-2.081999969E1	-3.438000107E1	-1.661999893E1
1.296185752E0	-2.027999878E1	-3.491999817E1	-1.710000038E1
