"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3.974654000E-3	-3.696647406E0	4.378994942E0	6.457161903E0
6.920192000E-3	-3.696647406E0	4.355052948E0	6.370970726E0
9.703411000E-3	-3.694253206E0	4.347870350E0	6.330269337E0
1.110503900E-2	-3.691859007E0	4.347870350E0	6.320692539E0
1.377248800E-2	-3.689464808E0	4.350264549E0	6.323086739E0
1.547803900E-2	-3.675099611E0	4.347870350E0	6.354211330E0
1.779610300E-2	-3.663128614E0	4.352658749E0	6.397306919E0
1.899661500E-2	-3.655946016E0	4.357447147E0	6.426037312E0
2.185348800E-2	-3.608062029E0	4.350264549E0	6.519411087E0
2.345573100E-2	-3.572149038E0	4.347870350E0	6.603208065E0
2.588714200E-2	-3.533841610E0	4.352658749E0	6.706159115E0
2.709296200E-2	-3.490746021E0	4.357447147E0	6.825869083E0
2.994414200E-2	-3.447650433E0	4.359841347E0	6.950367451E0
3.174576900E-2	-3.394978046E0	4.369418144E0	7.089231014E0
3.399864200E-2	-3.339911461E0	4.374206543E0	7.228095055E0
3.517857700E-2	-3.284844637E0	4.357447147E0	7.359776020E0
3.805575700E-2	-3.220201254E0	4.328716755E0	7.501033783E0
3.966026900E-2	-3.150769472E0	4.297592163E0	7.649474621E0
4.189507700E-2	-3.090914488E0	4.273650169E0	7.797914982E0
4.328650000E-2	-3.057395458E0	4.288015366E0	7.955932140E0
4.614794900E-2	-3.016694069E0	4.297592163E0	8.130708694E0
4.739380800E-2	-2.944868088E0	4.254496574E0	8.295908928E0
5.024506500E-2	-2.851494312E0	4.194641590E0	8.439560890E0
5.147576900E-2	-2.750937700E0	4.149151325E0	8.576030731E0
5.433656500E-2	-2.671929121E0	4.118026733E0	8.705317497E0
5.595761500E-2	-2.604891539E0	4.089296341E0	8.839392662E0
5.838633400E-2	-2.545036316E0	4.060565948E0	8.971074104E0
5.957800000E-2	-2.492363930E0	4.029441357E0	9.097966194E0
6.244356500E-2	-2.437297344E0	3.988739967E0	9.215282440E0
6.405542300E-2	-2.394201756E0	3.955221176E0	9.330204010E0
6.647571900E-2	-2.355894566E0	3.926490784E0	9.435548782E0
6.765726900E-2	-2.315192938E0	3.902548790E0	9.531316757E0
7.053218000E-2	-2.279279947E0	3.885789394E0	9.617507935E0
7.224169200E-2	-2.226607561E0	3.883395195E0	9.742006302E0
7.459610300E-2	-2.209848166E0	3.885789394E0	9.773131371E0
7.576157700E-2	-2.166752577E0	3.885789394E0	9.818621635E0
7.865268000E-2	-2.133233786E0	3.885789394E0	9.842563629E0
8.024200000E-2	-2.078166962E0	3.861847401E0	9.844957352E0
8.243534600E-2	-2.061407566E0	3.852270603E0	9.840168953E0
8.386223100E-2	-2.008735180E0	3.835511208E0	9.825803757E0
8.675802600E-2	-1.946485996E0	3.823540211E0	9.809044838E0
8.820711500E-2	-1.838746905E0	3.794809580E0	9.775525093E0
9.081091100E-2	-1.754949808E0	3.763684988E0	9.744400978E0
9.197092300E-2	-1.680729628E0	3.725377798E0	9.703699112E0
9.486821900E-2	-1.604115129E0	3.687070608E0	9.662998199E0
9.644369200E-2	-1.529894829E0	3.653551817E0	9.624691010E0
9.890444900E-2	-1.460463047E0	3.622427225E0	9.598354340E0
1.000560770E-1	-1.405396342E0	3.593696833E0	9.576807022E0
1.029616800E-1	-1.359906554E0	3.560178041E0	9.560047150E0
1.045697310E-1	-1.321599364E0	3.519476414E0	9.538499832E0
1.070103340E-1	-1.295263171E0	3.485957623E0	9.514557838E0
1.081690770E-1	-1.285686255E0	3.445256233E0	9.514557838E0
1.110668720E-1	-1.304839969E0	3.378218651E0	9.519346237E0
1.127486920E-1	-1.345541358E0	3.315969467E0	9.526528358E0
1.151391150E-1	-1.393425345E0	3.265691042E0	9.552865028E0
1.163034620E-1	-1.431732655E0	3.224989653E0	9.586383820E0
1.191972570E-1	-1.465251446E0	3.179499865E0	9.622296333E0
1.207830770E-1	-1.498770237E0	3.145981073E0	9.658209801E0
1.229685380E-1	-1.537077546E0	3.110068083E0	9.691728592E0
1.243893850E-1	-1.584961534E0	3.069366693E0	9.708487511E0
1.272865650E-1	-1.640028119E0	3.023876667E0	9.725247383E0
1.285537690E-1	-1.697489023E0	2.983175278E0	9.739612579E0
1.313882180E-1	-1.750161409E0	2.944868088E0	9.756371498E0
1.325980000E-1	-1.795651317E0	2.901772499E0	9.775525093E0
1.354798340E-1	-1.848323703E0	2.887407303E0	9.794678688E0
1.371573080E-1	-1.932120800E0	2.916137695E0	9.792284966E0
1.395153720E-1	-1.896207690E0	2.868253708E0	9.775525093E0
1.406973460E-1	-1.522712231E0	2.535459518E0	9.586383820E0
1.435709880E-1	-1.074996591E0	2.240972757E0	9.205705643E0
1.451521540E-1	-1.242590666E0	2.516305923E0	8.889671326E0
1.476047180E-1	-1.309628367E0	2.540247917E0	8.820239067E0
1.487868080E-1	-1.364694953E0	2.398990154E0	8.757989883E0
1.516616410E-1	-1.412579060E0	2.157175779E0	8.841787338E0
1.533728080E-1	-1.599326730E0	1.874659896E0	9.200917244E0
1.557169880E-1	-1.685518026E0	1.826775908E0	9.358934402E0
1.568955380E-1	-1.805228114E0	1.764526606E0	9.662998199E0
1.597743340E-1	-1.788468719E0	1.692700624E0	1.005085850E1
1.613634610E-1	-1.690306425E0	1.661576033E0	1.021605873E1
1.635536920E-1	-1.592144132E0	1.668758631E0	1.026873112E1
1.649864610E-1	-1.561019540E0	1.788468719E0	1.017535686E1
1.678638340E-1	-1.546654344E0	1.939303398E0	1.003888798E1
1.693346920E-1	-1.374271750E0	1.924938202E0	9.998186111E0
1.719159870E-1	-1.182735682E0	1.798045516E0	1.010353088E1
1.730985380E-1	-1.211466074E0	1.680729628E0	1.035492229E1
1.759720640E-1	-1.417367458E0	1.589749932E0	1.068532181E1
1.775824230E-1	-1.687912226E0	1.537077546E0	1.101572227E1
