"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749278839.811	"2025-06-07 12:17:19.811 UTC+05:30"
"PAUSE"	4.058740012E1	1749278880.399	"2025-06-07 12:18:00.399 UTC+05:30"
