"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.462997900E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
1.600176900E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
1.872144100E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
1.998473100E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
2.281359500E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
2.406700000E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
2.690563300E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
2.861238500E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
3.096078700E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
3.215600000E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
3.501801800E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
3.662419200E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
3.908732600E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
4.029492300E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
4.314463300E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
4.448015400E-2	2.801645398E-1	2.210423797E-1	-5.709817410E-1
4.728986400E-2	4.436826408E-1	1.171790883E-1	-4.122573435E-1
4.853146200E-2	4.266384244E-1	1.486043930E-1	-3.840278387E-1
5.138140200E-2	4.021373391E-1	1.832254827E-1	-3.616572917E-1
5.296330800E-2	3.781688809E-1	2.167813182E-1	-3.382214606E-1
5.541840200E-2	3.510046303E-1	2.514024079E-1	-3.179814517E-1
5.662011600E-2	3.195793331E-1	2.812298238E-1	-3.020024598E-1
5.947501800E-2	2.860234976E-1	3.062635362E-1	-2.854908705E-1
6.113969200E-2	2.535329461E-1	3.201119602E-1	-2.689792812E-1
6.354378700E-2	2.194444835E-1	3.270362020E-1	-2.567287385E-1
6.475415400E-2	1.880191714E-1	3.185140789E-1	-2.647182047E-1
6.760036400E-2	1.496696621E-1	3.094593287E-1	-3.014698327E-1
6.934423100E-2	9.534116834E-2	3.051982522E-1	-3.408846259E-1
7.163790200E-2	7.723167539E-2	3.073287904E-1	-3.536677957E-1
7.285950000E-2	3.355583176E-2	3.174487948E-1	-3.669835925E-1
7.569459500E-2	-5.858954508E-3	3.217098713E-1	-3.765709996E-1
7.729646200E-2	-7.030745596E-2	3.051982522E-1	-3.888215125E-1
7.976282500E-2	-9.214537591E-2	2.924150825E-1	-3.898867965E-1
8.099450000E-2	-1.384843737E-1	2.466087192E-1	-4.016047120E-1
8.381955600E-2	-1.864212751E-1	1.816275865E-1	-4.133225977E-1
8.523465400E-2	-2.583266199E-1	6.551376730E-2	-4.356931746E-1
8.787511500E-2	-3.089267015E-1	-1.278317347E-2	-4.495415986E-1
8.932857700E-2	-3.584614992E-1	-9.161274135E-2	-4.756405652E-1
9.204109500E-2	-3.994741738E-1	-1.683117896E-1	-5.395564437E-1
9.368703900E-2	-4.330300093E-1	-2.290318608E-1	-6.119944453E-1
9.609201800E-2	-4.623247683E-1	-2.759034932E-1	-6.828345060E-1
9.735319200E-2	-4.788363874E-1	-3.169161677E-1	-7.515440583E-1
1.001490560E-1	-4.942827225E-1	-3.552657068E-1	-8.261125684E-1
1.017728460E-1	-5.038700700E-1	-3.936152160E-1	-8.969526887E-1
1.042176710E-1	-5.123922229E-1	-4.351605177E-1	-9.715211987E-1
1.054496920E-1	-5.145227313E-1	-4.777711034E-1	-1.042893887E0
1.082746710E-1	-5.155879855E-1	-5.155879855E-1	-1.098820329E0
1.099821920E-1	-5.145227313E-1	-5.534048676E-1	-1.157409787E0
1.123505560E-1	-5.171858668E-1	-5.949501991E-1	-1.202683568E0
1.135819230E-1	-5.161206126E-1	-6.460828781E-1	-1.246892095E0
1.164075940E-1	-5.171858668E-1	-6.966829300E-1	-1.284708977E0
1.180876540E-1	-5.166532397E-1	-7.552725077E-1	-1.313471079E0
1.204915940E-1	-5.134574771E-1	-8.170578480E-1	-1.337972164E0
