"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
6.332424390E-1	3.163698912E-1	-3.092703581E0	-5.407972336E-1
6.413536310E-1	4.324256182E-1	-3.147057056E0	-4.481382370E-1
6.494802460E-1	5.675575733E-1	-3.034005642E0	-4.440793991E-1
6.575210770E-1	5.919008255E-1	-2.822500229E0	-5.544958115E-1
6.658117460E-1	6.349476576E-1	-2.683661222E0	-7.756414413E-1
6.739378230E-1	6.951366663E-1	-2.354901314E0	-8.404750824E-1
6.820389770E-1	5.872628689E-1	-2.097175121E0	-7.795038223E-1
6.901652850E-1	6.114492416E-1	-2.099679470E0	-7.918357849E-1
6.983534000E-1	6.738216877E-1	-2.020746231E0	-6.422557831E-1
7.064985920E-1	5.845835209E-1	-1.923353195E0	-4.798336029E-1
7.146273610E-1	5.685234070E-1	-1.769378185E0	-3.791961670E-1
7.227396690E-1	4.862489700E-1	-1.616667032E0	-2.589178085E-1
7.308827840E-1	4.507706165E-1	-1.490202069E0	-2.395725250E-1
7.389067690E-1	4.410281181E-1	-1.413887262E0	-3.647994995E-1
7.471997460E-1	4.092736244E-1	-1.371626139E0	-3.955354691E-1
7.553424770E-1	4.555072784E-1	-1.375663400E0	-2.919397354E-1
7.634535540E-1	4.776034355E-1	-1.300667524E0	-4.088020325E-2
7.715812840E-1	3.654017448E-1	-1.094713926E0	7.530403137E-2
7.796861690E-1	3.748941422E-1	-9.107343554E-1	2.129220963E-1
7.877818610E-1	4.042303562E-1	-7.101220489E-1	4.456644058E-1
7.959090150E-1	4.892854691E-1	-6.204073429E-1	5.627307892E-1
8.040087840E-1	5.607206821E-1	-5.399820805E-1	4.990301132E-1
8.121356300E-1	5.122573376E-1	-4.548744559E-1	6.172389984E-1
8.201192690E-1	3.734927177E-1	-4.332168102E-1	8.581733704E-1
8.284657460E-1	3.871397972E-1	-5.832840204E-1	1.034504890E0
8.365593990E-1	4.514408112E-1	-6.871637702E-1	1.339108467E0
8.446735920E-1	4.965758324E-1	-5.483145118E-1	1.571661949E0
8.527819380E-1	4.617133141E-1	-3.713189960E-1	1.466133118E0
8.609703220E-1	3.740096092E-1	-1.990295947E-3	1.268211365E0
8.772422070E-1	3.559970856E-2	6.906290054E-1	1.311122894E0
8.853583990E-1	-3.027057648E-2	8.345637321E-1	1.397075653E0
8.934831300E-1	-2.604579926E-2	7.233846188E-1	1.191203117E0
9.015981530E-1	-1.635370255E-1	5.681811571E-1	8.770790100E-1
9.098143220E-1	-6.876373291E-2	4.312168360E-1	8.890314102E-1
9.179405910E-1	2.553558350E-2	4.167727232E-1	1.118247986E0
9.341676680E-1	-1.786999702E-1	4.974139929E-1	1.189108849E0
9.423543220E-1	-2.599277496E-1	4.204278886E-1	1.149794579E0
9.504955910E-1	-3.815431595E-1	3.807308376E-1	1.091910362E0
9.667299760E-1	-3.743920326E-1	3.039792776E-1	1.350101471E0
9.748712070E-1	-2.096815109E-1	1.866824180E-1	1.483057022E0
9.828617300E-1	-2.104678154E-1	3.266361058E-1	1.597006798E0
9.911847450E-1	-2.110099792E-1	5.069228411E-1	1.586398125E0
9.993247060E-1	-3.209471703E-1	7.730600238E-1	1.556399345E0
1.007436437E0	-4.136548042E-1	1.127348661E0	1.554448128E0
1.015564245E0	-5.025067329E-1	1.453151345E0	1.486380577E0
1.023766937E0	-6.255345345E-1	1.739272356E0	1.289781570E0
1.031895745E0	-7.901110649E-1	1.919762850E0	1.141547203E0
1.040020899E0	-9.819397926E-1	1.948657751E0	1.016690254E0
1.048122014E0	-1.092293739E0	1.883859158E0	9.055109024E-1
1.056248206E0	-1.210142136E0	1.736573935E0	9.003949165E-1
1.064246346E0	-1.194965839E0	1.562659144E0	1.020908356E0
1.072577937E0	-1.316835880E0	1.405689240E0	1.064388752E0
1.080703591E0	-1.371268272E0	1.256636143E0	8.869919777E-1
1.088815245E0	-1.385880470E0	1.134793162E0	6.789064407E-1
1.096956975E0	-1.426623821E0	9.485086203E-1	6.633510590E-1
1.105146398E0	-1.495641232E0	7.940381765E-1	7.601470947E-1
1.113276129E0	-1.451713562E0	5.880357623E-1	4.398088455E-1
1.121416821E0	-1.287630081E0	4.573175311E-1	-8.695888519E-2
