"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.949492310E-1	3.833117008E0	4.381389022E-1	7.381323814E0
1.978196710E-1	3.648763418E0	4.477157295E-1	7.429207802E0
1.994038850E-1	3.564966440E0	5.195417404E-1	7.407660007E0
2.018883630E-1	3.569754839E0	5.578489900E-1	7.374141216E0
2.030688080E-1	3.555389643E0	6.129156351E-1	7.285555840E0
2.059466710E-1	3.529053211E0	6.751648784E-1	7.228095055E0
2.072638850E-1	3.464409828E0	7.781155705E-1	7.228095055E0
2.100775170E-1	3.332728863E0	7.829039693E-1	7.264008045E0
2.113071920E-1	3.248931646E0	7.900865674E-1	7.369352818E0
2.141703250E-1	3.208230257E0	8.331822157E-1	7.431602001E0
2.157459620E-1	3.198653460E0	9.026140571E-1	7.462726593E0
2.182217860E-1	3.229778051E0	1.003170490E0	7.489062786E0
2.194118850E-1	3.236960649E0	1.137245774E0	7.505822182E0
2.222789790E-1	3.062183857E0	1.283292055E0	7.522581577E0
2.238505000E-1	2.868253708E0	1.376665950E0	7.534552574E0
2.263482860E-1	2.782062292E0	1.434126854E0	7.553706169E0
2.275498080E-1	2.650381327E0	1.458068848E0	7.548917770E0
2.304057090E-1	2.451662540E0	1.453280449E0	7.541735172E0
2.320863460E-1	2.236184359E0	1.465251446E0	7.584830761E0
2.344888250E-1	2.056619167E0	1.482010841E0	7.608773232E0
2.356844620E-1	1.848323703E0	1.484405041E0	7.560888767E0
2.385459020E-1	1.525106430E0	1.426944256E0	7.644686222E0
2.401293080E-1	1.027112484E0	1.352723956E0	7.726089001E0
2.426303630E-1	5.027823448E-1	1.266532660E0	7.757213593E0
2.438156920E-1	1.005564705E-1	1.158793569E0	7.934384346E0
2.466868250E-1	-5.530605912E-1	1.082179189E0	8.128314972E0
2.479844620E-1	-1.261744261E0	1.041477680E0	8.401253700E0
2.507153460E-1	-1.766920805E0	1.003170490E0	8.705317497E0
2.521040380E-1	-2.185906172E0	9.457096457E-1	8.935160637E0
2.549080170E-1	-2.523488522E0	8.762778044E-1	9.184157372E0
2.565454620E-1	-3.045424461E0	7.350199223E-1	9.696516991E0
2.589453630E-1	-3.172317266E0	6.751648784E-1	9.883264542E0
2.601388080E-1	-3.088520288E0	7.374141216E-1	1.016817474E1
2.630021710E-1	-2.803610086E0	8.020575643E-1	1.026394272E1
2.645786920E-1	-2.853888512E0	6.607996821E-1	1.040280628E1
2.670857480E-1	-3.007117271E0	5.626373887E-1	1.060152531E1
2.682830000E-1	-3.169923067E0	5.243301988E-1	1.085770512E1
2.711421710E-1	-3.344699860E0	4.932055473E-1	1.108994198E1
2.728252310E-1	-3.478775024E0	4.525041282E-1	1.115219116E1
2.752178250E-1	-3.387795448E0	3.591302633E-1	1.107797146E1
2.764528850E-1	-2.975992680E0	2.106897533E-1	1.095347309E1
2.792747860E-1	-2.319981337E0	5.027823523E-2	1.080742645E1
2.808386150E-1	-1.546654344E0	-1.149216816E-1	1.052969933E1
2.833440170E-1	-7.326257229E-1	-2.920926213E-1	1.016338634E1
2.845268460E-1	1.292868853E-1	-4.716577232E-1	9.830592155E0
2.874015940E-1	1.053448796E0	-6.440402865E-1	9.631873131E0
2.887383850E-1	1.929726601E0	-8.020575643E-1	9.512163162E0
2.915465170E-1	2.765302896E0	-9.720458984E-1	9.538499832E0
2.928443460E-1	3.517082214E0	-1.189918280E0	9.672574997E0
2.956382090E-1	4.153939724E0	-1.417367458E0	9.840168953E0
2.972587310E-1	4.659116745E0	-1.628057122E0	9.976638794E0
2.996736710E-1	5.015852451E0	-1.819593310E0	1.002931118E1
3.008666540E-1	5.185841084E0	-1.984793186E0	9.998186111E0
3.037310940E-1	5.185841084E0	-2.128445387E0	9.880870819E0
3.052957310E-1	4.996698856E0	-2.281674147E0	9.674968719E0
3.078002860E-1	4.910507679E0	-2.312798738E0	9.615114212E0
3.089985000E-1	4.776432514E0	-2.291250944E0	9.548076630E0
3.118578250E-1	4.726154327E0	-2.152387381E0	9.493009567E0
3.135673460E-1	4.422090530E0	-2.123656988E0	9.607931137E0
3.158938630E-1	4.280832767E0	-2.128445387E0	9.689333916E0
3.172104230E-1	4.000710964E0	-2.133233786E0	9.852140427E0
3.199504010E-1	3.749319792E0	-2.106897593E0	9.981427193E0
3.215215380E-1	3.450044632E0	-2.039859772E0	1.010592556E1
3.239869780E-1	3.399766445E0	-2.001552582E0	1.013704967E1
3.252332310E-1	3.383007050E0	-1.915361404E0	1.017775154E1
3.280441320E-1	3.500322819E0	-1.790862918E0	1.020648193E1
3.294177690E-1	3.648763418E0	-1.692700624E0	1.020408726E1
3.319803850E-1	3.845088005E0	-1.577778935E0	1.019690514E1
3.333864610E-1	4.079719543E0	-1.450886250E0	1.017535686E1
3.362672470E-1	4.321534157E0	-1.280897856E0	1.016099167E1
3.378813080E-1	4.515464306E0	-1.079784989E0	1.015380955E1
3.403180170E-1	4.620809078E0	-8.547300100E-1	1.015620327E1
3.415959610E-1	4.649539471E0	-6.153098345E-1	1.013944435E1
3.443754400E-1	4.601655483E0	-3.926490843E-1	1.009634876E1
3.460180770E-1	4.496310711E0	-1.963245422E-1	1.002691650E1
3.484445170E-1	4.364629745E0	-2.873042040E-2	9.959878922E0
3.497233460E-1	4.223371983E0	1.101332754E-1	9.916783333E0
3.525017090E-1	4.091690540E0	2.178723514E-1	9.897629738E0
3.542403080E-1	3.988739967E0	3.040636182E-1	9.878476143E0
3.565524400E-1	3.919308186E0	3.878606856E-1	9.828198433E0
3.577530000E-1	3.895366192E0	4.740519226E-1	9.718064308E0
3.606097860E-1	3.890577793E0	5.458779931E-1	9.603142738E0
3.624449610E-1	3.751713991E0	6.272808313E-1	9.631873131E0
3.646935170E-1	3.526659012E0	7.206547260E-1	9.782708168E0
3.660025380E-1	3.280056238E0	7.948749661E-1	9.986215591E0
3.687506700E-1	3.007117271E0	8.212111592E-1	1.011071396E1
3.700978460E-1	2.662352324E0	7.924807668E-1	1.016817474E1
3.728807090E-1	2.236184359E0	7.445967197E-1	1.013465595E1
3.741087310E-1	1.795651317E0	6.943184733E-1	1.006522369E1
3.769724400E-1	1.472434044E0	6.679822803E-1	1.012986755E1
3.786435000E-1	1.070208192E0	7.206547260E-1	1.054406452E1
3.810092860E-1	9.097966552E-1	8.020575643E-1	1.088882923E1
3.822382310E-1	9.648633003E-1	9.433154464E-1	1.114979744E1
3.850663240E-1	9.337386489E-1	1.113303781E0	1.138442898E1
3.868300770E-1	6.488286853E-1	1.137245774E0	1.142513084E1
3.891504400E-1	7.589619160E-1	1.082179189E0	1.122401714E1
3.905666540E-1	1.551442742E0	1.031900883E0	1.076433086E1
3.932076320E-1	2.576161146E0	9.504981041E-1	1.017296314E1
3.949106540E-1	3.409343243E0	8.810662031E-1	9.684545517E0
3.972579400E-1	3.871424198E0	8.667010069E-1	9.385271072E0
3.984781150E-1	3.866635799E0	9.289502501E-1	9.208099365E0
4.013152860E-1	3.459621429E0	1.070208192E0	9.191340446E0
4.030362310E-1	2.760514498E0	1.242590666E0	9.327810287E0
4.053845550E-1	1.996764183E0	1.340752959E0	9.521739960E0
4.066111540E-1	1.436521053E0	1.295263171E0	9.636661530E0
4.094419010E-1	1.199495077E0	1.120486379E0	9.641449928E0
4.108180000E-1	1.235408068E0	8.523358107E-1	9.560047150E0
4.134703840E-1	1.431732655E0	5.219359994E-1	9.418789864E0
4.148043460E-1	1.671152830E0	1.675941199E-1	9.260771751E0
4.176793240E-1	1.872265697E0	-1.388636976E-1	9.117119789E0
4.192854230E-1	2.063801765E0	-4.596867263E-1	9.026140213E0
4.217160930E-1	2.104503393E0	-5.410895944E-1	9.038111687E0
4.229013460E-1	2.126051188E0	-6.584054828E-1	9.081207275E0
4.257734390E-1	2.104503393E0	-7.086837292E-1	9.112331390E0
