"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749277574.154	"2025-06-07 11:56:14.154 UTC+05:30"
"PAUSE"	4.375366135E1	1749277617.907	"2025-06-07 11:56:57.907 UTC+05:30"
