"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749277729.886	"2025-06-07 11:58:49.886 UTC+05:30"
"PAUSE"	5.729272088E1	1749277787.178	"2025-06-07 11:59:47.178 UTC+05:30"
