Time (s),acc_x,acc_y,acc_z,gyro_y,gyro_z,linear_acc_x,linear_acc_y,linear_acc_z,mag_x,mag_y,mag_z,exercise,participant,dataset,exercise_participant
0.01189948,5.008177757,-8.626125336,0.4737788737,0.3358229101,-0.3149007857,0.0,0.0,0.0,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.01300448,5.008177757,-8.626125336,0.4737788737,0.26160284135,-0.47861255705,0.0,0.0,0.0,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.021378855,3.8907295465000002,-8.690731525499999,0.6568298191,0.1873827726,-0.6423243284,0.0,0.0,0.0,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.022483855,2.773281336,-8.755337715,0.8398807645,0.15867212414999998,-0.6655371784999999,0.0,0.0,0.0,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.03085823,1.7694922984500001,-8.9611206055,1.24067857875,0.1299614757,-0.6887500286,0.0,0.0,0.0,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.03196323,0.7657032609,-9.166903496,1.641476393,0.13973531623333332,-0.6830486257666667,-0.34355453666666663,-0.0717792511,0.13033684093333334,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.03922099,0.49371908232666667,-9.471589724,1.8536400003333333,0.14950915676666668,-0.6773472229333333,-0.6871090733333333,-0.1435585022,0.2606736818666667,-15.63750076,46.38750076,-9.581250191,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.040337709,0.22173490375333338,-9.776275952,2.0658036076666666,0.1592829973,-0.6716458201,-1.03066361,-0.2153377533,0.3910105228,-15.912501016666667,46.32500076,-10.162500380666668,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.041442709,-0.05024927482,-10.08096218,2.277967215,0.21242823206666667,-0.6948586900666667,-1.1101244293333332,-0.3982369105,0.4811181227,-16.187501273333332,46.26250076,-10.743750570333333,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.04922099,-0.10847462464666667,-10.398409843333333,2.403989156333333,0.2655734668333333,-0.7180715600333333,-1.1895852486666667,-0.5811360676999999,0.5712257225999999,-16.46250153,46.20000076,-11.32500076,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.049817188,-0.16669997447333335,-10.715857506666667,2.5300110976666668,0.3187187016,-0.74128443,-1.269046068,-0.7640352249,0.6613333225,-16.518751146666666,46.22500101666667,-11.300000506666667,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.050922188,-0.2249253243,-11.03330517,2.656033039,0.3826558788666667,-0.7852666775333333,-1.2238885956666667,-0.9430313109333334,0.6876970132,-16.575000763333335,46.25000127333333,-11.275000253333333,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.05922099,-0.2679961323666667,-11.185648283333334,2.539582332,0.44659305613333333,-0.8292489250666667,-1.1787311233333333,-1.1220273969666668,0.7140607039,-16.63125038,46.27500153,-11.25,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.059296667,-0.3110669404333333,-11.337991396666666,2.423131625,0.5105302334,-0.8732311726,-1.133573651,-1.301023483,0.7404243946,-16.757812975,46.2796888375,-11.296875,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.060401667,-0.3541377485,-11.49033451,2.306680918,0.5765036344500001,-0.9028581381,-1.1020876765,-1.361823082,0.5009235143499999,-16.884375570000003,46.284376144999996,-11.34375,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.068776042,-0.4705884456666667,-11.503096263333333,2.0881364743333335,0.6424770355,-0.9324851036,-1.070601702,-1.422622681,0.2614226341,-17.010938165000002,46.2890634525,-11.390625,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.06922099,-0.5870391428333334,-11.515858016666668,1.8695920306666667,0.6538798411666666,-0.9249510963666667,-1.1298136713333333,-1.3597373963333332,0.04596956569999999,-17.13750076,46.29375076,-11.4375,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.069881042,-0.70348984,-11.52861977,1.651047587,0.6652826468333334,-0.9174170891333333,-1.1890256406666668,-1.2968521116666667,-0.1694835027,-17.218750633333336,46.30000050666667,-11.42500019,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.078255521,-0.5663013458,-11.665808043333334,1.3487543461,0.6766854525,-0.9098830819,-1.24823761,-1.233966827,-0.3849365711,-17.300000506666667,46.30625025333333,-11.412500379999999,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.07922099,-0.4291128516,-11.802996316666666,1.0464611052000001,0.6587667465333333,-0.8946114579666666,-1.0937455893333334,-1.2976503369999999,-0.6434992154000001,-17.38125038,46.3125,-11.40000057,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.079360521,-0.2919243574,-11.94018459,0.7441678643,0.6408480405666667,-0.8793398340333334,-0.9392535686666668,-1.361333847,-0.9020618597000001,-17.390625475,46.2703132625,-11.4515631175,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
0.087735001,0.014356941000000012,-11.94018459,0.6400800645,0.6229293346,-0.8640682101,-0.784761548,-1.425017357,-1.160624504,-17.400000570000003,46.228126525,-11.503125664999999,jumping_jacks,swasti,jumping_jacks1,jumping_jacks_swasti
