"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.120711600E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
1.401961100E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
1.523538500E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
1.810826500E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
1.962311600E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
2.219757300E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
2.390234600E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
2.622776500E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
2.754511600E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
3.028199600E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
3.199523100E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
3.435634200E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
3.560830800E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
3.841065000E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
3.996492300E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
4.238034600E-2	-1.427454352E-1	-2.801645398E-1	1.342233270E-1
4.367027000E-2	-1.283643723E0	-3.408313513E0	2.988066673E-1
4.649215000E-2	-1.290035248E0	-3.484480143E0	3.685815036E-1
4.797865400E-2	-1.286306858E0	-3.556917906E0	4.324973822E-1
5.045976900E-2	-1.261273146E0	-3.618703365E0	4.878911078E-1
5.175826900E-2	-1.220793009E0	-3.662379265E0	5.347627401E-1
5.460034200E-2	-1.154214025E0	-3.675162315E0	5.731122494E-1
5.627507700E-2	-1.067927599E0	-3.653324366E0	6.029396653E-1
5.865534200E-2	-9.752495885E-1	-3.605920076E0	6.242449880E-1
5.986919300E-2	-8.889631629E-1	-3.541471720E0	6.332997084E-1
6.270930400E-2	-8.085356951E-1	-3.459979057E0	6.317018270E-1
6.439800000E-2	-7.360977530E-1	-3.358246088E0	6.205165386E-1
6.676315000E-2	-6.695187092E-1	-3.238404036E0	5.992112756E-1
6.798634600E-2	-5.970807076E-1	-3.102050066E0	5.704491138E-1
7.081661100E-2	-5.225121975E-1	-2.954510927E0	5.241101384E-1
7.236346200E-2	-4.436826408E-1	-2.795253992E0	4.687163532E-1
7.487580400E-2	-3.621899188E-1	-2.629072666E0	4.016047120E-1
7.616180800E-2	-2.796319127E-1	-2.444782019E0	3.206445873E-1
7.892865000E-2	-1.917476058E-1	-2.240783691E0	2.380866110E-1
8.049611600E-2	-9.960222989E-2	-2.026665688E0	1.603222936E-1
8.300307300E-2	4.261057824E-3	-1.802427411E0	9.161274135E-2
8.424592300E-2	1.113201380E-1	-1.566471338E0	2.929477207E-2
8.705603400E-2	2.178465873E-1	-1.326786876E0	-3.249056637E-2
8.831765400E-2	3.201119602E-1	-1.084971905E0	-9.161274135E-2
9.115195700E-2	4.074636400E-1	-8.527442217E-1	-1.539307088E-1
9.241115400E-2	4.846953154E-1	-6.274407506E-1	-2.167813182E-1
9.523972700E-2	5.518069863E-1	-4.149205089E-1	-2.748382390E-1
9.680369300E-2	6.274407506E-1	-1.193096191E-1	-3.552657068E-1
9.930026500E-2	6.530070901E-1	-2.183792181E-2	-3.787015080E-1
1.005169620E-1	6.961503029E-1	1.571265012E-1	-4.202468395E-1
1.033536110E-1	7.376956344E-1	3.312972486E-1	-4.554005563E-1
1.051885390E-1	7.952198982E-1	5.853627920E-1	-4.942827225E-1
1.074119960E-1	8.282431364E-1	7.440872192E-1	-5.166532397E-1
1.086383460E-1	8.575378656E-1	8.958874345E-1	-5.384911895E-1
1.114664570E-1	8.815063238E-1	1.040763378E0	-5.587311983E-1
1.130334230E-1	9.022790194E-1	1.175519347E0	-5.768406987E-1
1.155273800E-1	9.187905788E-1	1.301220536E0	-5.896238685E-1
1.167550770E-1	9.326390028E-1	1.413073301E0	-5.922870636E-1
1.195808030E-1	9.475527406E-1	1.506283998E0	-5.965480804E-1
1.212339620E-1	9.608685374E-1	1.584580898E0	-6.024070382E-1
