"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
6.287786540E-1	1.029700279E0	3.877591491E-1	-1.758920670E0
6.369279610E-1	1.050692558E0	2.268368006E-2	-1.530404091E0
6.449595770E-1	1.050969124E0	-3.313435316E-1	-1.202570915E0
6.531542310E-1	1.104621649E0	-6.603748798E-1	-9.092197418E-1
6.613439230E-1	9.984426498E-1	-8.617233634E-1	-1.164072037E0
6.693846540E-1	7.982988358E-1	-7.500857711E-1	-1.183186531E0
6.775224610E-1	3.214838505E-1	-9.144583941E-1	-1.184703827E0
6.856416920E-1	1.151044369E-1	-1.028676748E0	-1.432102203E0
6.938223070E-1	-3.376984596E-1	-1.275527120E0	-1.880644798E0
7.019844610E-1	-4.023883343E-1	-1.184169888E0	-1.830019951E0
7.102500380E-1	-6.262021065E-1	-9.776706696E-1	-1.503886223E0
7.182521150E-1	-3.617851734E-1	-7.835279703E-1	-1.746053696E0
7.264154230E-1	-7.635982037E-1	-4.022955596E-1	-2.123085976E0
7.344393460E-1	-7.250006199E-1	-2.097200155E-1	-2.913004398E0
7.426187310E-1	-2.935130596E-1	1.482369900E-1	-2.047637939E0
7.507393460E-1	1.519079208E-1	7.673311830E-1	-9.977340698E-1
7.588566150E-1	4.860811234E-1	4.769736528E-1	-9.277458191E-1
7.670046540E-1	8.839466572E-1	-6.353038549E-2	-1.489107132E0
7.750798070E-1	5.530269146E-1	-2.002358735E-1	-1.782922745E-1
7.831795380E-1	5.505814552E-1	-3.850266337E-1	-6.519622803E-1
7.912990000E-1	-2.422008514E-1	-6.072592139E-1	-9.059610367E-1
7.993843070E-1	-8.205952644E-1	-9.204457998E-1	-8.640756607E-1
8.075879610E-1	-1.313597202E0	-1.073985934E0	-1.218389988E0
8.156461150E-1	-1.459275961E0	-1.137344599E0	-1.744335175E0
8.238435380E-1	-6.104307175E-1	-1.234711885E0	-1.114997864E0
8.322418840E-1	-6.408081055E-1	-1.000985384E0	-8.487958908E-1
8.400129230E-1	-1.211994648E0	-8.214032054E-1	-1.442353725E0
8.481239230E-1	-4.961774349E-1	-3.446265161E-1	-1.672122955E0
8.562691920E-1	-6.254489422E-1	-8.481472731E-2	-2.034670830E0
8.644197690E-1	-7.355768681E-1	4.841582775E-1	-1.327826500E0
8.725468070E-1	-6.398131847E-1	7.017197013E-1	-1.909002304E0
8.805606150E-1	-1.205444574E0	-4.990234375E-1	-2.525415897E0
8.887620770E-1	-4.979362488E-1	-6.667407155E-1	-1.050530434E0
8.969536920E-1	4.082341194E-1	-8.919148445E-1	-9.330077171E-1
9.050098070E-1	1.468710899E-1	-1.270713210E0	-6.969494820E-1
9.132659230E-1	-5.230970383E-1	-8.895354867E-1	-2.569189072E-1
9.212898460E-1	-6.809391975E-1	-8.700923920E-1	-7.230844498E-1
9.293685000E-1	-4.888696671E-1	-1.030730844E0	-6.780543327E-1
9.375646920E-1	-4.806327820E-1	-1.429607391E0	-4.674577713E-1
9.458548460E-1	-1.148444176E0	-1.748666286E0	-6.968607903E-1
9.539646530E-1	-1.590970278E0	-1.904433489E0	-6.925859451E-1
9.619609610E-1	-1.671794653E0	-2.277033329E0	-1.319894791E-1
9.700165770E-1	-1.469286442E0	-2.837860823E0	2.349281311E-1
9.782205380E-1	-1.447139263E0	-3.211248636E0	5.296201706E-1
9.863609230E-1	-1.517662525E0	-3.439584732E0	1.275671005E0
9.945901920E-1	-1.107039452E0	-3.852582216E0	1.928196907E0
1.002641807E0	-7.795124054E-1	-4.237275124E0	2.195629120E0
1.010686153E0	-3.935093880E-1	-4.159683228E0	2.362870216E0
1.018819576E0	-4.057259560E-1	-3.833191872E0	2.584620476E0
1.026953576E0	-3.223710060E-1	-3.619755268E0	2.576782227E0
1.035050423E0	-6.737470627E-1	-3.477356434E0	2.993528366E0
1.043158000E0	-1.103848934E0	-3.586983919E0	3.423818588E0
1.051266576E0	-9.320564270E-1	-3.591910124E0	3.734953880E0
1.059495000E0	-1.118429184E0	-3.019265652E0	4.078804970E0
1.067825038E0	-9.668436050E-1	-3.072010756E0	3.861428261E0
1.075701423E0	-8.464884758E-1	-2.355799913E0	4.550062180E0
1.083805346E0	-1.303583145E0	-1.755890489E0	4.337242126E0
1.091973076E0	-1.692252398E0	-1.494387269E0	3.808328629E0
1.100054769E0	-1.916570187E0	-1.084804654E0	3.570572853E0
1.108149538E0	-1.900569439E0	-7.438321114E-1	3.468764305E0
1.116331846E0	-1.895514011E0	-5.807964802E-1	3.357568741E0
1.124373115E0	-1.636983156E0	-4.729661345E-1	3.408398628E0
1.132522346E0	-1.652484179E0	-3.646563292E-1	3.378156662E0
1.140675423E0	-1.955960035E0	-4.459758401E-1	3.233029366E0
1.148819807E0	-2.322686672E0	-5.644083619E-1	3.036359787E0
1.156991192E0	-2.664641857E0	-5.719904304E-1	2.428856850E0
1.165131038E0	-2.814218521E0	-5.430682302E-1	1.931249619E0
1.173230115E0	-3.080502033E0	-7.061240673E-1	1.579319000E0
1.181404769E0	-2.952531576E0	-1.113904476E0	1.518704414E0
1.189486499E0	-2.425917387E0	-1.467634439E0	1.346340179E0
1.197573307E0	-1.949285269E0	-1.605579734E0	1.471800804E0
1.205642269E0	-1.943849802E0	-1.876559734E0	1.394897461E0
1.214022423E0	-1.745068789E0	-2.056571007E0	1.309920311E0
1.222001807E0	-1.562802315E0	-1.874035954E0	1.338583946E0
1.230061692E0	-1.668631792E0	-1.542404294E0	1.103924751E0
1.238794230E0	-1.733391047E0	-1.426732659E0	7.499542236E-1
1.246414307E0	-1.517737389E0	-1.329395294E0	8.262834549E-1
1.254446999E0	-1.419310570E0	-1.337180734E0	1.045256615E0
1.262582192E0	-1.492472410E0	-1.308125019E0	7.933616638E-1
1.270658269E0	-1.377492428E0	-1.057615399E0	7.230997086E-1
1.278772269E0	-1.014195681E0	-9.770947695E-1	7.740297318E-1
1.286876615E0	-7.424812317E-1	-8.231956959E-1	6.688795090E-1
1.295026999E0	-4.746861458E-1	-5.766525269E-1	6.960220337E-1
1.303128307E0	-5.619297028E-1	-1.840817928E-1	4.022769928E-1
1.311292730E0	-8.098266125E-1	9.077215195E-2	-6.449985504E-2
1.319508999E0	-8.444576263E-1	2.790832520E-1	-4.295387268E-1
1.327545884E0	-6.033632755E-1	4.291303158E-1	-3.527069092E-1
1.335648615E0	-1.393609047E-1	3.733091354E-1	-3.538236618E-1
1.343974269E0	-1.930103302E-1	4.051058292E-1	-6.389932632E-1
1.351989269E0	-2.751131058E-1	6.992954016E-1	-9.256510735E-1
1.360094499E0	-3.551015854E-1	8.259940147E-1	-1.164273739E0
1.368251769E0	-5.183076859E-2	6.292462349E-1	-1.228265285E0
1.376366615E0	3.306846619E-1	6.598751545E-1	-6.736464500E-1
1.384486692E0	6.182799339E-1	8.652939796E-1	-6.195263863E-1
1.392675230E0	8.991336823E-1	1.211403728E0	-1.016067028E0
1.400973769E0	1.262420654E0	2.144868851E0	-1.255323887E0
1.408956807E0	1.235199451E0	5.099437714E0	-3.080931187E0
1.417173499E0	3.231724739E0	3.891446114E0	-3.148593903E0
1.425143307E0	5.028895855E0	1.357041240E0	-1.258945465E-1
1.432324461E0	3.324241161E0	1.037975788E0	2.422780991E0
1.440454922E0	1.115904808E0	1.360652447E-1	-1.491672516E0
1.448537153E0	2.498263836E0	-1.208724976E-1	6.409807205E-1
1.455459644E0	3.172827244E0	-2.393641472E-1	1.558595657E0
1.456667538E0	3.519986629E0	-3.494973183E-1	1.237772942E0
1.464870307E0	3.507635593E0	-5.724751949E-1	7.860050201E-1
1.472971268E0	2.608876228E0	-4.273653030E-1	1.382735252E0
1.481089153E0	1.940144062E0	-3.646421432E-1	2.897198677E0
1.489295268E0	3.420867920E0	-5.610871315E-1	1.139499664E0
1.497479807E0	2.966558456E0	-3.493649960E-1	9.264135361E-1
1.505445422E0	3.332298756E0	-3.247761726E-2	1.694795609E0
1.513639999E0	3.859254837E0	1.160135984E0	5.656595230E-1
1.522152115E0	3.156164169E0	1.444692612E0	-4.918098450E-2
1.529846192E0	2.486493587E0	5.674333572E-1	5.857248306E-1
1.537950422E0	2.541437626E0	-5.275475979E-1	1.582618713E0
1.546114268E0	2.085803509E0	-1.094658971E0	2.734460831E-1
1.554281422E0	1.964111328E0	-9.865401983E-1	1.009431839E0
1.562397884E0	2.866157055E0	-1.148461103E0	5.838632584E-1
1.570579230E0	2.671961784E0	-1.034966588E0	9.839801788E-1
1.578614538E0	1.618822575E0	-1.958746314E0	8.257331848E-1
1.586758153E0	1.550027370E0	-2.708483934E0	3.828020096E-1
1.594952807E0	1.364069462E0	-3.152007103E0	9.244098663E-1
1.603154076E0	-1.372809410E-1	-4.823069096E0	-3.630733490E-2
1.611177499E0	6.232099533E-1	-5.081325054E0	-4.838333130E-1
1.619312345E0	9.453320503E-1	-4.343337059E0	-4.513969421E-1
1.627504538E0	7.540445328E-1	-4.391066074E0	-1.146492958E0
1.635616538E0	4.752793312E-1	-4.973633289E0	-8.530945778E-1
1.643757268E0	1.286823750E0	-4.992268562E0	-7.817802429E-1
1.651924961E0	1.645020962E0	-4.459686279E0	-1.008948803E0
1.659990230E0	1.327383518E0	-3.859148979E0	-1.032316685E0
1.668142884E0	4.949827194E-1	-2.406708479E0	-8.934030533E-1
1.676211614E0	-2.290349007E-1	-1.274143696E0	-1.308090687E0
1.684302268E0	-9.800763130E-1	-7.409418821E-1	-2.390700817E0
1.692402038E0	-2.144659281E0	-7.161599994E-1	-2.545128345E0
1.700649922E0	-2.577265501E0	-1.375611663E0	-2.404600620E0
1.708600384E0	-3.820349693E0	-3.375758648E0	-2.071459770E0
1.716774768E0	-3.657620907E0	-4.943494797E0	-3.179152966E0
1.724903114E0	-3.843909979E0	-5.531365395E0	-3.182336807E0
1.733030999E0	-6.482496262E0	-4.405129910E0	-4.377444744E0
1.741119461E0	-6.241507053E0	-6.046878815E0	-6.930782318E0
1.749329691E0	-4.228337288E0	-8.423006058E0	-7.147753239E0
1.757356384E0	-2.613206387E0	-6.046096325E0	-7.912067413E0
1.765500691E0	-2.371681690E0	-2.619555235E0	-7.550538063E0
1.773655961E0	-3.171735764E0	1.878456354E0	-3.491170406E0
1.781675807E0	-8.235270977E-1	2.647251606E0	5.072525024E0
