"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.898530770E-1	2.214636564E0	-1.051054597E0	1.013944435E1
1.927254570E-1	2.310404539E0	-1.115697980E0	1.020887566E1
1.943603460E-1	2.331952572E0	-1.185129881E0	1.020169353E1
1.967844180E-1	2.272097349E0	-1.271321058E0	1.013465595E1
1.980053080E-1	2.097320795E0	-1.357512355E0	1.004607010E1
2.008375720E-1	1.848323703E0	-1.412579060E0	1.002931118E1
2.023737310E-1	1.611297727E0	-1.417367458E0	1.010592556E1
2.048487310E-1	1.455674648E0	-1.371877551E0	1.022802925E1
2.061699230E-1	1.403002143E0	-1.295263171E0	1.031900978E1
2.089655340E-1	1.386242747E0	-1.170764685E0	1.034774017E1
2.103555770E-1	1.374271750E0	-1.041477680E0	1.035013390E1
2.129618080E-1	1.458068848E0	-9.433154464E-1	1.035013390E1
2.142751920E-1	1.608903527E0	-8.738836050E-1	1.037407589E1
2.171617260E-1	1.776497602E0	-8.451532125E-1	1.040759468E1
2.186882690E-1	1.915361404E0	-8.475474119E-1	1.042195988E1
2.212224570E-1	2.011129379E0	-8.786720037E-1	1.041956615E1
2.224110770E-1	2.068590164E0	-9.145850539E-1	1.041717148E1
2.252765340E-1	2.078166962E0	-9.433154464E-1	1.040280628E1
2.269363460E-1	2.068590164E0	-9.528923035E-1	1.035252857E1
2.293414180E-1	2.078166962E0	-9.433154464E-1	1.035252857E1
2.305105390E-1	2.092532396E0	-9.361328483E-1	1.040998936E1
2.333955340E-1	2.054224968E0	-9.600749016E-1	1.049618053E1
2.349025000E-1	2.149993181E0	-1.022324085E0	1.051293945E1
2.374226110E-1	2.219424963E0	-1.065419793E0	1.046266174E1
2.388606920E-1	2.334346771E0	-1.163581967E0	1.031422138E1
2.414763410E-1	2.336740971E0	-1.233013868E0	1.016578007E1
2.430001920E-1	2.157175779E0	-1.237802267E0	9.962273598E0
2.455357640E-1	1.968033791E0	-1.204283476E0	9.852140427E0
2.470597310E-1	1.752555609E0	-1.137245774E0	9.768342972E0
2.495891110E-1	1.522712231E0	-1.041477680E0	9.701305389E0
2.508183850E-1	1.273715258E0	-8.619126081E-1	9.739612579E0
2.537011870E-1	9.624691010E-1	-5.698199868E-1	9.940725327E0
