"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.488751810E-1	-9.187905788E-1	-3.893541694E-1	-6.519418359E-1
1.507863080E-1	-9.273127317E-1	-3.952131271E-1	-6.487460732E-1
1.529210650E-1	-9.363674521E-1	-4.000068009E-1	-6.428871155E-1
1.543426930E-1	-9.422264099E-1	-4.101268053E-1	-6.364955306E-1
1.569138730E-1	-9.448895454E-1	-4.154531360E-1	-6.311691999E-1
1.588026160E-1	-9.438242912E-1	-4.234426320E-1	-6.247776151E-1
1.607519230E-1	-9.416937828E-1	-4.372910559E-1	-6.205165386E-1
1.621968850E-1	-9.342369437E-1	-4.452805519E-1	-6.135923266E-1
1.649651040E-1	-9.230516553E-1	-4.538026452E-1	-6.082659960E-1
1.669112700E-1	-9.139968753E-1	-4.585963488E-1	-6.061354876E-1
1.689954110E-1	-8.953547478E-1	-4.676510990E-1	-6.024070382E-1
1.703181540E-1	-8.783105612E-1	-4.681837261E-1	-5.992112756E-1
1.730515270E-1	-8.570052385E-1	-4.660531878E-1	-5.960154533E-1
1.750801420E-1	-8.309062719E-1	-4.607268870E-1	-5.981460214E-1
1.771054110E-1	-8.090683818E-1	-4.575310946E-1	-5.970807076E-1
1.784539230E-1	-7.813714743E-1	-4.479437172E-1	-5.997439027E-1
1.811623730E-1	-7.568703890E-1	-4.388889670E-1	-6.008091569E-1
1.831636930E-1	-7.307714224E-1	-4.250405133E-1	-6.045376062E-1
1.851939880E-1	-7.121292949E-1	-4.213120937E-1	-6.109291911E-1
1.865666930E-1	-6.886934638E-1	-4.032025933E-1	-6.178534031E-1
1.892516030E-1	-6.609966159E-1	-3.834952116E-1	-6.263754964E-1
1.912798340E-1	-6.396912932E-1	-3.621899188E-1	-6.327670813E-1
1.932813340E-1	-6.173207760E-1	-3.414172530E-1	-6.418218613E-1
1.951886160E-1	-5.933523178E-1	-3.227751255E-1	-6.514092088E-1
1.972734500E-1	-5.752428174E-1	-3.030677438E-1	-6.588660479E-1
1.992673730E-1	-5.571333170E-1	-2.876214087E-1	-6.663229465E-1
2.012506160E-1	-5.464806557E-1	-2.775014043E-1	-6.636597514E-1
2.026484620E-1	-5.411543250E-1	-3.030677438E-1	-6.530070901E-1
2.052226160E-1	-5.416869521E-1	-3.163835406E-1	-6.386260390E-1
2.073224620E-1	-5.406216979E-1	-3.243730366E-1	-6.231797338E-1
