"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1.354457700E-2	-1.847999954E1	2.226000023E1	-2.784000015E1
2.154561600E-2	-1.961999893E1	2.039999962E0	-2.789999962E1
2.964850000E-2	-1.985999870E1	-8.399999619E0	-2.819999886E1
3.762053900E-2	-2.034000015E1	-1.842000008E1	-2.855999947E1
4.571734700E-2	-2.003999901E1	-1.847999954E1	-2.861999893E1
5.394911600E-2	-1.985999870E1	-1.871999931E1	-2.813999939E1
6.192665400E-2	-1.992000008E1	-1.818000031E1	-2.807999992E1
6.998027000E-2	-1.985999870E1	-1.818000031E1	-2.795999908E1
7.801361600E-2	-2.010000038E1	-1.800000000E1	-2.771999931E1
8.611380800E-2	-2.045999908E1	-1.787999916E1	-2.765999985E1
9.430915400E-2	-2.057999992E1	-1.829999924E1	-2.777999878E1
1.022672310E-1	-2.081999969E1	-1.805999947E1	-2.801999855E1
1.104471160E-1	-2.076000023E1	-1.847999954E1	-2.801999855E1
1.184360770E-1	-2.093999863E1	-1.835999870E1	-2.850000000E1
1.265763080E-1	-2.100000000E1	-1.811999893E1	-2.861999893E1
1.347178850E-1	-2.081999969E1	-1.847999954E1	-2.819999886E1
1.427524230E-1	-2.045999908E1	-1.835999870E1	-2.873999977E1
1.507899230E-1	-2.003999901E1	-1.823999977E1	-2.855999947E1
1.588071540E-1	-2.010000038E1	-1.818000031E1	-2.850000000E1
1.669160390E-1	-2.052000046E1	-1.805999947E1	-2.892000008E1
1.750801420E-1	-2.081999969E1	-1.757999992E1	-2.885999870E1
1.831687310E-1	-2.118000031E1	-1.745999908E1	-2.879999924E1
1.912798340E-1	-2.100000000E1	-1.727999878E1	-2.921999931E1
1.992673730E-1	-2.076000023E1	-1.703999901E1	-2.921999931E1
2.073285770E-1	-2.105999947E1	-1.697999954E1	-2.927999878E1
2.154571420E-1	-2.093999863E1	-1.710000038E1	-2.939999962E1
2.234855000E-1	-2.118000031E1	-1.721999931E1	-2.897999954E1
2.316575650E-1	-2.147999954E1	-1.703999901E1	-2.903999901E1
2.396413080E-1	-2.111999893E1	-1.679999924E1	-2.897999954E1
2.477056160E-1	-2.081999969E1	-1.650000000E1	-2.951999855E1
2.558390770E-1	-2.087999916E1	-1.637999916E1	-2.951999855E1
2.638280770E-1	-2.045999908E1	-1.637999916E1	-2.963999939E1
2.720155770E-1	-2.015999985E1	-1.650000000E1	-2.981999969E1
2.800385260E-1	-2.010000038E1	-1.637999916E1	-2.951999855E1
2.880436540E-1	-2.021999931E1	-1.602000046E1	-3.011999893E1
2.962173340E-1	-2.057999992E1	-1.619999886E1	-3.023999977E1
3.042091920E-1	-2.111999893E1	-1.589999962E1	-3.017999840E1
3.124194880E-1	-2.118000031E1	-1.577999973E1	-3.005999947E1
3.203490000E-1	-2.093999863E1	-1.553999996E1	-2.934000015E1
3.284448080E-1	-2.063999939E1	-1.511999989E1	-2.868000031E1
3.365977180E-1	-2.123999977E1	-1.535999966E1	-2.837999916E1
3.446369620E-1	-2.177999878E1	-1.565999985E1	-2.771999931E1
3.527970640E-1	-2.279999924E1	-1.626000023E1	-2.753999901E1
3.607859620E-1	-2.369999886E1	-1.626000023E1	-2.771999931E1
3.687929620E-1	-2.351999855E1	-1.607999992E1	-2.759999847E1
3.769831030E-1	-2.411999893E1	-1.596000004E1	-2.826000023E1
3.849996920E-1	-2.387999916E1	-1.571999931E1	-2.843999863E1
3.931087310E-1	-2.363999939E1	-1.589999962E1	-2.843999863E1
4.011679100E-1	-2.369999886E1	-1.596000004E1	-2.843999863E1
4.092000390E-1	-2.310000038E1	-1.589999962E1	-2.813999939E1
4.173436790E-1	-2.279999924E1	-1.565999985E1	-2.795999908E1
4.253683460E-1	-2.195999908E1	-1.583999920E1	-2.771999931E1
4.335430260E-1	-2.184000015E1	-1.565999985E1	-2.759999847E1
4.414582690E-1	-2.177999878E1	-1.607999992E1	-2.777999878E1
4.496343330E-1	-2.160000038E1	-1.650000000E1	-2.855999947E1
4.577212180E-1	-2.195999908E1	-1.673999977E1	-2.897999954E1
4.657298460E-1	-2.160000038E1	-1.739999962E1	-2.963999939E1
4.739078080E-1	-2.123999977E1	-1.734000015E1	-2.963999939E1
4.819118850E-1	-2.057999992E1	-1.776000023E1	-2.921999931E1
4.900061790E-1	-2.034000015E1	-1.800000000E1	-2.885999870E1
4.981081020E-1	-2.021999931E1	-1.781999969E1	-2.789999962E1
5.061070770E-1	-2.057999992E1	-1.787999916E1	-2.747999954E1
5.142819620E-1	-2.087999916E1	-1.752000046E1	-2.747999954E1
5.222968330E-1	-2.123999977E1	-1.734000015E1	-2.729999924E1
5.303839480E-1	-2.195999908E1	-1.692000008E1	-2.789999962E1
5.384726410E-1	-2.219999886E1	-1.685999870E1	-2.759999847E1
5.464590000E-1	-2.381999969E1	-1.727999878E1	-2.687999916E1
5.546413710E-1	-2.460000038E1	-1.685999870E1	-2.634000015E1
5.625505000E-1	-2.519999886E1	-1.692000008E1	-2.561999893E1
5.706791150E-1	-2.634000015E1	-1.721999931E1	-2.513999939E1
5.788229100E-1	-2.693999863E1	-1.668000031E1	-2.442000008E1
5.869212560E-1	-2.801999855E1	-1.721999931E1	-2.363999939E1
5.949727690E-1	-2.957999992E1	-1.757999992E1	-2.292000008E1
6.030001920E-1	-3.000000000E1	-1.715999985E1	-2.268000031E1
6.111106790E-1	-2.981999969E1	-1.745999908E1	-2.213999939E1
