"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
7.181384480E-1	1.268689513E0	-1.399214268E-1	1.494814873E0
7.259672690E-1	1.029687047E0	-8.351757526E-1	1.238791466E0
7.423354860E-1	1.407621622E0	-1.901792049E0	5.439548492E-1
7.504222170E-1	8.894426823E-1	-1.704779148E0	3.887948990E-1
7.585238320E-1	1.973906517E0	-1.484941244E0	-1.161993027E0
7.665111780E-1	2.806348324E0	-1.248132467E0	-1.544799328E0
7.745965240E-1	3.016385794E0	-1.033285737E0	-1.097009659E0
7.827079090E-1	1.055645704E0	7.580593228E-1	2.002735138E-1
7.907943320E-1	5.177321434E-1	9.176540375E-1	-1.436758041E-1
7.988809090E-1	7.965579033E-1	1.551446319E-1	-7.153568268E-1
8.067211920E-1	1.595613956E-1	-6.085032225E-2	-1.108096123E0
8.149669860E-1	-7.627203465E-1	2.495295405E-1	-8.697586060E-1
8.230613700E-1	-1.375481844E0	3.803007603E-1	-5.730543137E-1
8.311608320E-1	-1.647426605E0	-6.914532185E-2	-6.637573242E-3
8.392449090E-1	-2.015159607E0	-4.424023628E-2	1.565101624E0
8.472416780E-1	-1.890391827E0	-2.070378959E-1	1.858482361E0
8.553423320E-1	2.159190178E-1	-6.893576384E-1	8.490743637E-1
8.634389090E-1	2.578974724E0	-4.657858014E-1	-5.019006729E-1
8.715241780E-1	3.224874496E0	-3.702592850E-2	-8.895702362E-1
8.796239080E-1	2.934346676E0	4.973226786E-2	-4.160165787E-1
8.874981540E-1	1.977892876E0	3.142197132E-1	5.600786209E-1
8.956791540E-1	9.837503433E-1	1.250059605E-1	5.053339005E-1
9.038081780E-1	-2.744417191E-1	-3.476247489E-1	4.511384964E-1
9.118948310E-1	-8.992586136E-1	-9.891681075E-1	5.960083008E-1
9.279829080E-1	-2.561364651E0	-3.562635183E-2	1.542111397E0
9.360689080E-1	-1.977777123E0	-4.768067896E-1	2.047877312E0
9.441647160E-1	-1.181124687E0	-5.609146357E-1	1.554727554E0
9.522681770E-1	-7.571644783E-1	2.642322779E-1	2.066071510E0
9.603574470E-1	1.294639111E-1	-6.217914820E-2	2.425145149E0
9.682492690E-1	5.087630749E-1	4.036575556E-1	1.856933594E0
9.764194610E-1	5.035245419E-1	4.812269211E-1	5.056724548E-1
9.845627930E-1	4.408421516E-1	3.855297565E-1	-9.777936935E-1
9.926516000E-1	-3.607158661E-1	8.689374924E-1	-1.868348598E0
1.000756523E0	-6.231493950E-1	1.419254303E0	-2.308319569E0
1.008595769E0	-4.282042980E-1	1.017751336E0	-2.526288509E0
1.016840177E0	-9.533836842E-1	1.326128840E0	-2.540698528E0
1.025123485E0	-1.481106400E0	1.881871939E0	-2.140246391E0
1.033028946E0	-9.763368368E-1	6.769517660E-1	-2.052078247E0
1.041118254E0	1.590094566E-1	-1.277224302E0	-2.041372299E0
1.048899615E0	1.449154139E0	-2.174617290E0	-5.518417358E-1
1.057151769E0	3.076312542E-1	-2.356410980E0	7.698059082E-2
1.065309562E0	-8.216823339E-1	-2.363144159E0	1.369665146E0
1.073412215E0	-1.944014668E0	-2.335582018E0	2.433966637E0
1.081499215E0	-2.113378763E0	-1.989400625E0	2.789519310E0
1.089320269E0	-2.124805927E0	-1.358796358E0	2.638348579E0
1.097597192E0	-1.836263657E0	-8.805156350E-1	1.927395821E0
1.105695485E0	-1.402467489E0	-5.150664449E-1	1.397352219E0
1.113784408E0	-6.549996138E-2	-6.426210999E-1	1.063658714E0
1.121887061E0	1.681743622E0	-8.609678745E-1	7.639036179E-1
1.129653192E0	2.220197916E0	1.099233627E-1	6.521244049E-1
1.137964061E0	2.980270386E0	-1.128360033E-1	6.975917816E-1
