"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
4.808616000E-3	-3.667917013E0	4.338293552E0	7.297526836E0
7.605412000E-3	-3.655946016E0	4.326322556E0	7.319074631E0
8.762962000E-3	-3.634398222E0	4.316745758E0	7.340622425E0
1.159783500E-2	-3.624821424E0	4.316745758E0	7.371747017E0
1.350634700E-2	-3.617638826E0	4.319139957E0	7.405265808E0
1.559437300E-2	-3.624821424E0	4.321534157E0	7.445967197E0
1.690677000E-2	-3.627215624E0	4.333505154E0	7.491456985E0
1.965306600E-2	-3.639186621E0	4.343081951E0	7.527369976E0
2.151584700E-2	-3.653551817E0	4.340687752E0	7.570465565E0
2.368552700E-2	-3.660734415E0	4.323928356E0	7.637503624E0
2.489880800E-2	-3.643975019E0	4.297592163E0	7.723694801E0
2.774379600E-2	-3.605667830E0	4.266467571E0	7.826645374E0
2.962127000E-2	-3.550601006E0	4.218583584E0	7.941566944E0
3.179102700E-2	-3.514688015E0	4.158728123E0	8.037335396E0
3.312111600E-2	-3.488351822E0	4.091690540E0	8.123526573E0
3.578587300E-2	-3.464409828E0	4.036623955E0	8.204929352E0
3.759184700E-2	-3.454833031E0	3.983951569E0	8.264783859E0
3.952550000E-2	-3.457227230E0	3.943250179E0	8.307879448E0
4.101834700E-2	-3.464409828E0	3.919308186E0	8.358158112E0
4.350888500E-2	-3.469198227E0	3.892971992E0	8.418013573E0
4.569211600E-2	-3.478775024E0	3.869029999E0	8.504204750E0
4.787356600E-2	-3.488351822E0	3.854664803E0	8.552088737E0
4.910730800E-2	-3.495534420E0	3.845088005E0	8.604761124E0
5.193064200E-2	-3.505111217E0	3.845088005E0	8.655038834E0
5.392565400E-2	-3.512293816E0	3.854664803E0	8.693346024E0
5.598656500E-2	-3.507505417E0	3.864241600E0	8.722076416E0
5.722715400E-2	-3.495534420E0	3.869029999E0	8.731653214E0
6.004379600E-2	-3.493140221E0	3.873818398E0	8.736441612E0
6.190030800E-2	-3.488351822E0	3.885789394E0	8.753201485E0
6.407448900E-2	-3.471592426E0	3.895366192E0	8.762778282E0
6.530553900E-2	-3.450044632E0	3.907337189E0	8.769960403E0
6.813141200E-2	-3.423708439E0	3.921702385E0	8.779537201E0
6.995907700E-2	-3.394978046E0	3.928884983E0	8.779537201E0
7.216210400E-2	-3.368641853E0	3.940855980E0	8.757989883E0
7.351750000E-2	-3.339911461E0	3.957615376E0	8.734047890E0
7.615515400E-2	-3.311181068E0	3.988739967E0	8.712499619E0
7.799034600E-2	-3.292027235E0	4.022258759E0	8.695740700E0
7.990453900E-2	-3.280056238E0	4.046200752E0	8.667010307E0
8.139473100E-2	-3.272873640E0	4.060565948E0	8.638279915E0
8.415011600E-2	-3.265691042E0	4.067748547E0	8.628703117E0
8.606577000E-2	-3.256114244E0	4.082113743E0	8.621520042E0
8.816007700E-2	-3.244143248E0	4.129997730E0	8.616731644E0
8.948361600E-2	-3.236960649E0	4.161122322E0	8.619126320E0
9.230687300E-2	-3.222595453E0	4.129997730E0	8.590395927E0
9.425880800E-2	-3.191470861E0	4.067748547E0	8.528146744E0
9.634675800E-2	-3.157952070E0	4.015076160E0	8.453926086E0
9.758253900E-2	-3.129221678E0	3.993528366E0	8.374917984E0
1.004034880E-1	-3.124433279E0	3.988739967E0	8.295908928E0
1.022420390E-1	-3.141192675E0	3.981557369E0	8.231265068E0
1.044489500E-1	-3.172317266E0	3.976768970E0	8.171410561E0
1.056832310E-1	-3.196259260E0	3.969586372E0	8.104372978E0
1.085055650E-1	-3.229778051E0	3.962403774E0	8.032546997E0
1.103990000E-1	-3.272873640E0	3.962403774E0	7.967903137E0
1.125361420E-1	-3.308786631E0	3.962403774E0	7.898471355E0
1.139305770E-1	-3.344699860E0	3.969586372E0	7.843404770E0
1.165382960E-1	-3.390189648E0	3.981557369E0	7.793126583E0
1.183845390E-1	-3.430891037E0	3.993528366E0	7.740454197E0
1.204187310E-1	-3.469198227E0	4.003105164E0	7.692570210E0
1.217954230E-1	-3.507505417E0	4.010287762E0	7.663839817E0
1.243921540E-1	-3.533841610E0	4.024652958E0	7.649474621E0
1.264804230E-1	-3.562572241E0	4.039018154E0	7.644686222E0
1.286352580E-1	-3.574543238E0	4.062960148E0	7.656657219E0
1.299298080E-1	-3.593696833E0	4.079719543E0	7.678205013E0
1.326917960E-1	-3.632004023E0	4.096478939E0	7.716512203E0
1.346711160E-1	-3.667917013E0	4.118026733E0	7.766790390E0
1.367308730E-1	-3.701435804E0	4.134786129E0	7.814674377E0
1.379863080E-1	-3.739742994E0	4.141968727E0	7.876923561E0
1.407875270E-1	-3.773261786E0	4.144362926E0	7.951143742E0
1.426646160E-1	-3.794809580E0	4.137180328E0	8.022970200E0
1.448179500E-1	-3.806780815E0	4.122815132E0	8.092401505E0
1.460710000E-1	-3.816357613E0	4.096478939E0	8.173804283E0
1.488751810E-1	-3.845088005E0	4.043806553E0	8.315062523E0
1.507546930E-1	-3.866635799E0	4.007893562E0	8.418013573E0
1.529210650E-1	-3.883395195E0	3.988739967E0	8.537723541E0
1.543034230E-1	-3.909731388E0	3.967192173E0	8.655038834E0
1.569138730E-1	-3.936067581E0	3.938461781E0	8.772355080E0
1.587602700E-1	-3.960009575E0	3.919308186E0	8.899248123E0
1.606993460E-1	-3.976768970E0	3.902548790E0	9.045293808E0
1.621574230E-1	-3.981557369E0	3.895366192E0	9.186552048E0
1.649383460E-1	-3.971980572E0	3.900154591E0	9.313444138E0
1.668423080E-1	-3.957615376E0	3.907337189E0	9.435548782E0
1.689954110E-1	-3.950432777E0	3.909731388E0	9.562441826E0
1.702630390E-1	-3.940855980E0	3.907337189E0	9.696516991E0
1.730515270E-1	-3.902548790E0	3.909731388E0	9.804255486E0
1.750801420E-1	-3.847482204E0	3.912125587E0	9.888052940E0
1.771054110E-1	-3.785232782E0	3.897760391E0	9.964667320E0
1.783577310E-1	-3.720589399E0	3.869029999E0	1.002931118E1
1.811623730E-1	-3.648763418E0	3.825934410E0	1.007240677E1
1.831209620E-1	-3.579331636E0	3.775655985E0	1.007480049E1
1.851939880E-1	-3.526659012E0	3.715801001E0	1.005564690E1
1.864633460E-1	-3.478775024E0	3.641580820E0	1.005804157E1
1.892516030E-1	-3.430891037E0	3.569754839E0	1.004128170E1
1.912798340E-1	-3.385401249E0	3.509899616E0	1.000058079E1
1.932813340E-1	-3.359065056E0	3.445256233E0	9.943120003E0
1.948357310E-1	-3.330334663E0	3.383007050E0	9.890447617E0
1.972734500E-1	-3.308786631E0	3.318363667E0	9.852140427E0
