"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.582497690E-1	5.752427876E-2	-2.934803665E-1	-2.055960447E-1
1.602953750E-1	6.338323653E-2	-2.759034932E-1	-2.125202566E-1
1.615581920E-1	7.456851006E-2	-2.604571581E-1	-2.221076339E-1
1.643534520E-1	8.628641814E-2	-2.466087192E-1	-2.311623842E-1
1.663827590E-1	9.108011425E-2	-2.402171344E-1	-2.386192381E-1
1.682410380E-1	1.017327532E-1	-2.359560728E-1	-2.428802997E-1
1.696613070E-1	1.075917110E-1	-2.343581766E-1	-2.455434501E-1
1.724444900E-1	1.118527651E-1	-2.354234457E-1	-2.444781959E-1
1.743922690E-1	1.166464612E-1	-2.364887148E-1	-2.471413612E-1
1.764903750E-1	1.182443574E-1	-2.386192381E-1	-2.466087192E-1
1.777653840E-1	1.219727769E-1	-2.423476577E-1	-2.450108230E-1
1.805480280E-1	1.267664731E-1	-2.434129268E-1	-2.444781959E-1
1.825300770E-1	1.299622655E-1	-2.428802997E-1	-2.423476577E-1
1.845807980E-1	1.326254308E-1	-2.418150306E-1	-2.396845073E-1
1.859939230E-1	1.363538504E-1	-2.375539690E-1	-2.380866110E-1
1.885806440E-1	1.400822699E-1	-2.338255495E-1	-2.359560728E-1
1.905572300E-1	1.454086006E-1	-2.327602804E-1	-2.332929224E-1
1.925774130E-1	1.507349163E-1	-2.322276533E-1	-2.316950262E-1
1.939198460E-1	1.560612470E-1	-2.343581766E-1	-2.338255495E-1
1.966351050E-1	1.613875628E-1	-2.380866110E-1	-2.306297570E-1
1.986644510E-1	1.661812514E-1	-2.434129268E-1	-2.338255495E-1
2.006813360E-1	1.699096859E-1	-2.471413612E-1	-2.332929224E-1
2.019626530E-1	1.704423130E-1	-2.514024079E-1	-2.306297570E-1
2.046231530E-1	1.757686287E-1	-2.577939928E-1	-2.327602804E-1
2.067690670E-1	1.731054783E-1	-2.631203234E-1	-2.359560728E-1
2.087710280E-1	1.763012707E-1	-2.700445354E-1	-2.359560728E-1
2.100291920E-1	1.778991669E-1	-2.775014043E-1	-2.380866110E-1
2.128284900E-1	1.763012707E-1	-2.822950780E-1	-2.396845073E-1
2.148266530E-1	1.747033745E-1	-2.860234976E-1	-2.412824035E-1
2.168605670E-1	1.752360016E-1	-2.902845740E-1	-2.386192381E-1
2.181802690E-1	1.736381054E-1	-2.913498282E-1	-2.364887148E-1
2.209181440E-1	1.720402092E-1	-2.918824553E-1	-2.338255495E-1
2.228873070E-1	1.720402092E-1	-2.908172011E-1	-2.316950262E-1
2.249651440E-1	1.725728363E-1	-2.924150825E-1	-2.338255495E-1
2.264372300E-1	1.688444167E-1	-2.945456207E-1	-2.253034264E-1
2.289742980E-1	1.688444167E-1	-3.004045784E-1	-2.247707993E-1
2.309681050E-1	1.672465205E-1	-3.073287904E-1	-2.210423797E-1
2.329702590E-1	1.677791476E-1	-3.147856593E-1	-2.189118415E-1
2.342302300E-1	1.656486243E-1	-3.195793331E-1	-2.151834220E-1
2.370276440E-1	1.640507281E-1	-3.275688291E-1	-2.114549875E-1
2.389450380E-1	1.645833552E-1	-3.350256681E-1	-2.109223604E-1
2.410583740E-1	1.667138934E-1	-3.430151641E-1	-2.077265680E-1
2.423784230E-1	1.635181010E-1	-3.499393761E-1	-2.055960447E-1
2.450991920E-1	1.651159972E-1	-3.595267534E-1	-2.008023560E-1
2.471441820E-1	1.629854590E-1	-3.664509654E-1	-2.029328793E-1
2.489816530E-1	1.661812514E-1	-3.728425503E-1	-1.986718178E-1
2.504381920E-1	1.667138934E-1	-3.813646734E-1	-1.965412945E-1
2.532182970E-1	1.683117896E-1	-3.840278387E-1	-1.986718178E-1
2.551969610E-1	1.651159972E-1	-3.882888854E-1	-1.949433982E-1
2.572499130E-1	1.667138934E-1	-3.904194236E-1	-1.933455020E-1
2.585038460E-1	1.661812514E-1	-3.904194236E-1	-1.896170676E-1
2.613068740E-1	1.656486243E-1	-3.914846778E-1	-1.880191714E-1
2.632354610E-1	1.699096859E-1	-3.888215125E-1	-1.874865443E-1
2.653376050E-1	1.720402092E-1	-3.920173049E-1	-1.864212751E-1
2.668563840E-1	1.736381054E-1	-3.914846778E-1	-1.896170676E-1
2.693346440E-1	1.784317940E-1	-3.984089196E-1	-1.885518134E-1
2.712303070E-1	1.826928556E-1	-4.021373391E-1	-1.890844405E-1
2.733450670E-1	1.837581247E-1	-4.053331316E-1	-1.912149638E-1
2.746143840E-1	1.853560209E-1	-4.117247164E-1	-1.938781291E-1
2.774017590E-1	1.880191714E-1	-4.133225977E-1	-1.960086524E-1
2.793078070E-1	1.864212751E-1	-4.181163013E-1	-2.013349831E-1
2.814330670E-1	1.885518134E-1	-4.213120937E-1	-2.039981484E-1
2.827755760E-1	1.874865443E-1	-4.229099751E-1	-2.109223604E-1
2.853748460E-1	1.885518134E-1	-4.271710515E-1	-2.183792144E-1
2.875182970E-1	1.853560209E-1	-4.319647253E-1	-2.247707993E-1
2.895193740E-1	1.826928556E-1	-4.335626364E-1	-2.338255495E-1
2.908241150E-1	1.778991669E-1	-4.415521026E-1	-2.444781959E-1
2.935766430E-1	1.725728363E-1	-4.468784332E-1	-2.519350350E-1
2.955070380E-1	1.651159972E-1	-4.554005563E-1	-2.620550692E-1
2.976220280E-1	1.587243974E-1	-4.644553065E-1	-2.721750736E-1
2.988958840E-1	1.496696621E-1	-4.767058492E-1	-2.790992856E-1
3.016796050E-1	1.411475390E-1	-4.873584807E-1	-2.860234976E-1
3.036023460E-1	1.320927888E-1	-4.969458580E-1	-2.956108749E-1
3.057105660E-1	1.241033077E-1	-5.086637735E-1	-3.014698327E-1
3.071719230E-1	1.171790883E-1	-5.166532397E-1	-3.083940744E-1
3.097192970E-1	1.038632840E-1	-5.230448246E-1	-3.158509135E-1
3.117137200E-1	9.480853379E-2	-5.294364095E-1	-3.190467060E-1
3.137166820E-1	8.415589482E-2	-5.331648588E-1	-3.217098713E-1
3.149789230E-1	7.403588295E-2	-5.342301130E-1	-3.302319944E-1
3.177746050E-1	6.338323653E-2	-5.363606811E-1	-3.344930410E-1
3.197154230E-1	5.486112088E-2	-5.336974859E-1	-3.382214606E-1
3.218215280E-1	4.633900523E-2	-5.347627401E-1	-3.424825370E-1
3.230873460E-1	3.888215125E-2	-5.315669775E-1	-3.478088379E-1
3.258661530E-1	3.195793182E-2	-5.289037824E-1	-3.456783295E-1
3.279082590E-1	2.609897964E-2	-5.267732739E-1	-3.488741219E-1
3.297862300E-1	2.130528912E-2	-5.262406468E-1	-3.456783295E-1
3.312703460E-1	1.384843793E-2	-5.262406468E-1	-3.430151641E-1
3.339678740E-1	5.858954508E-3	-5.320996046E-1	-3.360909224E-1
3.359465380E-1	-5.326322280E-4	-5.352953672E-1	-3.281014562E-1
3.379988360E-1	-6.924218964E-3	-5.427522659E-1	-3.222424984E-1
3.392801530E-1	-1.012001187E-2	-5.528722405E-1	-3.137203753E-1
3.420562200E-1	-1.438106969E-2	-5.661880374E-1	-3.046656251E-1
3.440002300E-1	-2.343581803E-2	-5.789712071E-1	-2.966761589E-1
3.461019890E-1	-3.089267015E-2	-5.954828262E-1	-2.918824553E-1
3.475508070E-1	-3.728425503E-2	-6.130596995E-1	-2.844256163E-1
3.501096050E-1	-4.367584363E-2	-6.348975897E-1	-2.790992856E-1
3.520026920E-1	-5.219795927E-2	-6.535397172E-1	-2.732403278E-1
3.541058360E-1	-5.965480953E-2	-6.743124127E-1	-2.700445354E-1
3.553724610E-1	-6.870955974E-2	-6.945524216E-1	-2.668487430E-1
3.581634120E-1	-7.882957160E-2	-7.121292949E-1	-2.636529505E-1
3.601557300E-1	-8.735168725E-2	-7.334345579E-1	-2.599245310E-1
3.621938740E-1	-9.374327213E-2	-7.510114312E-1	-2.588592768E-1
3.635038460E-1	-1.043959185E-1	-7.691209316E-1	-2.572613657E-1
3.661462690E-1	-1.123853996E-1	-7.893609405E-1	-2.535329461E-1
3.682804510E-1	-1.193096191E-1	-8.101336360E-1	-2.498045117E-1
3.702973350E-1	-1.320927888E-1	-8.383631110E-1	-2.519350350E-1
3.715682300E-1	-1.336906850E-1	-8.474178910E-1	-2.498045117E-1
3.743544120E-1	-1.454086006E-1	-8.633968234E-1	-2.519350350E-1
3.763833740E-1	-1.507349163E-1	-8.697884083E-1	-2.577939928E-1
3.783852970E-1	-1.549959779E-1	-8.703210354E-1	-2.609897852E-1
3.797898460E-1	-1.581917703E-1	-8.628641963E-1	-2.684466541E-1
3.824424510E-1	-1.603222936E-1	-8.575378656E-1	-2.743056118E-1
3.844712970E-1	-1.656486243E-1	-8.420915604E-1	-2.822950780E-1
3.864731050E-1	-1.624528319E-1	-8.287757635E-1	-2.934803665E-1
3.879630380E-1	-1.672465205E-1	-8.111988902E-1	-3.014698327E-1
3.904709890E-1	-1.667138934E-1	-7.930893898E-1	-3.110572100E-1
3.924649120E-1	-1.688444167E-1	-7.781757116E-1	-3.179814517E-1
3.944829120E-1	-1.709749401E-1	-7.611314654E-1	-3.222424984E-1
3.957275760E-1	-1.715075821E-1	-7.467503548E-1	-3.249056637E-1
3.985393350E-1	-1.784317940E-1	-7.350324988E-1	-3.302319944E-1
4.005681430E-1	-1.848233789E-1	-7.265103459E-1	-3.312972486E-1
4.025700280E-1	-1.906823367E-1	-7.185208797E-1	-3.366235793E-1
4.039305380E-1	-2.013349831E-1	-7.174556255E-1	-3.366235793E-1
4.065534990E-1	-2.103897333E-1	-7.163903713E-1	-3.376888335E-1
4.086563350E-1	-2.231729031E-1	-7.201187611E-1	-3.334277868E-1
4.104730380E-1	-2.348908186E-1	-7.233145833E-1	-3.328951299E-1
4.119169990E-1	-2.482066154E-1	-7.291735411E-1	-3.265035450E-1
4.147170660E-1	-2.631203234E-1	-7.334345579E-1	-3.190467060E-1
4.166692300E-1	-2.753708661E-1	-7.419567108E-1	-3.121224940E-1
4.187636040E-1	-2.881540358E-1	-7.483482957E-1	-3.025351167E-1
4.207577970E-1	-3.020024598E-1	-7.547398806E-1	-2.924150825E-1
4.228216430E-1	-3.142530024E-1	-7.627293468E-1	-2.801645398E-1
4.248506430E-1	-3.217098713E-1	-7.685883045E-1	-2.668487430E-1
4.268532200E-1	-3.286340833E-1	-7.760451436E-1	-2.535329461E-1
4.284788840E-1	-3.334277868E-1	-7.792409658E-1	-2.380866110E-1
4.308503740E-1	-3.403519988E-1	-7.803062201E-1	-2.237055302E-1
4.327628070E-1	-3.446130455E-1	-7.819041014E-1	-2.077265680E-1
4.348461810E-1	-3.526025414E-1	-7.803062201E-1	-1.901497096E-1
4.361885380E-1	-3.605920076E-1	-7.797735929E-1	-1.725728363E-1
4.389032970E-1	-3.669835925E-1	-7.765777707E-1	-1.587243974E-1
4.409320270E-1	-3.701793849E-1	-7.685883045E-1	-1.432780623E-1
4.429489890E-1	-3.760383427E-1	-7.590008974E-1	-1.294296384E-1
4.442688070E-1	-3.792341352E-1	-7.488809228E-1	-1.155811921E-1
4.468970760E-1	-3.829625845E-1	-7.329019308E-1	-1.012001261E-1
4.489788070E-1	-3.909520507E-1	-7.195861340E-1	-8.522115648E-2
4.510252300E-1	-3.978762627E-1	-7.089334726E-1	-6.764429063E-2
4.524465380E-1	-4.053331316E-1	-6.977482438E-1	-4.687163606E-2
4.550950270E-1	-4.175836742E-1	-6.892260909E-1	-2.929477207E-2
4.570386530E-1	-4.282363057E-1	-6.854977012E-1	-9.587380104E-3
4.591262970E-1	-4.426173866E-1	-6.801713705E-1	1.118527725E-2
4.604215380E-1	-4.575310946E-1	-6.823018789E-1	3.089267015E-2
4.631833740E-1	-4.724447727E-1	-6.876282096E-1	5.113269389E-2
4.651488070E-1	-4.884237647E-1	-6.956176758E-1	6.870955974E-2
4.672293350E-1	-5.086637735E-1	-7.110640407E-1	8.522115648E-2
4.688031150E-1	-5.273059011E-1	-7.286409140E-1	1.017327532E-1
4.712389500E-1	-5.491438508E-1	-7.552725077E-1	1.129180342E-1
4.732335660E-1	-5.720469952E-1	-7.877630591E-1	1.235706806E-1
4.752361040E-1	-5.965480804E-1	-8.186557293E-1	1.336906850E-1
4.765172690E-1	-6.263754964E-1	-8.559399843E-1	1.416801661E-1
4.792935660E-1	-6.657902598E-1	-9.139968753E-1	1.480717659E-1
4.812799990E-1	-6.956176758E-1	-9.550095797E-1	1.576591432E-1
4.833246430E-1	-7.291735411E-1	-9.938917160E-1	1.576591432E-1
4.846511530E-1	-7.605988383E-1	-1.031708598E0	1.677791476E-1
4.871899230E-1	-7.952198982E-1	-1.074851871E0	1.736381054E-1
4.893414990E-1	-8.325041533E-1	-1.113734007E0	1.800296903E-1
4.911869990E-1	-8.660600185E-1	-1.155811906E0	1.869539171E-1
4.926731920E-1	-9.001484513E-1	-1.196824670E0	1.976065636E-1
4.954843350E-1	-9.353021979E-1	-1.237837315E0	2.066612989E-1
4.974049610E-1	-9.683253765E-1	-1.276719451E0	2.178465873E-1
4.995152580E-1	-9.997506738E-1	-1.314536333E0	2.316950262E-1
5.007665380E-1	-1.030643344E0	-1.347559571E0	2.439455539E-1
5.035720660E-1	-1.061003447E0	-1.377386928E0	2.609897852E-1
5.056012580E-1	-1.088167667E0	-1.402420640E0	2.727077007E-1
