"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
7.940731000E-3	4.070142806E-1	2.161964178E0	9.109937668E0
1.077256800E-2	3.471592367E-1	2.181117773E0	8.916007042E0
1.203253800E-2	3.471592367E-1	2.229001760E0	8.822632790E0
1.486622100E-2	4.070142806E-1	2.243366957E0	8.923190117E0
1.618573100E-2	4.836287498E-1	2.236184359E0	9.112331390E0
1.895999100E-2	5.698199868E-1	2.231395960E0	9.224859238E0
2.092769200E-2	6.488286853E-1	2.252943754E0	9.232041359E0
2.301506800E-2	7.134721279E-1	2.296039343E0	9.260771751E0
2.447753800E-2	7.422025204E-1	2.339135170E0	9.385271072E0
2.703410600E-2	7.661445141E-1	2.367865562E0	9.550470352E0
2.889992300E-2	8.020575643E-1	2.410961151E0	9.662998199E0
3.104556800E-2	8.355764151E-1	2.458845139E0	9.691728592E0
3.249896100E-2	8.523358107E-1	2.482787132E0	9.660603523E0
3.510352900E-2	8.379706144E-1	2.475604534E0	9.619902611E0
3.713322100E-2	8.044517636E-1	2.454056740E0	9.603142738E0
3.913537500E-2	7.852981687E-1	2.439691544E0	9.586383820E0
4.046903800E-2	7.757213712E-1	2.432508945E0	9.555258751E0
4.303153800E-2	7.709329724E-1	2.430114746E0	9.514557838E0
4.516957700E-2	7.613561153E-1	2.410961151E0	9.466673851E0
4.722526000E-2	7.661445141E-1	2.375048161E0	9.411606789E0
4.859388400E-2	7.924807668E-1	2.322375536E0	9.366117477E0
5.128283700E-2	8.236053586E-1	2.262520552E0	9.339780807E0
5.317915400E-2	8.571242094E-1	2.209848166E0	9.325415611E0
5.532868300E-2	8.930372596E-1	2.171540976E0	9.330204010E0
5.654188400E-2	9.145850539E-1	2.145204782E0	9.344569206E0
5.938602900E-2	9.145850539E-1	2.130839586E0	9.363722801E0
6.127292300E-2	9.145850539E-1	2.126051188E0	9.392453194E0
6.341764400E-2	9.026140571E-1	2.123656988E0	9.425971985E0
6.479219200E-2	8.714894056E-1	2.123656988E0	9.461885452E0
6.742649000E-2	8.331822157E-1	2.126051188E0	9.483432770E0
6.927573000E-2	7.876923680E-1	2.126051188E0	9.485827446E0
7.142352900E-2	7.493851185E-1	2.121262789E0	9.457097054E0
7.265953800E-2	7.206547260E-1	2.109291792E0	9.394847870E0
7.548202900E-2	7.134721279E-1	2.111685991E0	9.270348549E0
7.739023000E-2	7.254431248E-1	2.116474390E0	9.179368973E0
7.952818300E-2	7.398083210E-1	2.126051188E0	9.085995674E0
8.080426900E-2	7.637503147E-1	2.138022184E0	8.987833023E0
8.344973000E-2	7.924807668E-1	2.140416384E0	8.889671326E0
8.556142300E-2	8.188169599E-1	2.133233786E0	8.798690796E0
8.737692300E-2	8.499416113E-1	2.126051188E0	8.707711220E0
8.887480700E-2	8.834604025E-1	2.130839586E0	8.635885239E0
9.167545200E-2	9.121908545E-1	2.145204782E0	8.571242332E0
9.361357700E-2	9.313444495E-1	2.154781580E0	8.511386871E0
9.570779800E-2	9.600749016E-1	2.181117773E0	8.463502884E0
9.693042300E-2	9.792284966E-1	2.207453966E0	8.422801971E0
9.976599000E-2	9.744400978E-1	2.236184359E0	8.384494781E0
1.016725770E-1	9.576807022E-1	2.255337954E0	8.348581314E0
1.038124520E-1	9.457096457E-1	2.267308950E0	8.331821442E0
1.052660000E-1	9.313444495E-1	2.279279947E0	8.329427719E0
1.078201440E-1	9.289502501E-1	2.293645144E0	8.346187592E0
1.096742690E-1	9.193734527E-1	2.308010340E0	8.377311707E0
1.118183360E-1	9.097966552E-1	2.322375536E0	8.415618896E0
1.130505380E-1	9.050082564E-1	2.339135170E0	8.456320763E0
1.158764900E-1	8.978256583E-1	2.360682964E0	8.506598473E0
1.177664610E-1	8.858546019E-1	2.372653961E0	8.556877136E0
1.199084520E-1	8.738836050E-1	2.384624958E0	8.604761124E0
1.211454610E-1	8.643068075E-1	2.394201756E0	8.645462036E0
1.238043460E-1	8.547300100E-1	2.396595955E0	8.695740700E0
1.259560380E-1	8.403648138E-1	2.398990154E0	8.748413086E0
1.280127210E-1	8.355764151E-1	2.382230759E0	8.801085472E0
1.292281540E-1	8.355764151E-1	2.358288765E0	8.863334656E0
1.320711440E-1	8.403648138E-1	2.334346771E0	8.925583839E0
1.339662300E-1	8.571242094E-1	2.300827742E0	9.002198219E0
1.361025670E-1	8.690952063E-1	2.267308950E0	9.057265282E0
1.373364610E-1	8.786720037E-1	2.229001760E0	9.102754593E0
1.401608360E-1	9.026140571E-1	2.188300371E0	9.138668060E0
1.420481920E-1	9.193734527E-1	2.152387381E0	9.172186852E0
1.441921440E-1	9.361328483E-1	2.121262789E0	9.217676163E0
1.455451540E-1	9.648633003E-1	2.092532396E0	9.267954826E0
1.481926820E-1	1.003170490E0	2.082955360E0	9.318233490E0
1.500645770E-1	1.039083481E0	2.082955360E0	9.354146004E0
1.522056060E-1	1.058237195E0	2.080561161E0	9.375694275E0
1.534313840E-1	1.067813993E0	2.068590164E0	9.368511200E0
1.562633750E-1	1.072602391E0	2.054224968E0	9.354146004E0
1.581473070E-1	1.072602391E0	2.049436569E0	9.342175484E0
1.602953750E-1	1.077390790E0	2.049436569E0	9.339780807E0
1.615223840E-1	1.079784989E0	2.051830769E0	9.344569206E0
1.643534520E-1	1.077390790E0	2.068590164E0	9.344569206E0
1.663430380E-1	1.067813993E0	2.099714994E0	9.330204010E0
1.681797690E-1	1.065419793E0	2.130839586E0	9.311050415E0
1.696179230E-1	1.058237195E0	2.152387381E0	9.291896820E0
1.724444900E-1	1.036689281E0	2.173935175E0	9.263166428E0
1.743495380E-1	1.005564690E0	2.205059767E0	9.222464561E0
1.764903750E-1	1.003170490E0	2.226607561E0	9.191340446E0
1.777208840E-1	1.015141487E0	2.262520552E0	9.165003777E0
1.805480280E-1	1.029506683E0	2.298433542E0	9.141061783E0
1.824307300E-1	1.034295082E0	2.324769735E0	9.119514465E0
1.845807980E-1	1.048660398E0	2.348711967E0	9.112331390E0
