"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749278506.051	"2025-06-07 12:11:46.051 UTC+05:30"
"PAUSE"	5.635338965E1	1749278562.405	"2025-06-07 12:12:42.405 UTC+05:30"
