"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749279160.102	"2025-06-07 12:22:40.102 UTC+05:30"
"PAUSE"	5.267185742E1	1749279212.774	"2025-06-07 12:23:32.774 UTC+05:30"
