"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
9.185769000E-3	-4.070142806E-1	5.133168221E0	7.723694801E0
1.203777400E-2	-2.873041928E-1	5.121197224E0	7.783549786E0
1.317280800E-2	-1.771709323E-1	5.106832027E0	7.845798969E0
1.611250000E-2	-5.985504389E-2	5.087678432E0	7.900865555E0
1.736557700E-2	6.224924326E-2	5.061342239E0	7.951143742E0
2.026123600E-2	1.867477298E-1	5.037400246E0	7.996633530E0
2.154976900E-2	3.663128614E-1	5.006275654E0	8.068459511E0
2.435377400E-2	4.668693244E-1	4.987122059E0	8.109161377E0
2.566207700E-2	5.434837937E-1	4.967968464E0	8.152256966E0
2.837623600E-2	5.985504389E-1	4.951209068E0	8.197746277E0
3.016688500E-2	6.320692301E-1	4.927267075E0	8.262390137E0
3.239415900E-2	6.416460276E-1	4.912901878E0	8.346187592E0
3.360711600E-2	6.224924326E-1	4.908113480E0	8.437167168E0
3.645150500E-2	5.770025849E-1	4.912901878E0	8.552088737E0
3.829219300E-2	5.123591423E-1	4.932055473E0	8.688557625E0
4.049719700E-2	4.477157295E-1	4.963180065E0	8.827422142E0
4.171938500E-2	3.782838583E-1	4.996698856E0	8.963891029E0
4.434807700E-2	3.112462163E-1	5.032611847E0	9.090784073E0
4.651642300E-2	2.442085743E-1	5.073313236E0	9.198522568E0
4.833434600E-2	1.771709323E-1	5.111620426E0	9.291896820E0
4.979384600E-2	1.005564705E-1	5.149928093E0	9.380482674E0
5.265469700E-2	2.154781483E-2	5.185841084E0	9.469067574E0
5.448926900E-2	-4.548983276E-2	5.226542473E0	9.560047150E0
5.668708200E-2	-1.101332754E-1	5.267243862E0	9.646238327E0
5.789515400E-2	-1.699883193E-1	5.303156853E0	9.722852707E0
6.074546700E-2	-2.250549644E-1	5.346252441E0	9.792284966E0
6.260130800E-2	-2.729389966E-1	5.379771233E0	9.868899345E0
6.479246700E-2	-3.064578176E-1	5.403713226E0	9.943120003E0
6.614792300E-2	-3.232172430E-1	5.432443619E0	1.001494598E1
6.878615900E-2	-3.256114423E-1	5.456385612E0	1.008916569E1
7.058111600E-2	-3.088520169E-1	5.477933407E0	1.014662647E1
7.278327400E-2	-2.657563984E-1	5.497087002E0	1.018732834E1
7.400819200E-2	-2.035071403E-1	5.525817394E0	1.021845245E1
7.683853900E-2	-1.268926859E-1	5.556941986E0	1.023281765E1
7.867734600E-2	-4.548983276E-2	5.583278179E0	1.023760605E1
8.087027400E-2	7.182605099E-3	5.609614372E0	1.024718285E1
8.208907700E-2	2.873042040E-2	5.616796970E0	1.026394272E1
8.467950000E-2	3.830722719E-2	5.612008572E0	1.032140350E1
8.692142300E-2	4.309562966E-2	5.600037575E0	1.042435455E1
