"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1.677236200E-1	-2.982740402E0	-2.115615129E0	9.912285805E-1
1.697350050E-1	-3.084473133E0	-2.125202656E0	1.076982379E0
1.711704230E-1	-3.165433407E0	-2.107093096E0	1.166464567E0
1.737913510E-1	-3.225088120E0	-2.053297281E0	1.255414128E0
1.757543460E-1	-3.261839867E0	-1.972869754E0	1.345961690E0
1.778214280E-1	-3.279949188E0	-1.853560209E0	1.438107014E0
1.790880390E-1	-3.276220798E0	-1.706021070E0	1.528121829E0
1.818779280E-1	-3.253317595E0	-1.533448219E0	1.614408255E0
1.837725000E-1	-3.214435577E0	-1.342765808E0	1.700694680E0
1.859232350E-1	-3.163302898E0	-1.144093990E0	1.780589581E0
1.875715000E-1	-3.105245829E0	-9.411611557E-1	1.853027463E0
1.899166970E-1	-3.043460608E0	-7.440872192E-1	1.924932837E0
1.918141150E-1	-2.973685741E0	-5.512743592E-1	1.986718178E0
1.939125810E-1	-2.905508757E0	-3.621899188E-1	2.053297281E0
1.951727310E-1	-2.837331772E0	-1.794970632E-1	2.106560469E0
1.979697350E-1	-2.769687653E0	-2.130528912E-3	2.159291029E0
1.998295390E-1	-2.704173803E0	1.725728363E-1	2.205097437E0
2.020006200E-1	-2.641323328E0	3.366235793E-1	2.244512320E0
2.034613460E-1	-2.584864140E0	5.049353242E-1	2.278068066E0
2.058461150E-1	-2.524676800E0	6.620618701E-1	2.310025930E0
2.080870810E-1	-2.471413612E0	8.149272799E-1	2.332929134E0
2.098618460E-1	-2.394714594E0	1.035437107E0	2.364354372E0
2.115140770E-1	-2.367550135E0	1.104146600E0	2.372876644E0
2.141689660E-1	-2.292448997E0	1.308144808E0	2.392584085E0
2.161981580E-1	-2.242381573E0	1.434911251E0	2.403769255E0
2.181995040E-1	-2.186987877E0	1.553155541E0	2.415487051E0
2.197125770E-1	-2.134257317E0	1.664475679E0	2.422944069E0
2.222558120E-1	-2.073537350E0	1.764077902E0	2.431998730E0
2.241393460E-1	-2.008023500E0	1.856755972E0	2.443184137E0
2.262856580E-1	-1.941444516E0	1.935585499E0	2.450108290E0
2.277006540E-1	-1.867408633E0	2.010154009E0	2.458630323E0
2.302885810E-1	-1.791242242E0	2.079928875E0	2.465021849E0
2.321590390E-1	-1.718271613E0	2.156627893E0	2.469283104E0
2.342986580E-1	-1.643170476E0	2.234392166E0	2.471946239E0
2.356494230E-1	-1.565406084E0	2.307362795E0	2.470348358E0
2.383553120E-1	-1.479119658E0	2.365952253E0	2.470348358E0
2.402671540E-1	-1.396561742E0	2.416019678E0	2.466619730E0
2.423854660E-1	-1.306014180E0	2.448510408E0	2.462891340E0
2.437191150E-1	-1.224521518E0	2.459695578E0	2.436259747E0
2.462782690E-1	-1.143561363E0	2.444782019E0	2.393649340E0
2.484705430E-1	-1.075384498E0	2.403769255E0	2.318015575E0
2.504814660E-1	-1.026382327E0	2.334527016E0	2.196575403E0
2.519995770E-1	-1.000815988E0	2.234924793E0	2.022937298E0
2.545380430E-1	-1.013066530E0	2.100168943E0	1.773132682E0
2.565663500E-1	-1.071123362E0	1.921204448E0	1.449824929E0
2.585828120E-1	-1.173921466E0	1.683117867E0	1.067927599E0
2.598352690E-1	-1.304416299E0	1.412540674E0	6.450176239E-1
2.626387350E-1	-1.440770149E0	1.148355126E0	2.082591951E-1
2.646465390E-1	-1.555286050E0	9.315737486E-1	-2.082591951E-1
2.666681580E-1	-1.636246204E0	7.973504663E-1	-5.773733258E-1
2.681130770E-1	-1.676193595E0	7.339671850E-1	-8.751147389E-1
2.706611970E-1	-1.682585239E0	7.488809228E-1	-1.102548718E0
2.725385390E-1	-1.658084154E0	9.571400881E-1	-1.256479383E0
2.746566970E-1	-1.562210321E0	1.513208151E0	-1.338504791E0
2.760705770E-1	-1.453553319E0	2.013882399E0	-1.386441708E0
2.787129270E-1	-1.377919555E0	2.169411182E0	-1.390702724E0
2.806204230E-1	-1.311873198E0	2.055960417E0	-1.359277487E0
2.827367350E-1	-1.255414128E0	1.822667480E0	-1.304416299E0
2.839912690E-1	-1.196824670E0	1.560079813E0	-1.244228840E0
2.866485770E-1	-1.140365601E0	1.312405825E0	-1.170725584E0
2.888206580E-1	-1.080710769E0	1.100418210E0	-1.088700294E0
2.906216150E-1	-1.006674886E0	9.289106131E-1	-9.938917160E-1
2.922346920E-1	-8.996158242E-1	8.261125684E-1	-8.980179429E-1
2.948881960E-1	-7.819041014E-1	7.201187611E-1	-7.984157205E-1
2.969168500E-1	-6.535397172E-1	5.832322836E-1	-6.876282096E-1
2.989179270E-1	-5.241101384E-1	4.218447208E-1	-5.704491138E-1
3.001983460E-1	-4.058657587E-1	2.460760921E-1	-4.506068528E-1
3.029747350E-1	-2.908172011E-1	5.379585549E-2	-3.291667104E-1
3.048868080E-1	-1.826928556E-1	-1.704423130E-1	-2.050634027E-1
3.070197730E-1	-8.309062570E-2	-4.319647253E-1	-8.575379103E-2
3.085379230E-1	-1.597896684E-3	-7.339671850E-1	2.929477207E-2
3.110125040E-1	7.084008306E-2	-1.071655989E0	1.379517466E-1
3.129094230E-1	1.272991002E-1	-1.436509132E0	2.434129268E-1
3.150072350E-1	1.805623323E-1	-1.820536971E0	3.366235793E-1
3.163176540E-1	2.258360684E-1	-2.217347860E0	4.271710515E-1
3.190636580E-1	2.679139972E-1	-2.617887497E0	5.022721887E-1
3.209975000E-1	3.105245829E-1	-3.013633251E0	5.736449361E-1
