"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749277347.026	"2025-06-07 11:52:27.026 UTC+05:30"
"PAUSE"	4.128053809E1	1749277388.307	"2025-06-07 11:53:08.307 UTC+05:30"
