"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.973848333E-1,-1.195174622E1,1.743768814E1,6.900650024E-1
8.073438333E-1,-1.118069962E1,1.701182373E1,3.623963928E-1
8.173028333E-1,-1.021311172E1,1.611099701E1,-2.282752991E-1
8.272618333E-1,-8.829987946E0,1.499072662E1,-6.548881531E-1
8.372208333E-1,-7.428153076E0,1.377046417E1,-5.496569824E-1
8.471798333E-1,-6.527625732E0,1.264480499E1,2.712359619E-1
8.571378333E-1,-6.107449493E0,1.179562088E1,1.412911835E0
8.670968333E-1,-5.984854431E0,1.118743561E1,2.572250977E0
8.770558333E-1,-6.025270386E0,1.052072205E1,3.315455475E0
8.870148333E-1,-6.400540009E0,9.554481354E0,3.327580261E0
8.969738333E-1,-7.192842407E0,8.014932861E0,2.423310699E0
9.069328333E-1,-7.778873749E0,5.433101807E0,1.152154083E0
9.168908333E-1,-8.085885315E0,3.102897491E0,8.562194824E-2
9.268498333E-1,-7.956404572E0,1.639390869E0,2.260299683E-1
9.368088333E-1,-7.155420227E0,2.749781799E-1,2.219734039E0
9.467678333E-1,-5.821843414E0,-8.161029053E-1,5.183421021E0
9.567268333E-1,-4.858297119E0,-1.613045654E0,7.355853424E0
9.666858333E-1,-5.197791138E0,-1.397493896E0,8.487350464E0
9.766438333E-1,-5.939199371E0,-5.947132874E-1,8.935817871E0
9.866028333E-1,-5.351820831E0,-1.683998108E-1,7.751181335E0
9.965618333E-1,-3.455713806E0,5.659730530E-1,4.369114380E0
1.006520833E0,-1.090332642E0,1.412462769E0,-7.014413452E-1
1.016479833E0,4.659809875E-1,1.391805725E0,-5.360802155E0
1.026437833E0,1.074016571E0,7.393125916E-1,-6.733447723E0
1.036396833E0,1.030157776E0,-1.336720276E-1,-5.981411591E0
1.046355833E0,8.208929443E-1,-1.073268127E0,-5.361849976E0
1.056314833E0,7.212002563E-1,-2.309846649E0,-5.047353973E0
1.066273833E0,6.825805664E-1,-3.536396027E0,-4.672383728E0
1.076232833E0,1.080752563E0,-4.711153107E0,-4.396806793E0
1.086191833E0,1.852098541E0,-5.508544922E0,-4.223766632E0
1.096149833E0,2.653232574E0,-5.752088470E0,-4.251758423E0
1.106108833E0,3.722010040E0,-5.360652466E0,-4.000431061E0
1.116067833E0,5.075495453E0,-4.548291779E0,-3.147205353E0
1.126026833E0,6.187233582E0,-3.449127502E0,-1.988914032E0
1.135985833E0,6.948700104E0,-2.023192749E0,-1.261426849E0
1.145944833E0,5.747597809E0,2.851570129E-1,-1.719474335E0
1.155902833E0,3.059487762E0,2.614313507E0,-2.135459290E0
1.165861833E0,8.873547363E-1,5.886808319E0,-6.342311096E-1
1.175820833E0,-2.361339569E0,1.082234482E1,5.550757141E0
1.185779833E0,-5.578299866E0,1.786325317E1,2.004736130E1
1.195738833E0,-4.429139557E0,2.277768356E1,1.680225952E1
