"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.363888333E-1,9.983341098E-1,-5.441821218E-1,1.337879431E-2
7.463478333E-1,1.105417371E0,-3.481720090E-1,1.322681308E-1
7.563068333E-1,1.206811190E0,-1.882079244E-1,3.124919832E-1
7.662658333E-1,1.331700563E0,-6.958940625E-2,5.554119349E-1
7.762238333E-1,1.479100943E0,-1.578689180E-2,8.629612327E-1
7.861828333E-1,1.638842583E0,4.895278439E-2,1.162231684E0
7.961418333E-1,1.802536726E0,1.734862030E-1,1.415401101E0
8.061008333E-1,1.960532427E0,3.482953012E-1,1.640820622E0
8.160598333E-1,2.100576639E0,5.174901485E-1,1.854610682E0
8.260188333E-1,2.216451883E0,6.825827360E-1,1.965223074E0
8.359768333E-1,2.294925690E0,8.328998089E-1,1.995875478E0
8.459358333E-1,2.310447931E0,9.536229372E-1,1.991582513E0
8.558948333E-1,2.250096560E0,1.016997933E0,2.008989334E0
8.658538333E-1,2.145428658E0,1.010445833E0,2.030788183E0
8.758128333E-1,2.036788702E0,1.006152749E0,2.024714947E0
8.857708333E-1,1.910247087E0,1.087654233E0,1.996890783E0
8.957298333E-1,1.768638253E0,1.220779181E0,1.939900398E0
9.056888333E-1,1.577246666E0,1.276754737E0,1.877870560E0
9.156478333E-1,1.220987558E0,1.090083957E0,1.812522411E0
9.256068333E-1,8.190516829E-1,4.658110738E-1,1.729843020E0
9.355658333E-1,4.218718112E-1,-4.621335864E-1,1.580987215E0
9.455238333E-1,-6.468825042E-2,-1.470827460E0,1.320127130E0
9.554828333E-1,-5.341822505E-1,-1.990893006E0,9.285060763E-1
9.654418333E-1,-6.114748716E-1,-1.774810553E0,5.332136154E-1
9.754008333E-1,-2.606534958E-1,-1.478872061E0,2.621567845E-1
9.853598333E-1,2.186985463E-1,-1.674000740E0,1.434127837E-1
9.953188333E-1,6.261755228E-1,-2.532968283E0,2.586991489E-1
1.005276833E0,8.338695168E-1,-3.609270573E0,5.024657845E-1
1.015235833E0,9.572657943E-1,-4.338086128E0,7.433031201E-1
1.025194833E0,1.225665450E0,-4.677588463E0,9.565851092E-1
1.035153833E0,1.540187955E0,-4.682584286E0,1.180426717E0
1.045112833E0,1.751159072E0,-4.431770325E0,1.388680577E0
1.055071833E0,1.763026834E0,-4.001472473E0,1.604979038E0
1.065029833E0,1.510898471E0,-3.291049242E0,1.829716325E0
1.074988833E0,1.051972508E0,-2.241720438E0,1.987403989E0
1.084947833E0,4.985754490E-1,-1.121718049E0,2.047664404E0
1.094906833E0,-1.941072382E-2,-1.374634206E-1,1.896667957E0
1.104865833E0,-3.580288887E-1,6.086599231E-1,1.472267270E0
1.114824833E0,-4.615414441E-1,1.029089689E0,8.072671890E-1
1.124782833E0,-3.649819791E-1,9.983687401E-1,-2.445438877E-2
1.134741833E0,-2.340378165E-1,5.325198770E-1,-8.853856325E-1
1.144700833E0,-4.513124526E-1,1.287410706E-1,-1.374571204E0
1.154659833E0,-1.156396270E0,-2.415672243E-1,-1.554710627E0
1.164618833E0,-2.149709940E0,-6.966845989E-1,-1.599174261E0
1.174577833E0,-2.747005463E0,-6.163277030E-1,-1.431775093E0
1.184536833E0,-1.033118844E0,1.954680443E0,-1.273027301E0
1.194494833E0,1.128487468E0,2.433987856E0,-1.379445314E0
1.204453833E0,1.632714272E0,1.042924404E0,-1.526894450E0
1.214412833E0,6.666477323E-1,9.041879177E-1,-1.559062243E0
1.224371833E0,7.523797452E-2,3.591566801E0,-9.101256728E-1
1.234330833E0,5.448850989E-1,5.139537811E0,9.871174693E-1
1.244289833E0,1.002448678E0,3.121999741E0,3.452607393E0
1.254247833E0,1.415670395E0,1.346404850E-1,4.463541985E0
1.264206833E0,1.814010262E0,-1.576338172E0,3.163001299E0
1.274165833E0,1.775371432E0,-2.395296335E0,1.240205765E0
1.284124833E0,1.387913108E0,-2.748892546E0,7.755070925E-1
1.294083833E0,1.193967342E0,-3.186812162E0,9.706707597E-1
1.304042833E0,1.158817649E0,-3.163938284E0,1.093384743E0
1.314000833E0,1.075992227E0,-2.664480686E0,1.179432511E0
1.323959833E0,1.017750621E0,-2.009279490E0,1.151590943E0
1.333918833E0,1.067710757E0,-1.243874550E0,1.113822579E0
1.343877833E0,1.033875704E0,-2.529593110E-1,1.042729378E0
1.353836833E0,8.030309081E-1,6.684779525E-1,9.087995887E-1
1.363795833E0,2.895418108E-1,1.160876393E0,6.357607245E-1
1.373754833E0,-4.949950576E-1,1.178837061E0,2.304286361E-1
1.383712833E0,-1.400355816E0,9.270606041E-1,-2.337847501E-1
1.393671833E0,-2.061036587E0,9.444923401E-1,-6.158950925E-1
1.403630833E0,-2.108596563E0,1.591434598E0,-7.907345295E-1
1.413589833E0,-1.642375469E0,2.448574781E0,-7.651423216E-1
1.423548833E0,-9.556614757E-1,2.748601913E0,-6.359722018E-1
1.433507833E0,-3.012274504E-1,2.398934364E0,-4.702322185E-1
1.443465833E0,1.456864476E-1,1.533969164E0,-3.126287162E-1
1.453424833E0,4.330199361E-1,6.272456646E-1,-1.207591668E-1
1.463383833E0,5.630778670E-1,9.558311105E-2,7.907911390E-2
1.473342833E0,4.518594146E-1,-3.886951134E-2,2.170958370E-1
1.483301833E0,1.637463123E-1,3.691324219E-2,2.629849017E-1
1.493260833E0,-1.215663850E-1,8.149189502E-2,2.280010879E-1
1.503219833E0,-2.960075438E-1,-2.125277184E-2,1.602597833E-1
1.513178833E0,-3.687542081E-1,-2.738687694E-1,6.447413564E-2
1.523136833E0,-3.933504820E-1,-6.562023759E-1,-8.161603659E-2
1.533095833E0,-3.983540237E-1,-1.031731009E0,-2.792489529E-1
1.543054833E0,-4.631753862E-1,-1.219063282E0,-4.559275806E-1
1.553013833E0,-7.584595084E-1,-1.241440177E0,-5.591096282E-1
1.562972833E0,-1.381856561E0,-1.235497355E0,-5.877597332E-1
1.572931833E0,-1.630139828E0,-6.909756660E-1,-6.618272662E-1
1.582890458E0,-8.729081154E-1,-7.374228537E-2,-7.997577190E-1
1.592848458E0,8.187184483E-2,-6.763592362E-2,-1.000036001E0
1.602807458E0,6.503443718E-1,-7.591360211E-1,-1.223301649E0
1.612766458E0,7.827271819E-1,-1.760379910E0,-1.277278900E0
1.622725458E0,6.353334188E-1,-2.271790504E0,-5.719417930E-1
1.632684458E0,2.786536217E-1,-1.406550288E0,1.167598605E0
1.642643458E0,1.545457840E-1,3.758102357E-1,1.445394158E0
1.652602458E0,8.499187231E-1,1.934164762E0,-4.422239587E-2
1.662560458E0,2.055129766E0,3.330465317E0,-1.242227077E0
1.672519458E0,2.970851183E0,3.786388636E0,-6.558200121E-1
1.682478458E0,2.450816393E0,2.616976500E0,2.907559872E-1
1.692437458E0,1.186974067E-2,-6.729606986E-1,1.393566966E0
1.702396458E0,-1.331018209E0,-2.314331055E0,1.815366507E0
1.712355458E0,-1.431996822E0,-2.087000608E0,1.670097470E0
1.722314458E0,-1.149595261E0,-7.385990620E-1,1.294738173E0
1.732272458E0,-8.552453518E-1,6.906363964E-1,9.745658636E-1
1.742231458E0,-4.652155042E-1,1.610333204E0,8.784694076E-1
1.752190458E0,-1.345398128E-1,1.798619747E0,1.082235098E0
1.762149458E0,-1.700602770E-1,1.444966078E0,1.339844942E0
1.772108458E0,-7.106931806E-1,7.587634325E-1,1.313835382E0
1.782067458E0,-1.437341809E0,2.634013891E-1,1.051985145E0
1.792026458E0,-1.886742592E0,4.379897118E-1,7.821632624E-1
1.801985458E0,-1.909698129E0,8.437942863E-1,6.378418803E-1
1.811943458E0,-1.661388397E0,8.763394356E-1,6.257258058E-1
1.821902458E0,-1.370817423E0,4.598876238E-1,6.964825988E-1
1.831861458E0,-1.160085797E0,-2.247378528E-1,8.112466931E-1
1.841820458E0,-1.057383060E0,-9.756705165E-1,9.652310610E-1
1.851779458E0,-1.071939349E0,-1.516176105E0,1.101765156E0
1.861738458E0,-1.153837800E0,-1.737264037E0,1.157550216E0
1.871697458E0,-1.234943032E0,-1.738906741E0,1.105654001E0
1.881656458E0,-1.296315312E0,-1.592943907E0,9.407794476E-1
1.891614458E0,-1.333456278E0,-1.403202772E0,6.536435485E-1
1.901573458E0,-1.358714819E0,-1.266766191E0,2.365828604E-1
1.911532458E0,-1.369117141E0,-1.155048490E0,-2.462040335E-1
1.921491458E0,-1.312355399E0,-9.336407185E-1,-7.456847429E-1
1.931450458E0,-1.117735624E0,-5.215666294E-1,-1.212842822E0
1.941409458E0,-7.379876971E-1,6.396330148E-2,-1.597668290E0
1.951368458E0,-2.640070319E-1,5.773845315E-1,-1.820953250E0
1.961327458E0,5.280712247E-2,3.405922353E-1,-1.840475559E0
1.971285458E0,1.899340898E-1,-3.002700508E-1,-1.784825683E0
1.981244458E0,3.647620678E-1,-4.431934059E-1,-1.811237454E0
1.991203458E0,7.343406677E-1,3.044261932E-1,-1.913558245E0
2.001162458E0,1.372853518E0,1.682990313E0,-2.099686146E0
2.011121458E0,2.495282412E0,2.667479277E0,-2.123767138E0
2.021080458E0,2.130699158E0,-4.373270869E-1,-2.156023741E0
2.031039458E0,1.219163060E0,-3.664015293E0,-2.080700874E0
2.040998458E0,1.171540618E0,-3.755490780E0,-1.388635874E0
2.050957458E0,2.678644180E0,-8.568204045E-1,-1.979211271E-1
