"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.502480487E2,-2.897002459E0,-2.540979087E-1,-2.140405893E0
1.502580077E2,-3.029850483E0,-2.440745384E-1,-2.076575279E0
1.502679667E2,-3.075918913E0,2.937916815E-1,-2.062774658E0
1.502779257E2,-2.950736523E0,2.790247202E-1,-2.003628492E0
1.502878847E2,-2.797762394E0,1.491348892E-1,-1.981956601E0
1.502978437E2,-2.739240170E0,3.368046880E-2,-1.995808005E0
1.503078017E2,-2.753893137E0,6.151811779E-2,-2.023384333E0
1.503177607E2,-2.716005564E0,2.388177961E-1,-2.074208498E0
1.503277197E2,-2.578062296E0,4.198143780E-1,-2.131721973E0
1.503376787E2,-2.400588512E0,5.480724573E-1,-2.173856258E0
1.503476377E2,-2.223008156E0,6.107465029E-1,-2.216438293E0
1.503575957E2,-2.074723005E0,6.508052945E-1,-2.328877449E0
1.503675547E2,-1.909776926E0,6.654017568E-1,-2.449198246E0
1.503775137E2,-1.726704836E0,7.357555032E-1,-2.548649549E0
1.503874727E2,-1.558735728E0,8.073284626E-1,-2.610717773E0
1.503974317E2,-1.401060820E0,9.566383362E-1,-2.582305193E0
1.504073907E2,-1.277677894E0,1.127712011E0,-2.466425896E0
1.504173487E2,-1.129894376E0,1.303165793E0,-2.351735592E0
1.504273077E2,-9.271824956E-1,1.353661418E0,-2.227843046E0
1.504372667E2,-6.788126230E-1,1.345074892E0,-2.101546764E0
1.504472257E2,-4.551893175E-1,1.247366548E0,-1.916203618E0
1.504571847E2,-2.743766606E-1,1.107007623E0,-1.664509058E0
1.504671427E2,-1.019415036E-1,1.004263282E0,-1.397191882E0
1.504771017E2,5.316525698E-2,8.955258131E-1,-1.120761156E0
1.504870607E2,2.122772634E-1,8.105099201E-1,-8.262998462E-1
1.504970197E2,3.858011067E-1,8.037742376E-1,-5.628397465E-1
1.505069787E2,5.277107358E-1,7.050995231E-1,-2.755228877E-1
1.505169377E2,6.933750510E-1,5.303357244E-1,-8.047656156E-4
1.505268957E2,8.814715147E-1,4.082564414E-1,2.573061287E-1
1.505368547E2,1.036904573E0,3.223841488E-1,4.795575738E-1
1.505468137E2,1.117257357E0,2.323416620E-1,6.800794601E-1
1.505567727E2,1.183310151E0,1.278647929E-1,8.348096609E-1
1.505667317E2,1.256045103E0,1.064644847E-2,9.437398314E-1
1.505766907E2,1.335650802E0,-7.220742851E-2,9.939790368E-1
1.505866487E2,1.427838564E0,-1.062519848E-1,1.009638429E0
1.505966077E2,1.530469298E0,-7.775403559E-2,1.006271124E0
1.506065667E2,1.654591203E0,2.085546590E-2,9.705869555E-1
1.506165257E2,1.764622092E0,1.148280352E-1,8.714976311E-1
1.506264847E2,1.855318308E0,2.986198664E-1,7.514135242E-1
1.506364427E2,1.907527208E0,5.761036873E-1,5.874104500E-1
1.506464017E2,1.946967483E0,9.865193963E-1,4.362651110E-1
1.506563607E2,2.001167536E0,1.384712577E0,3.114587367E-1
1.506663197E2,2.052541018E0,1.659368873E0,1.672264338E-1
1.506762787E2,2.064997911E0,1.771957994E0,3.449555114E-2
1.506862377E2,2.010672092E0,1.738492012E0,-9.556645900E-2
1.506961957E2,1.882177711E0,1.551598549E0,-2.870810330E-1
1.507061547E2,1.696450591E0,1.281804085E0,-5.444401503E-1
1.507161137E2,1.437336206E0,9.607367516E-1,-8.354413509E-1
1.507260727E2,1.089370847E0,5.078614354E-1,-1.046983123E0
1.507360313E2,6.558886170E-1,-1.286913157E-1,-9.673411250E-1
1.507459893E2,1.956221759E-1,-5.553078055E-1,-6.788363457E-1
1.507559483E2,-2.375809103E-1,-7.324211001E-1,-4.016254842E-1
1.507659073E2,-5.961509347E-1,-7.736266851E-1,-1.685040891E-1
1.507758663E2,-8.268153071E-1,-8.047749996E-1,5.846807733E-2
1.507858253E2,-9.256739020E-1,-8.745021820E-1,2.563375533E-1
1.507957843E2,-9.455134273E-1,-9.857461452E-1,4.062317014E-1
1.508057423E2,-9.007200003E-1,-1.003767371E0,4.878380001E-1
1.508157013E2,-8.225013614E-1,-8.272815347E-1,5.051506758E-1
1.508256603E2,-7.330271006E-1,-4.111319780E-1,4.497901499E-1
1.508356193E2,-6.561312675E-1,1.800106913E-1,3.001303673E-1
1.508455783E2,-5.881659985E-1,9.090805054E-1,1.638410240E-1
1.508555363E2,-5.233731270E-1,1.580348015E0,1.464836001E-1
1.508654953E2,-4.336688817E-1,2.056634665E0,1.947983354E-1
1.508754543E2,-3.091953993E-1,2.412273407E0,2.333361357E-1
1.508854133E2,-1.882704645E-1,2.685925245E0,2.838635445E-1
1.508953723E2,-1.364115179E-1,2.834969521E0,3.701896667E-1
1.509053313E2,-1.300004423E-1,2.905554771E0,4.350661039E-1
1.509152893E2,-1.667890847E-1,2.887197495E0,4.883591533E-1
1.509252483E2,-2.376516759E-1,2.778369904E0,5.449176431E-1
1.509352073E2,-2.968028784E-1,2.627493382E0,5.798318982E-1
1.509451663E2,-3.563902974E-1,2.410728455E0,6.015650630E-1
1.509551253E2,-3.929248452E-1,2.098872662E0,5.838292241E-1
1.509650843E2,-4.004741907E-1,1.757158875E0,4.944513142E-1
1.509750423E2,-4.128386974E-1,1.440535426E0,3.508313000E-1
1.509850013E2,-4.541986883E-1,1.119578123E0,1.616588533E-1
1.509949603E2,-5.253644586E-1,7.729730606E-1,-3.179476038E-2
1.510049193E2,-5.890108347E-1,4.344293475E-1,-2.029593289E-1
1.510148783E2,-6.509287953E-1,1.114190668E-1,-3.687174022E-1
1.510248363E2,-7.050867081E-1,-2.786979377E-1,-5.302172303E-1
1.510347953E2,-6.938191652E-1,-6.971233487E-1,-6.693040133E-1
1.510447543E2,-6.654590964E-1,-1.067339420E0,-8.177050352E-1
1.510547133E2,-6.981843114E-1,-1.398404121E0,-1.001180887E0
1.510646723E2,-7.690102458E-1,-1.743920922E0,-1.194190264E0
1.510746313E2,-7.978248000E-1,-2.057752371E0,-1.289299488E0
1.510845893E2,-8.082628846E-1,-2.425569773E0,-1.337120414E0
1.510945483E2,-8.849446177E-1,-2.663026810E0,-1.417492509E0
1.511045073E2,-9.669279456E-1,-2.439882994E0,-1.499422431E0
1.511144663E2,-1.029684186E0,-1.985191822E0,-1.557329655E0
1.511244253E2,-1.036721110E0,-1.490159154E0,-1.597868085E0
1.511343833E2,-1.022614598E0,-1.106987715E0,-1.680264711E0
1.511443423E2,-9.493614435E-1,-5.705506206E-1,-1.736819744E0
1.511543013E2,-8.591031432E-1,-1.424290333E-2,-1.708829403E0
1.511642603E2,-7.699401379E-1,5.507668853E-1,-1.627228260E0
1.511742193E2,-7.365038991E-1,1.049927115E0,-1.548557878E0
1.511841783E2,-6.853777766E-1,1.435134053E0,-1.556244373E0
1.511941363E2,-6.133579016E-1,1.502901912E0,-1.613701582E0
1.512040953E2,-5.842967629E-1,1.218334198E0,-1.621289015E0
1.512140543E2,-5.682836771E-1,7.953618765E-1,-1.556731701E0
1.512240133E2,-5.967917442E-1,2.994885147E-1,-1.425494313E0
1.512339723E2,-7.189623117E-1,-1.965181977E-1,-1.282352924E0
1.512439303E2,-8.733608127E-1,-5.523297787E-1,-1.224681139E0
1.512538893E2,-1.029084325E0,-8.816230297E-1,-1.211330771E0
1.512638483E2,-1.161490560E0,-1.055999637E0,-1.204740405E0
1.512738073E2,-1.237257242E0,-1.197811127E0,-1.137073159E0
1.512837663E2,-1.265665412E0,-1.318243384E0,-1.046453595E0
1.512937253E2,-1.261007786E0,-1.440341353E0,-9.168737531E-1
1.513036833E2,-1.251086235E0,-1.565943360E0,-7.873257995E-1
1.513136423E2,-1.219337702E0,-1.623465538E0,-6.385733485E-1
1.513236013E2,-1.159023762E0,-1.645606756E0,-4.913987815E-1
1.513335603E2,-1.093712091E0,-1.652187228E0,-3.585390151E-1
1.513435193E2,-1.029670954E0,-1.582822084E0,-2.401780784E-1
1.513534783E2,-9.069433212E-1,-1.375477910E0,-9.243017435E-2
1.513634363E2,-8.006111979E-1,-1.161403179E0,4.730194807E-2
1.513733953E2,-7.005921602E-1,-9.494802952E-1,1.789662242E-1
1.513833543E2,-5.971531868E-1,-7.769171596E-1,2.821447849E-1
1.513933133E2,-4.657450914E-1,-6.172873378E-1,3.538842201E-1
1.514032723E2,-3.062218428E-1,-4.785537720E-1,4.033005238E-1
1.514132303E2,-1.314452142E-1,-3.683590889E-1,4.345316887E-1
1.514231893E2,3.558788449E-2,-2.594409883E-1,4.519727826E-1
1.514331483E2,1.939815283E-1,-1.638945043E-1,4.533043802E-1
1.514431073E2,3.484534025E-1,-9.515497088E-2,4.296201169E-1
1.514530663E2,4.917786121E-1,-5.340006948E-2,3.760194778E-1
1.514630253E2,6.209143400E-1,-1.141635887E-2,3.004091680E-1
1.514729833E2,7.529772520E-1,2.795067849E-3,2.034727633E-1
1.514829423E2,8.953461051E-1,-1.081238734E-3,1.230082065E-1
1.514929013E2,1.034700513E0,7.933930308E-2,8.452606201E-2
1.515028603E2,1.154436469E0,1.849649698E-1,7.551949471E-2
1.515128193E2,1.280022860E0,3.179464340E-1,7.805801928E-2
1.515227783E2,1.418061733E0,5.000837445E-1,1.246679574E-1
1.515327363E2,1.592966557E0,7.036896348E-1,1.638563722E-1
1.515426953E2,1.755729437E0,9.496919513E-1,1.976028830E-1
1.515526543E2,1.864912748E0,1.222853422E0,2.305653691E-1
1.515626133E2,1.900373340E0,1.492017269E0,2.359113991E-1
1.515725723E2,1.889919639E0,1.726126671E0,1.820465624E-1
1.515825303E2,1.787671447E0,1.836251736E0,7.051911950E-2
1.515924893E2,1.635479569E0,2.032254219E0,1.650940999E-2
1.516024483E2,1.460466146E0,2.171312332E0,-2.956358716E-2
1.516124073E2,1.286888838E0,2.192119598E0,-6.937065721E-2
1.516223663E2,1.134551048E0,2.107872963E0,-9.724950045E-2
1.516323253E2,1.002448440E0,1.952125907E0,-1.028469279E-1
1.516422833E2,8.906654716E-1,1.777941585E0,-8.790514618E-2
1.516522423E2,8.048712015E-1,1.603379846E0,-3.973522037E-2
1.516622013E2,7.645096779E-1,1.447033882E0,4.051052779E-2
1.516721603E2,7.299453020E-1,1.300464392E0,1.362133473E-1
1.516821193E2,6.422122717E-1,1.102791429E0,1.925825477E-1
1.516920773E2,5.117349625E-1,8.793400526E-1,1.743633300E-1
1.517020363E2,3.750838935E-1,6.880654693E-1,1.152148992E-1
1.517119953E2,2.612201869E-1,5.704315305E-1,6.707294285E-2
1.517219543E2,1.921308637E-1,5.434076190E-1,6.670355797E-2
1.517319132E2,1.453053057E-1,5.074222088E-1,9.183660895E-2
1.517418722E2,1.176193431E-1,4.535504282E-1,1.065947860E-1
1.517518302E2,8.254923671E-2,4.333391786E-1,9.405795485E-2
1.517617892E2,4.398605600E-2,4.479188025E-1,8.556808531E-2
1.517717482E2,3.417870030E-2,4.647920430E-1,1.285608113E-1
1.517817072E2,5.992724374E-2,5.287721753E-1,1.954236031E-1
1.517916662E2,1.024704427E-1,6.125344038E-1,2.853979468E-1
1.518016252E2,1.346161664E-1,6.639036536E-1,3.740529120E-1
1.518115832E2,1.378412545E-1,6.830624342E-1,4.504307508E-1
1.518215422E2,1.198106855E-1,6.942589283E-1,5.080574155E-1
1.518315012E2,9.903190285E-2,7.070170641E-1,5.478999019E-1
1.518414602E2,1.007760838E-1,7.252784371E-1,5.755628943E-1
1.518514192E2,1.361969262E-1,7.462974191E-1,5.991531610E-1
1.518613772E2,1.956300735E-1,7.519816160E-1,6.095475554E-1
1.518713362E2,2.583834529E-1,7.170462608E-1,6.014379263E-1
1.518812952E2,3.011481166E-1,6.460540295E-1,5.845831037E-1
1.518912542E2,3.098553121E-1,5.555811524E-1,5.556851625E-1
1.519012132E2,2.891073823E-1,4.358796775E-1,5.124902129E-1
1.519111722E2,2.520915568E-1,2.853953540E-1,4.794033468E-1
1.519211302E2,1.964115351E-1,1.179166362E-1,4.515762031E-1
1.519310892E2,1.423251331E-1,-3.617280349E-2,4.064202011E-1
1.519410482E2,1.090535894E-1,-1.423712224E-1,3.340072930E-1
1.519510072E2,1.046934575E-1,-1.898620427E-1,2.571569979E-1
1.519609662E2,1.365762949E-1,-1.777723581E-1,1.944674999E-1
1.519709242E2,1.765247732E-1,-1.292996407E-1,1.527030021E-1
1.519808832E2,2.044182569E-1,-5.281953514E-2,1.257962734E-1
1.519908422E2,2.116535306E-1,3.632285818E-2,1.128839329E-1
1.520008012E2,1.993219405E-1,1.424724609E-1,1.051459759E-1
1.520107602E2,1.750578731E-1,2.531481087E-1,9.588110447E-2
1.520207192E2,1.507375538E-1,3.610009551E-1,7.984805107E-2
1.520306772E2,1.306759715E-1,4.391487539E-1,5.854089931E-2
1.520406362E2,1.125347763E-1,4.565735757E-1,2.917133830E-2
1.520505952E2,9.139619768E-2,4.286436737E-1,-1.955421409E-3
1.520605542E2,6.115993485E-2,3.731155992E-1,-3.041185439E-2
1.520705132E2,1.907080598E-2,2.962197661E-1,-4.846382886E-2
1.520804712E2,-2.153475210E-2,2.014459819E-1,-5.416323617E-2
1.520904302E2,-5.309267715E-2,1.001707539E-1,-5.553369597E-2
1.521003892E2,-7.315629721E-2,-1.010153722E-2,-5.618016794E-2
1.521103482E2,-9.051291645E-2,-1.026565060E-1,-5.141151324E-2
1.521203072E2,-1.094716862E-1,-1.633632332E-1,-3.699639812E-2
1.521302662E2,-1.279833168E-1,-1.986775547E-1,-1.734546758E-2
1.521402242E2,-1.389657706E-1,-2.163022459E-1,1.656712778E-2
1.521501832E2,-1.356623918E-1,-2.238650918E-1,6.892887503E-2
1.521601422E2,-1.180708930E-1,-2.286992967E-1,1.313779205E-1
1.521701012E2,-8.971488476E-2,-2.260808796E-1,1.959244162E-1
1.521800602E2,-6.059336290E-2,-2.021252811E-1,2.516668439E-1
1.521900192E2,-3.869498521E-2,-1.427074969E-1,2.975932956E-1
1.521999772E2,-2.429424413E-2,-6.208994240E-2,3.287929296E-1
1.522099362E2,-1.036458090E-2,1.416727901E-2,3.360625505E-1
1.522198952E2,1.161753573E-2,8.476372808E-2,3.182881176E-1
1.522298542E2,3.073583730E-2,1.520554125E-1,2.721256912E-1
1.522398132E2,5.600227788E-2,2.355344146E-1,2.275232226E-1
1.522497722E2,8.060988784E-2,2.516121864E-1,1.365307271E-1
1.522597302E2,1.081334278E-1,1.863681078E-1,1.927319169E-2
1.522696892E2,1.321394145E-1,1.285290569E-1,-7.101888210E-2
1.522796482E2,1.525700688E-1,6.117616594E-2,-1.337027997E-1
1.522896072E2,1.662363410E-1,-1.741425507E-2,-1.870400608E-1
1.522995662E2,1.675793827E-1,-8.297517896E-2,-2.186227143E-1
1.523095242E2,1.592285037E-1,-1.302236468E-1,-2.237245291E-1
1.523194832E2,1.341471225E-1,-1.548517644E-1,-2.004607469E-1
1.523294422E2,9.463911504E-2,-1.479536444E-1,-1.533630043E-1
1.523394012E2,5.968786404E-2,-1.271728873E-1,-9.619960934E-2
1.523493602E2,4.033147544E-2,-1.057054102E-1,-3.665452078E-2
1.523593192E2,4.276992381E-2,-9.974877536E-2,2.345730551E-2
1.523692772E2,6.348798424E-2,-1.202966571E-1,8.434036374E-2
1.523792362E2,8.280490339E-2,-1.448177844E-1,1.382139027E-1
1.523891952E2,1.064364687E-1,-1.455408335E-1,1.848961860E-1
1.523991542E2,1.385943890E-1,-1.334977746E-1,2.193918973E-1
1.524091132E2,1.873065382E-1,-1.098009646E-1,2.374494672E-1
1.524190712E2,2.479655892E-1,-7.025319338E-2,2.354791462E-1
1.524290302E2,3.137848079E-1,-1.549567655E-2,2.131312340E-1
1.524389892E2,3.840943575E-1,5.850006640E-2,1.805680543E-1
1.524489482E2,4.490544498E-1,1.281577051E-1,1.284073889E-1
1.524589072E2,4.964435101E-1,1.919303685E-1,7.044972479E-2
1.524688662E2,5.177767277E-1,2.598801255E-1,3.832854331E-2
1.524788242E2,5.125656724E-1,3.012305200E-1,1.973736286E-2
1.524887832E2,4.746142924E-1,2.443786711E-1,-3.276126087E-2
1.524987422E2,4.081778526E-1,2.020935714E-1,-3.253826499E-2
1.525087012E2,3.347614110E-1,1.384261698E-1,-1.061326172E-2
1.525186602E2,2.618701458E-1,3.350928426E-2,2.678985707E-3
1.525286192E2,1.936838925E-1,-8.611804992E-2,5.069972016E-3
1.525385772E2,1.336609721E-1,-1.969489157E-1,5.447592586E-3
1.525485362E2,8.646550775E-2,-2.814286351E-1,-4.796522669E-3
1.525584952E2,6.042126194E-2,-3.306605518E-1,-2.256678604E-2
1.525684542E2,5.369251966E-2,-3.681029975E-1,-4.501377046E-2
1.525784132E2,5.699315295E-2,-4.008506835E-1,-6.419325620E-2
1.525883712E2,6.636720896E-2,-4.157715738E-1,-8.211739361E-2
1.525983302E2,6.948509812E-2,-4.074740410E-1,-9.614074975E-2
1.526082892E2,6.700276583E-2,-3.684648573E-1,-1.061731428E-1
1.526182482E2,5.692820996E-2,-3.098203242E-1,-1.080980077E-1
1.526282072E2,4.802047089E-2,-2.367775291E-1,-9.841022640E-2
1.526381662E2,4.804002866E-2,-1.685068309E-1,-8.049722761E-2
1.526481242E2,5.814672261E-2,-1.067784876E-1,-5.824917927E-2
1.526580832E2,7.241227478E-2,-6.675294787E-2,-3.308893740E-2
1.526680422E2,9.577964991E-2,-5.117025599E-2,-1.330005378E-2
1.526780012E2,1.246350855E-1,-5.226654932E-2,4.466354847E-3
1.526879602E2,1.469446570E-1,-5.315072089E-2,1.293014735E-2
1.526979192E2,1.580593437E-1,-3.985783458E-2,1.205108594E-2
1.527078772E2,1.577043384E-1,-2.509486862E-2,3.424840746E-3
1.527178362E2,1.594071090E-1,-5.776391365E-3,-1.145879272E-2
1.527277952E2,1.688075364E-1,1.390729751E-2,-3.019253351E-2
1.527377551E2,1.858070195E-1,3.427302092E-2,-5.233112350E-2
1.527477141E2,2.097879946E-1,6.461521983E-2,-7.766497880E-2
1.527576721E2,2.322346270E-1,9.177240729E-2,-1.018413454E-1
1.527676311E2,2.601573467E-1,1.124398634E-1,-1.220579296E-1
1.527775901E2,2.946637869E-1,1.095117927E-1,-1.492911875E-1
1.527875491E2,3.270092010E-1,9.039482474E-2,-1.832614094E-1
1.527975081E2,3.520457447E-1,5.124994740E-2,-2.163768560E-1
1.528074671E2,3.676145971E-1,3.067237558E-3,-2.544733584E-1
1.528174251E2,3.742424548E-1,-4.905702174E-2,-2.825534046E-1
1.528273841E2,3.702676892E-1,-9.653052688E-2,-3.019372225E-1
1.528373431E2,3.554982841E-1,-1.324451566E-1,-3.099734783E-1
1.528473021E2,3.270741105E-1,-1.623860151E-1,-3.088898361E-1
1.528572611E2,2.956114709E-1,-1.756029576E-1,-3.031139970E-1
1.528672191E2,2.688512206E-1,-1.829905808E-1,-2.973136306E-1
1.528771781E2,2.562683821E-1,-1.836700141E-1,-2.923736870E-1
1.528871371E2,2.591373920E-1,-1.743113995E-1,-2.951942384E-1
1.528970961E2,2.634125948E-1,-1.507072151E-1,-2.673568726E-1
1.529070551E2,2.784493566E-1,-1.297769099E-1,-2.483307272E-1
1.529170141E2,2.896904647E-1,-1.489214152E-1,-2.586869299E-1
1.529269721E2,3.035775125E-1,-1.641309857E-1,-2.866525352E-1
1.529369311E2,3.185259700E-1,-1.700813770E-1,-3.213816881E-1
1.529468901E2,3.277985752E-1,-1.769419461E-1,-3.590680957E-1
1.529568491E2,3.260411322E-1,-1.879863590E-1,-3.903127611E-1
1.529668081E2,3.119993508E-1,-1.993553936E-1,-4.095362723E-1
1.529767671E2,2.942987978E-1,-2.045038640E-1,-4.176466465E-1
1.529867251E2,2.765240669E-1,-2.083691806E-1,-4.187529385E-1
1.529966841E2,2.646936476E-1,-2.108261138E-1,-4.162209034E-1
1.530066431E2,2.620821595E-1,-1.886776686E-1,-4.150009155E-1
1.530166021E2,2.752889097E-1,-1.431611180E-1,-4.162406027E-1
1.530265611E2,3.011058569E-1,-1.109302044E-1,-3.850419223E-1
1.530365191E2,3.293147683E-1,-1.013913900E-1,-2.899399400E-1
1.530464781E2,3.610607088E-1,-1.194710582E-1,-1.613800973E-1
1.530564371E2,4.207678735E-1,-1.350701749E-1,-1.150797755E-1
1.530663961E2,4.617528617E-1,-1.518297046E-1,-1.216449961E-1
1.530763551E2,4.656756818E-1,-1.550356597E-1,-1.196885929E-1
1.530863141E2,4.341862202E-1,-1.696774513E-1,-1.274224073E-1
1.530962721E2,3.507803082E-1,-2.253829986E-1,-1.640727222E-1
1.531062311E2,2.556124926E-1,-2.741683722E-1,-1.967158765E-1
1.531161901E2,1.831054240E-1,-2.908810973E-1,-2.093893737E-1
1.531261491E2,1.379643083E-1,-3.039420247E-1,-2.058558911E-1
1.531361081E2,1.203140765E-1,-3.322729468E-1,-1.963198781E-1
1.531460671E2,1.210712045E-1,-3.555156887E-1,-1.808327883E-1
1.531560251E2,1.396539360E-1,-3.337842822E-1,-1.592047215E-1
1.531659841E2,1.692403257E-1,-2.917590737E-1,-1.418923140E-1
1.531759431E2,2.147580683E-1,-2.421384603E-1,-1.337962300E-1
1.531859021E2,2.493911535E-1,-2.010024786E-1,-1.130858883E-1
1.531958611E2,2.589610219E-1,-1.810179055E-1,-8.584865183E-2
1.532058191E2,2.471789271E-1,-1.673332453E-1,-6.442511827E-2
1.532157781E2,2.143250704E-1,-1.512670815E-1,-4.300521687E-2
1.532257371E2,1.622890383E-1,-1.490465403E-1,-1.612912677E-2
1.532356961E2,1.155887991E-1,-1.573112905E-1,2.324374579E-2
1.532456551E2,7.803636044E-2,-1.587837636E-1,6.748897582E-2
1.532556141E2,2.863170952E-2,-1.677169353E-1,1.289545447E-1
1.532655721E2,-9.881594218E-3,-1.720757335E-1,2.145011276E-1
1.532755311E2,-3.323389590E-2,-1.986466497E-1,1.706683189E-1
1.532854901E2,-8.175376058E-2,-2.522137165E-1,1.672903746E-1
1.532954491E2,-1.085862368E-1,-2.549835145E-1,1.092235819E-1
1.533054081E2,-1.603437066E-1,-2.517003715E-1,5.919450521E-2
1.533153661E2,-1.985282153E-1,-3.070506155E-1,2.857258543E-2
1.533253251E2,-1.799196452E-1,-3.364684284E-1,7.921259850E-2
1.533352841E2,-8.469111472E-2,-3.084602058E-1,1.893273443E-1
1.533452431E2,1.105937362E-2,-3.394365013E-1,2.934939265E-1
1.533552021E2,4.711543024E-2,-3.136506379E-1,3.784581721E-1
1.533651611E2,6.832057983E-2,-1.563667357E-1,3.989677131E-1
1.533751191E2,4.542958736E-2,2.162207663E-2,2.469653785E-1
1.533850781E2,-2.213161439E-2,9.740818292E-2,-8.238641918E-2
1.533950371E2,-9.282821417E-2,3.297039494E-2,-3.611365855E-1
1.534049961E2,5.000030994E-2,-2.593328357E-1,-4.149454832E-1
1.534149551E2,1.052761078E-1,-2.663634419E-1,-3.980115950E-1
1.534249141E2,5.752775818E-2,-1.417320073E-1,-2.301088870E-1
1.534348721E2,5.068412423E-2,-1.135098785E-1,-9.012871236E-2
1.534448311E2,-8.219673298E-3,-2.617710084E-2,8.743007667E-3
1.534547901E2,2.888710005E-3,-1.299939677E-2,1.406085938E-1
1.534647491E2,2.326349169E-2,4.591957852E-2,2.157432884E-1
1.534747081E2,-6.437684596E-2,2.385387421E-1,1.481998563E-1
1.534846661E2,-7.306567580E-2,2.534878850E-1,9.071099013E-2
1.534946251E2,-1.023448408E-1,3.303598762E-1,-4.346108064E-2
1.535045841E2,-1.431130469E-1,3.547847867E-1,-1.012849584E-1
1.535145431E2,-1.091291308E-1,2.590763867E-1,-1.507690549E-1
1.535245021E2,-5.429225042E-2,1.695861965E-1,-1.680694818E-1
1.535344611E2,3.877628595E-2,1.190431695E-2,-1.204328984E-1
1.535444191E2,7.746163011E-2,-1.789512485E-2,-8.090998977E-2
1.535543781E2,1.335168630E-1,-6.360647827E-2,-4.654068500E-2
1.535643371E2,1.482513398E-1,-3.560040891E-2,-7.807064801E-2
1.535742961E2,8.343011141E-2,2.563101798E-2,-9.798774123E-2
1.535842551E2,1.876908913E-2,1.134191975E-1,-1.108297706E-1
1.535942141E2,-3.350208700E-2,1.433056146E-1,-8.280543238E-2
1.536041721E2,-4.237440974E-2,1.325408518E-1,-6.332147866E-2
1.536141311E2,-2.747132070E-2,1.377194226E-1,-6.981334835E-2
1.536240901E2,-1.315017231E-2,1.177369282E-1,-8.301170915E-2
1.536340491E2,-2.223415067E-3,8.553595841E-2,-9.216447920E-2
1.536440081E2,-1.719544875E-3,5.751631036E-2,-8.451215178E-2
1.536539661E2,1.227351464E-2,4.326362535E-2,-5.021814257E-2
1.536639251E2,2.379807644E-2,4.421410710E-2,-1.782744564E-2
1.536738841E2,-9.900571778E-3,8.055655658E-2,-3.767532296E-3
1.536838431E2,-8.029031754E-2,1.511225998E-1,-6.887425203E-3
1.536938021E2,-1.181875542E-1,1.787877679E-1,-1.281729527E-2
1.537037611E2,-3.592756018E-2,9.332240373E-2,-4.138156399E-2
1.537137191E2,7.008662075E-2,1.389169879E-2,-2.035989985E-2
1.537236781E2,1.257791817E-1,-2.663842635E-3,4.946738854E-2
1.537336367E2,1.237353235E-1,5.002976954E-2,7.472005486E-2
1.537435957E2,1.014111117E-1,9.030075371E-2,2.014443092E-2
1.537535547E2,9.898095578E-2,5.337001756E-2,-3.177301027E-3
1.537635137E2,1.210713461E-1,-1.900005527E-2,1.042452734E-2
1.537734717E2,1.315730959E-1,-7.340641320E-2,1.787210628E-2
1.537834307E2,8.865626156E-2,-5.430063233E-2,1.283020992E-2
1.537933897E2,2.844031528E-2,-1.663461328E-2,1.153595746E-2
1.538033487E2,-1.029429771E-2,-9.565840010E-4,1.125765685E-2
1.538133077E2,-2.638812177E-3,-2.899599820E-2,8.271331899E-3
1.538232657E2,-4.079315811E-3,-3.166421875E-2,8.548567072E-3
1.538332247E2,4.283232149E-3,-3.737343103E-2,2.942635305E-2
1.538431837E2,-1.856951742E-3,-8.063214831E-3,2.192076668E-2
1.538531427E2,7.791253272E-3,-2.014302276E-2,1.893438958E-2
1.538631017E2,6.279698014E-2,-1.498301774E-1,8.101640642E-2
1.538730607E2,1.359189004E-1,-3.008641303E-1,1.296391934E-1
1.538830187E2,1.578228772E-1,-3.216002882E-1,1.029902622E-1
1.538929777E2,7.804727554E-2,-1.637748182E-1,5.848114192E-2
1.539029367E2,-6.914138049E-2,5.957492068E-2,2.245026082E-1
1.539128957E2,-7.810757309E-2,-4.292381927E-2,1.253358126E-1
1.539228547E2,-3.291666135E-2,-1.792829931E-1,1.582289860E-2
1.539328137E2,-1.263033971E-2,-1.658203900E-1,-2.978066169E-2
1.539427717E2,-2.464599162E-2,-6.655212492E-2,2.471400611E-2
1.539527307E2,-1.918493398E-2,-7.564616948E-2,1.508496702E-1
1.539626897E2,2.034915984E-2,-1.760878265E-1,2.409729064E-1
1.539726487E2,5.397067219E-2,-2.481115609E-1,2.979620099E-1
1.539826077E2,1.061521173E-1,-3.163878322E-1,3.063179553E-1
1.539925657E2,1.450662017E-1,-3.376553655E-1,2.734387219E-1
1.540025247E2,1.646569371E-1,-3.479423523E-1,1.943292320E-1
1.540124837E2,1.603407562E-1,-3.433097899E-1,1.011875719E-1
1.540224427E2,1.503781378E-1,-3.450885117E-1,5.089533050E-3
1.540324017E2,1.269090325E-1,-2.823249698E-1,1.259453874E-2
1.540423607E2,4.995859414E-2,-1.264253855E-1,7.262778282E-2
1.540523187E2,-9.149875492E-3,-1.294124778E-2,6.199835613E-2
1.540622777E2,-1.059150398E-1,1.949139535E-1,-1.002643183E-1
1.540722367E2,-9.261576831E-2,1.617799252E-1,-2.427718341E-1
1.540821957E2,-4.206008743E-3,-8.181462437E-2,-1.682571173E-1
1.540921547E2,6.268566102E-2,-1.889786422E-1,-8.144101128E-3
1.541021127E2,6.434507668E-2,-1.327087134E-1,7.117362320E-2
