"Time (s)","X (hPa)"
7.148307771E1,1.009973755E3
7.255745171E1,1.009972839E3
7.363180371E1,1.009970551E3
7.470616671E1,1.009970398E3
7.578052571E1,1.009970551E3
7.685486271E1,1.009972610E3
7.792921171E1,1.009975662E3
7.900357171E1,1.009975662E3
8.007796471E1,1.009980011E3
8.115236871E1,1.009983978E3
8.222672371E1,1.009984436E3
8.330107471E1,1.009984436E3
8.437536471E1,1.009966507E3
8.544967971E1,1.009958725E3
8.652403571E1,1.009957123E3
8.759845471E1,1.009948273E3
8.867282371E1,1.009945297E3
8.974717171E1,1.009943771E3
9.082150571E1,1.009942551E3
9.189586171E1,1.009942551E3
9.297022971E1,1.009945984E3
9.404457771E1,1.009949036E3
9.511888871E1,1.009951553E3
9.619322171E1,1.009953766E3
9.726757971E1,1.009954987E3
9.834192471E1,1.009956665E3
9.941627271E1,1.009957352E3
1.004906257E2,1.009961472E3
1.015649897E2,1.009968414E3
1.026393287E2,1.009972382E3
1.037136877E2,1.009982986E3
1.047880667E2,1.009990997E3
1.058624507E2,1.010001068E3
1.069368637E2,1.010003662E3
1.080112637E2,1.010007553E3
1.090856587E2,1.010007553E3
1.101600437E2,1.010007553E3
1.112344207E2,1.009997101E3
1.123087927E2,1.009995193E3
1.133831037E2,1.009984589E3
1.144574627E2,1.009980927E3
1.155317857E2,1.009980927E3
1.166060997E2,1.009985886E3
1.176804297E2,1.009990387E3
1.187547997E2,1.009996185E3
1.198291637E2,1.010003357E3
1.209035357E2,1.010007553E3
1.219779357E2,1.010007858E3
1.230522987E2,1.010007858E3
1.241266437E2,1.010007858E3
1.252009787E2,1.010004501E3
1.262753207E2,1.010001755E3
1.273496897E2,1.009999237E3
1.284240627E2,1.009998779E3
1.294984187E2,1.009997559E3
1.305727647E2,1.009997559E3
1.316471177E2,1.009998322E3
1.327214517E2,1.009998932E3
1.337957397E2,1.009998932E3
1.348700407E2,1.009998932E3
1.359443477E2,1.009994812E3
1.370186787E2,1.009993057E3
1.380930007E2,1.009987640E3
1.391672977E2,1.009977264E3
1.402416387E2,1.009969864E3
1.413159767E2,1.009962082E3
1.423903027E2,1.009955444E3
1.434646887E2,1.009952469E3
1.445390367E2,1.009952469E3
1.456134237E2,1.009954147E3
1.466878187E2,1.009958725E3
1.477622187E2,1.009962311E3
1.488366357E2,1.009965439E3
1.499110407E2,1.009965439E3
1.509854927E2,1.009961472E3
1.520599177E2,1.009956436E3
1.531343427E2,1.009949646E3
1.542087457E2,1.009946365E3
1.552831707E2,1.009946365E3
1.563576087E2,1.009950790E3
1.574320477E2,1.009954376E3
1.585064777E2,1.009958115E3
1.595808777E2,1.009960632E3
1.606552757E2,1.009961243E3
1.617296547E2,1.009961243E3
1.628040467E2,1.009957275E3
1.638784137E2,1.009956818E3
1.649528007E2,1.009952240E3
1.660271967E2,1.009952087E3
1.671016327E2,1.009950104E3
1.681760347E2,1.009949951E3
1.692504717E2,1.009945984E3
1.703249007E2,1.009945984E3
1.713993197E2,1.009938812E3
1.724737417E2,1.009935989E3
1.735481187E2,1.009929886E3
1.746225297E2,1.009929657E3
1.756969367E2,1.009926682E3
1.767713887E2,1.009925766E3
1.778457977E2,1.009926682E3
1.789202547E2,1.009928284E3
1.799947537E2,1.009929352E3
1.810692627E2,1.009930801E3
1.821437537E2,1.009932022E3
1.832182717E2,1.009932022E3
1.842927557E2,1.009930191E3
1.853672117E2,1.009930191E3
1.864416627E2,1.009933090E3
1.875161127E2,1.009937897E3
1.885905727E2,1.009943848E3
1.896651097E2,1.009948807E3
1.907396257E2,1.009956818E3
1.918141347E2,1.009959030E3
1.928886227E2,1.009959030E3
1.939631097E2,1.009958801E3
1.950375817E2,1.009958801E3
1.961120377E2,1.009962082E3
1.971864927E2,1.009964447E3
1.982609797E2,1.009971161E3
1.993354707E2,1.009975967E3
2.004099677E2,1.009975967E3
2.014844497E2,1.009975357E3
2.025589207E2,1.009969864E3
2.036334047E2,1.009963150E3
2.047078957E2,1.009962769E3
2.057823797E2,1.009959030E3
2.068568457E2,1.009959030E3
2.079313247E2,1.009960251E3
2.090057667E2,1.009963150E3
2.100802507E2,1.009966965E3
2.111546647E2,1.009969864E3
2.122290587E2,1.009973068E3
2.133034307E2,1.009975967E3
2.143778357E2,1.009975967E3
2.154522387E2,1.009975662E3
2.165266397E2,1.009975662E3
2.176010377E2,1.009977341E3
2.186754047E2,1.009978333E3
2.197498007E2,1.009981766E3
2.208242067E2,1.009984818E3
2.218986297E2,1.009987640E3
2.229730337E2,1.009987640E3
2.240474607E2,1.009987640E3
2.251218987E2,1.009987793E3
2.261963347E2,1.009987793E3
2.272707287E2,1.009989853E3
2.283451527E2,1.009992218E3
2.294195537E2,1.009993668E3
2.304939657E2,1.009997101E3
2.315683787E2,1.009999847E3
2.326428037E2,1.010002289E3
2.337172067E2,1.010003662E3
2.347915977E2,1.010003662E3
2.358659757E2,1.010001297E3
2.369403547E2,1.009996490E3
2.380147557E2,1.009991150E3
2.390891807E2,1.009979172E3
2.401636097E2,1.009978561E3
2.412380757E2,1.009975128E3
2.423124907E2,1.009973068E3
2.433869157E2,1.009971390E3
