"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
2.313045900E-2	2.401039004E-2	-3.788666725E-1	-6.153635979E-1
3.120592100E-2	3.153386712E-1	-3.894572258E-1	-5.715575218E-1
3.934145900E-2	4.819806814E-1	-3.998713493E-1	-4.551792145E-1
4.744915200E-2	5.728950500E-1	-3.941435814E-1	-3.293581009E-1
5.555449800E-2	5.436612368E-1	-3.811430931E-1	-2.829103470E-1
6.368911300E-2	4.213775098E-1	-2.863683701E-1	-2.587556839E-1
7.177511300E-2	3.089660704E-1	-1.148438454E-1	-7.678604126E-2
7.989622800E-2	2.435716689E-1	8.047771454E-2	2.169523239E-1
8.802015100E-2	1.739931703E-1	9.026908875E-2	7.139997482E-1
9.620553600E-2	2.374518514E-1	-3.038954735E-1	1.147481918E0
1.043272280E-1	-5.511562526E-2	-5.833239555E-1	1.445492744E0
1.124316510E-1	-3.038312197E-1	-4.885544777E-1	1.200314522E0
1.205531130E-1	1.526243985E-1	-6.001162529E-1	6.004772186E-1
1.286704970E-1	6.117828488E-1	-9.256134033E-1	6.811485291E-1
1.367578050E-1	6.090378761E-1	-1.143857479E0	1.073060989E0
1.448454200E-1	5.583822727E-1	-1.057553291E0	1.153084755E0
1.529319590E-1	4.492944181E-1	-1.018146038E0	8.801937103E-1
1.610655360E-1	1.823027134E-1	-1.365352869E0	4.872140884E-1
1.691713820E-1	-5.415554047E-1	-1.827139139E0	-8.839035034E-2
1.773545740E-1	-1.027922750E0	-7.896022797E-1	-8.727264404E-2
1.854902280E-1	-1.182304859E0	3.338737488E-1	5.220918655E-1
1.935794200E-1	-1.361223698E0	9.852752686E-1	5.792493820E-1
2.016997660E-1	-1.124319911E0	1.190161228E0	-5.575942993E-2
2.098206890E-1	-9.160016775E-1	1.172993183E0	-8.080091476E-1
2.179571890E-1	-9.487870336E-1	1.028331757E0	-1.723251343E0
2.260780350E-1	-1.041671753E0	9.437222481E-1	-2.680244446E0
2.341818430E-1	-1.213950634E0	1.203832150E0	-3.233753681E0
2.423028050E-1	-1.247923374E0	1.513790846E0	-3.514050007E0
2.504196120E-1	-5.133343935E-1	-6.588697433E-2	-3.069133282E0
2.586069580E-1	-2.728628516E-1	-4.398012161E-1	-3.128383160E0
2.748173430E-1	1.202690005E0	-3.704280853E0	-3.936643600E0
2.829528810E-1	5.032391548E-1	-6.527236462E0	3.946126938E0
2.910582280E-1	2.229551792E0	-6.086904526E0	1.244592667E0
2.991878810E-1	1.317782402E0	-3.753715754E0	-2.839525700E0
3.073223430E-1	-5.418598652E-1	-1.910838366E0	-2.734852791E0
3.154100740E-1	-1.002410769E0	-5.834383965E-1	-2.319807529E0
3.235320740E-1	-1.988288879E0	1.903359413E0	5.426937103E0
3.316532660E-1	1.593500853E0	1.763484001E0	3.120444298E0
3.398639580E-1	1.126461625E0	2.091789246E0	2.847732544E0
3.479849200E-1	1.711871028E0	1.484560490E0	3.889204025E0
3.560873430E-1	2.623624563E0	-6.783270836E-2	2.881383896E0
3.642066500E-1	3.421942711E0	-1.948316813E0	2.809483528E0
3.723198040E-1	4.171564102E0	-3.713011742E0	2.407401085E0
3.804255350E-1	4.317327499E0	-4.740049362E0	1.499881744E0
3.885451120E-1	3.945786953E0	-5.182083130E0	3.353891373E-1
3.966328810E-1	2.816437244E0	-4.843770027E0	-6.193523407E-1
4.047689960E-1	2.303607464E0	-3.012961864E0	-2.649658203E0
4.128749190E-1	1.269368887E0	-1.601674438E0	-3.098879337E0
4.210851500E-1	1.627337933E-1	-1.025553942E0	-1.873483181E0
4.292198420E-1	-4.980456829E-2	-8.385696411E-1	-1.347078323E0
4.373071120E-1	1.122108698E-1	-1.542420506E0	-1.917375565E0
4.454270730E-1	2.231375724E-1	-2.381940842E0	-2.131886005E0
4.535475730E-1	9.127404690E-1	-3.024688005E0	-2.194385052E0
4.616886500E-1	1.632832289E0	-3.181723356E0	-2.181138992E-1
4.698070730E-1	1.957027674E0	-2.947467089E0	5.152969360E-1
4.779093810E-1	2.961361647E0	-2.321782112E0	2.957534790E-1
4.860284580E-1	4.289340496E0	-2.160586357E0	-3.271293640E-2
4.941438420E-1	4.725127697E0	-2.337854862E0	-7.942447662E-1
5.023369190E-1	3.730316639E0	-2.616015911E0	-1.008945465E0
5.104569190E-1	2.142708540E0	-2.735077620E0	-9.702777863E-1
5.185417650E-1	4.138600349E0	-3.547965765E0	-2.133962154E0
5.266739960E-1	3.839857340E0	-3.898586750E0	-1.968860626E0
5.347791500E-1	2.835041523E0	-3.410522223E0	-1.497952938E0
5.510180730E-1	-1.379961491E1	2.937656641E0	-3.529834747E-1
5.591059570E-1	-7.249549389E0	1.626719475E0	-2.939517021E0
5.672264190E-1	-2.521157265E0	5.770978928E-1	-3.777327061E0
5.753478800E-1	-8.175439835E-1	-8.381628990E-2	-3.511642456E0
5.835580340E-1	1.074844360E0	-7.803783417E-1	-2.268522739E0
5.916776880E-1	1.096283436E0	-4.157052040E-1	1.673889160E-2
5.997803420E-1	3.024642467E-1	3.207037449E-1	1.588523865E0
6.079006880E-1	5.910418034E-1	2.336268425E-1	2.133234978E0
6.160165720E-1	7.053596973E-1	-3.626862764E-1	2.432951927E0
6.241214950E-1	1.115246296E0	-1.179076195E0	1.786721230E0
6.322434950E-1	3.146286011E-1	-1.311699629E0	1.639674187E0
6.403303420E-1	-6.755516529E-1	-9.666275382E-1	1.821431160E0
6.484663030E-1	-1.309997320E0	-1.287462473E0	1.874231339E0
6.565714570E-1	-2.432529211E0	-1.722915292E0	1.823400497E0
6.647542260E-1	-2.208712578E0	-2.583738565E0	5.650653839E-1
6.728895340E-1	-1.844553471E0	-2.955386162E0	-1.704607010E-1
6.809782640E-1	-1.066419840E0	-2.996747494E0	-5.411815643E-2
6.890982260E-1	-3.233933449E-1	-2.164130449E0	3.349886894E0
6.972202260E-1	4.147968292E-1	-9.735554457E-1	5.554661751E0
7.053475340E-1	1.271646023E0	-9.713022709E-1	5.347806931E0
7.134676490E-1	6.975650787E-1	-1.116236925E0	4.800232887E0
7.215715720E-1	2.883315086E-1	-1.434205055E0	4.342228889E0
7.296924950E-1	3.621239662E-1	-1.245079875E0	3.865559578E0
7.378089180E-1	6.802563667E-1	-1.205439568E0	2.993309021E0
7.459966490E-1	1.069056034E0	-1.152041674E0	2.220479012E0
7.541174180E-1	9.275898933E-1	-1.691239595E0	2.667014122E0
7.622060330E-1	1.275294304E0	-2.443694592E0	3.342085838E0
7.784503030E-1	-1.598052979E-1	-1.423569322E0	3.190419197E0
7.865798410E-1	3.484244347E-1	-1.610216141E0	3.635413170E0
7.947139560E-1	1.169885635E0	-1.901190162E0	3.840811253E0
8.028028020E-1	2.447034836E0	-1.228980303E0	2.958436966E0
8.109215330E-1	3.078282833E0	-2.847415805E-1	1.422139645E0
8.190404180E-1	2.645531178E0	3.098244667E-1	3.958597183E-1
