"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
7.296924950E-1	-7.739999771E0	-3.293999863E1	-3.113999939E1
7.378089180E-1	-7.619999886E0	-3.270000076E1	-3.155999947E1
7.459966490E-1	-8.039999962E0	-3.234000015E1	-3.179999924E1
7.541174180E-1	-7.379999638E0	-3.173999977E1	-3.167999840E1
7.622060330E-1	-7.980000019E0	-3.173999977E1	-3.173999977E1
7.703419560E-1	-8.279999733E0	-3.150000000E1	-3.150000000E1
7.784503030E-1	-8.399999619E0	-3.119999886E1	-3.143999863E1
7.865798410E-1	-9.420000076E0	-3.167999840E1	-3.173999977E1
7.947139560E-1	-9.119999886E0	-3.179999924E1	-3.197999954E1
8.028028020E-1	-9.420000076E0	-3.143999863E1	-3.209999847E1
8.109215330E-1	-9.840000153E0	-3.143999863E1	-3.215999985E1
8.190404180E-1	-9.840000153E0	-3.095999908E1	-3.192000008E1
8.272506870E-1	-1.080000019E1	-3.084000015E1	-3.192000008E1
8.353691100E-1	-1.103999996E1	-3.101999855E1	-3.263999939E1
8.434717640E-1	-1.134000015E1	-3.095999908E1	-3.275999832E1
8.515901870E-1	-1.200000000E1	-3.107999992E1	-3.288000107E1
8.597076870E-1	-1.247999954E1	-3.065999985E1	-3.281999969E1
8.677922640E-1	-1.313999939E1	-3.077999878E1	-3.221999741E1
8.759092640E-1	-1.307999992E1	-3.047999954E1	-3.221999741E1
8.839976870E-1	-1.338000011E1	-3.005999947E1	-3.227999878E1
8.921333020E-1	-1.355999947E1	-2.976000023E1	-3.215999985E1
9.002400710E-1	-1.392000008E1	-2.879999924E1	-3.281999969E1
9.084239940E-1	-1.511999989E1	-2.759999847E1	-3.311999893E1
9.165153790E-1	-1.589999962E1	-2.657999992E1	-3.311999893E1
9.245418790E-1	-1.685999870E1	-2.603999901E1	-3.359999847E1
9.326288790E-1	-1.805999947E1	-2.579999924E1	-3.300000000E1
9.407529940E-1	-1.865999985E1	-2.573999977E1	-3.257999802E1
9.488574940E-1	-1.931999969E1	-2.526000023E1	-3.234000015E1
9.569780330E-1	-2.087999916E1	-2.501999855E1	-3.167999840E1
9.650813400E-1	-2.189999962E1	-2.442000008E1	-3.137999916E1
9.732023400E-1	-2.327999878E1	-2.405999947E1	-3.059999847E1
9.813177250E-1	-2.418000031E1	-2.453999901E1	-3.017999840E1
9.894099560E-1	-2.418000031E1	-2.423999977E1	-2.963999939E1
9.975279940E-1	-2.442000008E1	-2.447999954E1	-2.892000008E1
1.005616379E0	-2.484000015E1	-2.489999962E1	-2.861999893E1
1.013752302E0	-2.550000000E1	-2.555999947E1	-2.759999847E1
1.021859609E0	-2.585999870E1	-2.627999878E1	-2.669999886E1
1.030003340E0	-2.663999939E1	-2.711999893E1	-2.561999893E1
1.038093725E0	-2.700000000E1	-2.807999992E1	-2.423999977E1
1.046182148E0	-2.742000008E1	-2.861999893E1	-2.303999901E1
1.054301994E0	-2.784000015E1	-2.934000015E1	-2.226000023E1
1.062422648E0	-2.813999939E1	-2.934000015E1	-2.076000023E1
1.070632725E0	-2.850000000E1	-2.934000015E1	-1.931999969E1
1.078752917E0	-2.855999947E1	-2.921999931E1	-1.823999977E1
1.086856724E0	-2.892000008E1	-2.921999931E1	-1.697999954E1
1.094976263E0	-2.915999985E1	-2.963999939E1	-1.668000031E1
1.103092917E0	-2.909999847E1	-2.939999962E1	-1.679999924E1
1.111198801E0	-2.957999992E1	-2.951999855E1	-1.703999901E1
1.119319763E0	-3.011999893E1	-2.934000015E1	-1.752000046E1
1.127406070E0	-3.000000000E1	-2.921999931E1	-1.776000023E1
1.135540801E0	-2.951999855E1	-2.915999985E1	-1.853999901E1
1.143646224E0	-2.903999901E1	-2.909999847E1	-1.860000038E1
1.151857493E0	-2.837999916E1	-2.921999931E1	-1.902000046E1
1.159994916E0	-2.789999962E1	-2.927999878E1	-1.968000031E1
1.168084070E0	-2.807999992E1	-2.957999992E1	-2.039999962E1
1.176206455E0	-2.747999954E1	-3.011999893E1	-2.142000008E1
1.184327647E0	-2.676000023E1	-3.023999977E1	-2.177999878E1
1.192433263E0	-2.592000008E1	-3.059999847E1	-2.243999863E1
1.200555070E0	-2.471999931E1	-3.089999962E1	-2.261999893E1
1.208659916E0	-2.376000023E1	-3.084000015E1	-2.315999985E1
1.216749686E0	-2.237999916E1	-3.089999962E1	-2.429999924E1
1.224869570E0	-2.129999924E1	-3.053999901E1	-2.639999962E1
1.233066647E0	-2.039999962E1	-3.077999878E1	-2.819999886E1
1.241190032E0	-1.931999969E1	-3.084000015E1	-2.915999985E1
1.249279339E0	-1.842000008E1	-3.126000023E1	-2.981999969E1
1.257415185E0	-1.727999878E1	-3.197999954E1	-2.915999985E1
1.265524108E0	-1.661999893E1	-3.221999741E1	-2.892000008E1
1.273689608E0	-1.542000008E1	-3.215999985E1	-2.945999908E1
