"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
7.885270000E-3	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
9.179616000E-3	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
1.188768400E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
1.367907700E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
1.590526000E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
1.714615400E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
1.996268300E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
2.176707700E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
2.399291400E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
2.520634700E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
2.805060700E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
3.000338500E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
3.209072200E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
3.327553900E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
3.614829900E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
3.799146200E-2	-2.822950855E-2	1.086569726E-1	-2.812298238E-1
3.995034700E-2	-7.201187611E-1	-6.572681665E-1	4.048004746E-2
4.138469300E-2	-7.179882526E-1	-6.647250056E-1	3.089267015E-2
4.412284700E-2	-7.089334726E-1	-6.684534550E-1	2.343581803E-2
4.608884700E-2	-6.988134980E-1	-6.748450398E-1	6.924218964E-3
4.828383700E-2	-6.908239722E-1	-6.844323874E-1	-6.924218964E-3
4.960215400E-2	-6.791061163E-1	-6.897587180E-1	-2.982740477E-2
5.227768300E-2	-6.636597514E-1	-6.950850487E-1	-4.793690145E-2
5.407361600E-2	-6.492787004E-1	-6.993461251E-1	-7.084008306E-2
5.627414500E-2	-6.370281577E-1	-6.988134980E-1	-9.534116834E-2
5.749142300E-2	-6.178534031E-1	-6.961503029E-1	-1.257012039E-1
6.033118300E-2	-6.024070382E-1	-6.854977012E-1	-1.533980817E-1
6.215080800E-2	-5.864281058E-1	-6.663229465E-1	-1.874865443E-1
6.437641400E-2	-5.661880374E-1	-6.466155052E-1	-2.199771106E-1
6.560019300E-2	-5.480785370E-1	-6.221144199E-1	-2.545982003E-1
6.843345300E-2	-5.267732739E-1	-5.970807076E-1	-2.892192900E-1
7.033757700E-2	-5.070658922E-1	-5.683186054E-1	-3.286340833E-1
7.247391400E-2	-4.889563918E-1	-5.368933082E-1	-3.680488765E-1
7.366323100E-2	-4.692489803E-1	-4.980111420E-1	-4.095941782E-1
7.653099100E-2	-4.383563101E-1	-4.399542212E-1	-4.740426838E-1
7.834223100E-2	-4.202468395E-1	-4.000068009E-1	-5.155879855E-1
8.031615400E-2	-4.000068009E-1	-3.568635881E-1	-5.555354357E-1
8.176173100E-2	-3.824299276E-1	-3.051982522E-1	-5.949501991E-1
8.436546200E-2	-3.637878001E-1	-2.503371537E-1	-6.343649626E-1
8.644015400E-2	-3.472762108E-1	-1.976065636E-1	-6.769755483E-1
8.866226000E-2	-3.334277868E-1	-1.395496428E-1	-7.195861340E-1
8.998411600E-2	-3.227751255E-1	-7.882957160E-2	-7.605988383E-1
9.266468300E-2	-3.142530024E-1	-1.544633508E-2	-7.989483476E-1
9.447261600E-2	-3.190467060E-1	3.195793182E-2	-8.612663150E-1
9.665929900E-2	-3.318298757E-1	8.096009493E-2	-9.257147908E-1
9.787703900E-2	-3.520699143E-1	1.294296384E-1	-9.832391143E-1
1.007152600E-1	-3.744404614E-1	1.981391907E-1	-1.018925428E0
1.025781540E-1	-4.058657587E-1	2.918824553E-1	-1.055677056E0
1.047469520E-1	-4.410194755E-1	3.542004228E-1	-1.085504532E0
1.059480000E-1	-4.783037305E-1	3.430151641E-1	-1.110005617E0
1.088037600E-1	-5.113269091E-1	2.753708661E-1	-1.135039330E0
1.108045000E-1	-5.379585624E-1	1.810949594E-1	-1.165399313E0
1.128587600E-1	-5.661880374E-1	7.350324839E-2	-1.193628788E0
1.140727310E-1	-6.008091569E-1	-3.515372798E-2	-1.226652026E0
1.169149140E-1	-6.380934119E-1	-1.326254308E-1	-1.262338400E0
1.187506160E-1	-6.743124127E-1	-2.141181529E-1	-1.293763638E0
1.206856160E-1	-7.174556255E-1	-2.854908705E-1	-1.328917384E0
1.221833850E-1	-7.590008974E-1	-3.547330499E-1	-1.361940622E0
1.249494230E-1	-8.058725595E-1	-4.202468395E-1	-1.391767979E0
1.268358460E-1	-8.543421030E-1	-4.868258536E-1	-1.415736437E0
1.290318750E-1	-9.076052904E-1	-5.581985712E-1	-1.435443878E0
1.303491540E-1	-9.582054019E-1	-6.332997084E-1	-1.447694421E0
1.330249520E-1	-1.011468649E0	-7.057377100E-1	-1.452488065E0
1.348460390E-1	-1.070590734E0	-7.829693556E-1	-1.453020692E0
1.370361450E-1	-1.127582431E0	-8.591358066E-1	-1.448759675E0
1.382263850E-1	-1.190965652E0	-9.432916641E-1	-1.436509132E0
1.410936060E-1	-1.253283620E0	-1.031708598E0	-1.415736437E0
1.429283080E-1	-1.315068960E0	-1.127049804E0	-1.392833233E0
1.451234910E-1	-1.377386928E0	-1.234641552E0	-1.366201639E0
1.463156540E-1	-1.441835403E0	-1.355016351E0	-1.331047893E0
1.491796060E-1	-1.502555490E0	-1.484446049E0	-1.292698383E0
1.510968460E-1	-1.565406084E0	-1.622397780E0	-1.252750993E0
1.532196450E-1	-1.626126170E0	-1.760349512E0	-1.204814076E0
1.544398080E-1	-1.688444138E0	-1.898833871E0	-1.156877160E0
1.572764140E-1	-1.753957868E0	-2.033057213E0	-1.113201380E0
1.591364620E-1	-1.816808581E0	-2.157160521E0	-1.065264463E0
1.610761540E-1	-1.883387566E0	-2.272741795E0	-1.020523310E0
1.625188460E-1	-1.945172906E0	-2.385127068E0	-9.784454107E-1
1.651100770E-1	-2.006425619E0	-2.487392426E0	-9.400959015E-1
1.672040000E-1	-2.066612959E0	-2.587527275E0	-9.006810784E-1
1.694101440E-1	-2.125202656E0	-2.682335854E0	-8.617989421E-1
1.707462310E-1	-2.176335335E0	-2.769687653E0	-8.234494328E-1
1.734068750E-1	-2.222141743E0	-2.861300230E0	-7.792409658E-1
1.752171930E-1	-2.264219522E0	-2.957174063E0	-7.371630073E-1
1.774023750E-1	-2.299906015E0	-3.024285793E0	-6.966829300E-1
1.785991540E-1	-2.326004982E0	-3.063700676E0	-6.551376581E-1
1.814594910E-1	-2.356364965E0	-3.073287964E0	-6.226470470E-1
1.833168850E-1	-2.388322830E0	-3.033340454E0	-5.842975378E-1
1.855050670E-1	-2.420280933E0	-2.918824673E0	-5.347627401E-1
1.867280770E-1	-2.434129238E0	-2.819222450E0	-5.017395616E-1
1.895619910E-1	-2.438390255E0	-2.711097956E0	-4.735100567E-1
1.914995000E-1	-2.431466103E0	-2.597647429E0	-4.436826408E-1
1.936026440E-1	-2.418683052E0	-2.475142002E0	-4.186489284E-1
1.948014620E-1	-2.397377729E0	-2.345179796E0	-3.925499618E-1
1.976599140E-1	-2.370213509E0	-2.204032183E0	-3.728425503E-1
1.994912690E-1	-2.330798626E0	-2.047438383E0	-3.552657068E-1
2.014072310E-1	-2.286057472E0	-1.873800159E0	-3.355582952E-1
2.029087690E-1	-2.227468014E0	-1.677258849E0	-3.195793331E-1
2.056634230E-1	-2.161421537E0	-1.458347082E0	-2.977414131E-1
2.075964230E-1	-2.091646671E0	-1.215466738E0	-2.828277051E-1
2.097904620E-1	-2.014415026E0	-9.560748339E-1	-2.593919039E-1
2.111352690E-1	-1.927063346E0	-6.844323874E-1	-2.396845073E-1
2.137975290E-1	-1.832254887E0	-4.048005044E-1	-2.183792144E-1
2.156242310E-1	-1.733185291E0	-1.177117229E-1	-1.976065636E-1
2.177930290E-1	-1.624528289E0	1.725728363E-1	-1.768338978E-1
2.190066930E-1	-1.514273405E0	4.559331834E-1	-1.565938741E-1
2.218501440E-1	-1.400822759E0	7.334345579E-1	-1.379517466E-1
2.237056540E-1	-1.286839485E0	9.992180467E-1	-1.246359423E-1
2.258806060E-1	-1.167529821E0	1.255946755E0	-1.123853996E-1
2.271046160E-1	-1.056209683E0	1.502555490E0	-1.075917110E-1
2.299371830E-1	-9.480853677E-1	1.731587410E0	-1.086569726E-1
2.319176930E-1	-8.490157723E-1	1.952097058E0	-1.193096191E-1
2.339435770E-1	-7.574030161E-1	2.153432131E0	-1.384843737E-1
2.351470770E-1	-6.695187092E-1	2.330798626E0	-1.667138934E-1
2.380163750E-1	-5.864281058E-1	2.474076748E0	-2.013349831E-1
2.398217310E-1	-5.118595958E-1	2.584864140E0	-2.412824035E-1
2.417833080E-1	-4.431500137E-1	2.655704260E0	-2.929477394E-1
2.432651540E-1	-3.792341352E-1	2.692988634E0	-3.419498801E-1
2.457826930E-1	-3.131877482E-1	2.698847532E0	-3.952131271E-1
2.479131540E-1	-2.588592768E-1	2.678607464E0	-4.527373910E-1
2.501242310E-1	-2.029328793E-1	2.640257835E0	-5.091964006E-1
2.514618460E-1	-1.544633508E-1	2.585396767E0	-5.629922748E-1
2.541301540E-1	-1.091896072E-1	2.516687393E0	-6.194512844E-1
2.559116930E-1	-6.817692518E-2	2.438922882E0	-6.700513363E-1
2.581423360E-1	-2.982740477E-2	2.345712423E0	-7.195861340E-1
2.593286540E-1	5.326322280E-3	2.249838591E0	-7.659251690E-1
2.621994520E-1	3.675162420E-2	2.144910097E0	-8.117315173E-1
2.640058080E-1	6.178534031E-2	2.035187721E0	-8.543421030E-1
2.662299130E-1	8.468852192E-2	1.920139194E0	-8.926916122E-1
2.674671540E-1	1.033306494E-1	1.797633767E0	-9.283779860E-1
2.702694230E-1	1.182443574E-1	1.672997832E0	-9.677927494E-1
2.722003850E-1	1.310275346E-1	1.537176609E0	-1.003479123E0
2.743084230E-1	1.384843737E-1	1.399224877E0	-1.038632870E0
2.755963080E-1	1.470064968E-1	1.255946755E0	-1.074851871E0
2.783758850E-1	1.512675583E-1	1.106277108E0	-1.110005617E0
2.802098850E-1	1.539307088E-1	9.464874864E-1	-1.144093990E0
2.821793080E-1	1.624528319E-1	7.776430249E-1	-1.178182483E0
2.836114620E-1	1.640507281E-1	5.960154533E-1	-1.216531992E0
2.863906160E-1	1.768338978E-1	2.966761589E-1	-1.276186824E0
2.882945770E-1	1.826928556E-1	8.309062570E-2	-1.315601587E0
2.905062690E-1	1.896170676E-1	-1.454086006E-1	-1.354483724E0
2.918590770E-1	1.965412945E-1	-3.818973005E-1	-1.393898487E0
2.945122980E-1	2.077265680E-1	-6.311691999E-1	-1.434378624E0
2.964524230E-1	2.162486911E-1	-8.905611038E-1	-1.472195506E0
2.985001920E-1	2.210423797E-1	-1.148887753E0	-1.512675524E0
2.997101920E-1	2.215750068E-1	-1.411475420E0	-1.549427152E0
3.025648750E-1	2.391518652E-1	-1.649562001E0	-1.584580898E0
3.044074230E-1	3.147856593E-1	-1.683117867E0	-1.618669391E0
3.066100290E-1	4.522047639E-1	-1.512142897E0	-1.642637849E0
3.077960770E-1	5.299690962E-1	-1.421595454E0	-1.669269443E0
3.106660670E-1	5.528722405E-1	-1.487109184E0	-1.707618952E0
3.126061540E-1	5.645901561E-1	-1.640507221E0	-1.745435834E0
3.147029230E-1	5.811017752E-1	-1.816808581E0	-1.774197936E0
3.159022690E-1	6.098638773E-1	-1.945172906E0	-1.801362157E0
3.187602980E-1	6.641923785E-1	-1.992044568E0	-1.820004344E0
3.205800390E-1	7.387608886E-1	-1.977130890E0	-1.829591751E0
3.225278460E-1	8.122641444E-1	-1.961684465E0	-1.830124378E0
3.239693080E-1	8.767126203E-1	-1.975000262E0	-1.823200107E0
3.265062310E-1	9.406285286E-1	-2.011751890E0	-1.810416937E0
3.287101920E-1	1.010403395E0	-2.066612959E0	-1.788046360E0
3.308907210E-1	1.078047633E0	-2.131594181E0	-1.760882139E0
3.322151540E-1	1.143561363E0	-2.223206997E0	-1.726793647E0
3.348931440E-1	1.207477212E0	-2.349440813E0	-1.686313629E0
3.368311160E-1	1.263403654E0	-2.514556646E0	-1.641572475E0
3.388880280E-1	1.311340570E0	-2.720152855E0	-1.596298814E0
3.401372690E-1	1.351287961E0	-2.971555233E0	-1.550492406E0
3.429373080E-1	1.369397402E0	-3.266633511E0	-1.495098710E0
3.447775770E-1	1.377386928E0	-3.594734907E0	-1.441835403E0
3.469732590E-1	1.368864775E0	-3.940413237E0	-1.383778572E0
3.481874230E-1	1.345961690E0	-4.297809601E0	-1.326786876E0
3.510121920E-1	1.318264723E0	-4.644020557E0	-1.266066790E0
3.530566820E-1	1.282578349E0	-4.973186970E0	-1.210140467E0
3.552189130E-1	1.256479383E0	-5.270928383E0	-1.155279279E0
3.562870390E-1	1.240500450E0	-5.542571068E0	-1.107874990E0
3.591265280E-1	1.236239433E0	-5.819539547E0	-1.076982379E0
3.609748850E-1	1.240500450E0	-6.069344044E0	-1.053546548E0
3.628798460E-1	1.246892095E0	-6.290919304E0	-1.046089649E0
3.643723850E-1	1.256479383E0	-6.480003834E0	-1.053546548E0
3.671592310E-1	1.263936281E0	-6.626477718E0	-1.080710769E0
3.690635000E-1	1.279915214E0	-6.688262939E0	-1.126517177E0
3.712429130E-1	1.301753163E0	-6.672284126E0	-1.176584601E0
3.725930770E-1	1.331580520E0	-6.608367920E0	-1.235174179E0
3.752373360E-1	1.360875368E0	-6.509298325E0	-1.290567875E0
3.770819230E-1	1.386974335E0	-6.399043560E0	-1.349157453E0
3.792484900E-1	1.404018521E0	-6.289854050E0	-1.411475420E0
