"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.895600390E-1	-1.197100803E-2	1.781286120E0	9.555258751E0
1.914817690E-1	3.112462163E-2	1.790862918E0	9.775525093E0
1.935950000E-1	5.027823523E-2	1.783680320E0	1.004128170E1
1.947788080E-1	6.943184882E-2	1.759738207E0	1.025436592E1
1.976282310E-1	1.197100878E-1	1.723825216E0	1.046505547E1
1.994651540E-1	1.651999205E-1	1.723825216E0	1.057758331E1
2.013874620E-1	1.987187415E-1	1.750161409E0	1.067095661E1
2.028858080E-1	1.843535304E-1	1.795651317E0	1.076672459E1
2.056411540E-1	1.149216816E-1	1.879448295E0	1.089122391E1
2.075723460E-1	2.633621916E-2	1.965639591E0	1.095586681E1
2.097669230E-1	-5.267243832E-2	2.032677174E0	1.092234802E1
2.111094620E-1	-1.316810995E-1	2.073378563E0	1.087925243E1
2.137834230E-1	-2.370259613E-1	2.106897593E0	1.092474270E1
2.156006930E-1	-3.375824392E-1	2.130839586E0	1.102051067E1
2.177866930E-1	-4.189853072E-1	2.152387381E0	1.112346077E1
2.189800000E-1	-4.572925270E-1	2.171540976E0	1.119289303E1
2.218375770E-1	-4.548983276E-1	2.154781580E0	1.121204662E1
2.236621930E-1	-4.118026793E-1	2.102109194E0	1.121444035E1
2.258806060E-1	-3.591302633E-1	2.035071373E0	1.124556541E1
2.270824230E-1	-2.873041928E-1	1.958456993E0	1.128626728E1
2.299246540E-1	-1.532289088E-1	1.869871497E0	1.126232433E1
2.318875770E-1	2.633621916E-2	1.750161409E0	1.115458584E1
2.339290770E-1	2.202665508E-1	1.630451322E0	1.102290440E1
2.351288080E-1	4.357447028E-1	1.515529633E0	1.091277122E1
2.379950390E-1	6.823474765E-1	1.369483352E0	1.084094524E1
2.398013080E-1	9.409212470E-1	1.209071875E0	1.081700325E1
2.417643460E-1	1.173158884E0	1.039083481E0	1.077630138E1
2.432512690E-1	1.379060149E0	8.475474119E-1	1.073560047E1
2.457649230E-1	1.563413739E0	6.655880809E-1	1.074278259E1
2.478933080E-1	1.704671621E0	4.979939461E-1	1.074517727E1
2.501045390E-1	1.798045516E0	3.567360640E-1	1.066137981E1
2.514417310E-1	1.836352706E0	2.418143749E-1	1.048660374E1
2.541119230E-1	1.821987510E0	1.675941199E-1	1.025675964E1
2.558939620E-1	1.762132406E0	1.149216816E-1	1.000058079E1
2.581289620E-1	1.666364431E0	8.140286058E-2	9.732429504E0
2.593098850E-1	1.541865945E0	5.985504389E-2	9.457097054E0
2.621824620E-1	1.398213744E0	5.985504389E-2	9.169792175E0
2.639856540E-1	1.218648672E0	6.943184882E-2	8.865729332E0
2.662299130E-1	1.005564690E0	9.337386489E-2	8.556877136E0
2.674476160E-1	7.709329724E-1	1.197100878E-1	8.274360657E0
2.702506930E-1	5.171475410E-1	1.628057212E-1	8.039729118E0
2.721820770E-1	2.609679997E-1	1.963245422E-1	7.836222172E0
2.742899230E-1	-4.788403399E-3	2.250549644E-1	7.668628216E0
2.755554230E-1	-2.849099934E-1	2.513911724E-1	7.551311970E0
2.783570390E-1	-5.626373887E-1	2.657563984E-1	7.493851185E0
2.801905770E-1	-8.499416113E-1	2.873041928E-1	7.489062786E0
2.821595390E-1	-1.134851575E0	3.040636182E-1	7.544129372E0
2.835955770E-1	-1.395819545E0	3.064578176E-1	7.647080421E0
2.863720390E-1	-1.620874524E0	2.920926213E-1	7.771578789E0
2.882773460E-1	-1.810016513E0	2.657563984E-1	7.896077156E0
2.904873460E-1	-1.956062794E0	2.466027737E-1	8.010998726E0
2.918357690E-1	-2.061407566E0	2.322375625E-1	8.118738174E0
2.945122980E-1	-2.133233786E0	2.154781520E-1	8.214506149E0
2.963226160E-1	-2.185906172E0	1.843535304E-1	8.293514252E0
2.984811540E-1	-2.221819162E0	1.340752989E-1	8.358158112E0
2.996890770E-1	-2.317587137E0	-3.830722719E-2	8.386888504E0
3.025648750E-1	-2.454056740E0	-2.849099934E-1	8.413225174E0
3.043885770E-1	-2.571372509E0	-4.548983276E-1	8.815450668E0
3.066100290E-1	-2.839523315E0	-4.405331016E-1	1.047702694E1
3.077787690E-1	-3.490746021E0	-2.489969730E-1	1.290714169E1
3.106660670E-1	-3.782838583E0	-2.418143749E-1	1.274433517E1
3.125921160E-1	-2.815581083E0	-5.195417404E-1	1.032858658E1
3.146858460E-1	-1.754949808E0	-5.291185975E-1	8.619126320E0
3.158879620E-1	-1.244984865E0	-2.513911724E-1	8.240841866E0
3.187440770E-1	-1.288080573E0	-6.703764945E-2	8.748413086E0
3.205628850E-1	-1.572990537E0	0.000000000E0	9.698910713E0
3.225101540E-1	-1.898601890E0	-2.633621916E-2	1.047463226E1
3.239502690E-1	-2.173935175E0	-1.675941199E-1	1.061828423E1
3.264805770E-1	-2.310404539E0	-3.232172430E-1	1.037886429E1
3.286898460E-1	-2.331952572E0	-4.165911078E-1	1.022084713E1
3.308897310E-1	-2.305616140E0	-4.525041282E-1	1.032858658E1
3.321942310E-1	-2.284068346E0	-4.453215301E-1	1.057997704E1
3.348857690E-1	-2.236184359E0	-4.094084799E-1	1.085291672E1
3.366720000E-1	-2.114080191E0	-3.447650373E-1	1.109712505E1
3.388876920E-1	-1.929726601E0	-2.609679997E-1	1.132217979E1
3.401202690E-1	-1.685518026E0	-1.604115069E-1	1.153286934E1
3.429136160E-1	-1.386242747E0	-5.746084079E-2	1.169088650E1
3.447562310E-1	-1.046266198E0	2.633621916E-2	1.174116516E1
3.469732590E-1	-6.775590777E-1	1.077390760E-1	1.162863731E1
3.481666160E-1	-2.849099934E-1	2.011129409E-1	1.138203526E1
3.509926920E-1	1.580173075E-1	2.944868207E-1	1.104445267E1
3.530566820E-1	6.464344859E-1	3.998316824E-1	1.065180302E1
3.552173460E-1	1.173158884E0	4.979939461E-1	1.028070164E1
3.562663460E-1	1.582567334E0	6.248866320E-1	1.007240677E1
3.591242690E-1	2.032677174E0	7.110779285E-1	1.023281765E1
3.609523850E-1	2.758120298E0	6.727706790E-1	1.053927612E1
3.628577310E-1	3.459621429E0	5.530605912E-1	1.063264942E1
3.643520000E-1	4.151545525E0	3.519476354E-1	1.046984386E1
3.671329230E-1	4.900930882E0	8.619125932E-2	1.013465595E1
3.690333080E-1	5.734113216E0	-2.561795712E-1	9.677363396E0
3.712234230E-1	6.452373505E0	-6.368576288E-1	9.124302864E0
3.725716160E-1	6.756437302E0	-8.810662031E-1	8.801085472E0
3.752166540E-1	6.689399719E0	-9.385270476E-1	8.889671326E0
3.770571540E-1	6.459556103E0	-8.858546019E-1	9.222464561E0
3.792484900E-1	6.239289761E0	-8.355764151E-1	9.579200745E0
3.804634620E-1	6.083666325E0	-8.044517636E-1	9.842563629E0
3.832746160E-1	5.983109951E0	-7.613561153E-1	1.001494598E1
3.850998850E-1	5.959167957E0	-7.254431248E-1	1.011310768E1
3.873356440E-1	5.918466568E0	-6.943184733E-1	1.012747288E1
3.885347690E-1	5.544970989E0	-5.698199868E-1	1.009156036E1
3.913652310E-1	4.070142746E0	-6.224924326E-2	1.001973438E1
3.933185770E-1	8.451532125E-1	1.086967587E0	9.832986832E0
3.954276540E-1	-3.143586874E0	2.540247917E0	9.540893555E0
3.966260000E-1	-5.726930618E0	3.581725836E0	9.373299599E0
3.994869130E-1	-5.750872612E0	3.823540211E0	9.464279175E0
4.012868850E-1	-4.316745758E0	3.639186621E0	9.696516991E0
4.032653850E-1	-3.327940464E0	3.722983599E0	9.797073364E0
4.047326540E-1	-3.390189648E0	4.209006786E0	9.600749016E0
4.072181540E-1	-3.986345768E0	4.888959885E0	9.126696587E0
4.096059230E-1	-4.110844135E0	5.518634796E0	8.410830498E0
4.116166920E-1	-2.777273893E0	5.216965675E0	8.197746277E0
4.129486150E-1	-5.793967843E-1	4.414907932E0	8.159439087E0
4.156135670E-1	1.740584612E0	3.438073635E0	8.157045364E0
4.173826920E-1	3.620033026E0	2.545036316E0	8.101978302E0
4.196087590E-1	4.876988888E0	1.853112102E0	7.975085735E0
4.207896920E-1	5.293580055E0	1.592144132E0	7.893682957E0
4.236645390E-1	5.928043365E0	1.072602391E0	7.632715225E0
4.254741920E-1	6.019022942E0	8.954314590E-1	7.489062786E0
4.277088460E-1	5.990292549E0	8.355764151E-1	7.388506413E0
4.289438850E-1	5.916072369E0	8.762778044E-1	7.307103634E0
4.317663360E-1	5.849034786E0	9.888052940E-1	7.220912457E0
4.336506920E-1	5.829881191E0	1.132457376E0	7.113173485E0
4.357714230E-1	5.858611584E0	1.295263171E0	6.969521046E0
4.370022310E-1	5.923254967E0	1.470039845E0	6.782773495E0
4.398638080E-1	6.026205540E0	1.647210717E0	6.581660271E0
4.416972690E-1	6.124367714E0	1.841141105E0	6.404489517E0
4.436001920E-1	6.208165169E0	2.025494576E0	6.289567947E0
4.450951150E-1	6.251260757E0	2.214636564E0	6.251260757E0
4.478665770E-1	6.232107162E0	2.413355350E0	6.251260757E0
4.497742690E-1	6.165069580E0	2.614468336E0	6.277596951E0
4.519968740E-1	6.098031521E0	2.796427488E0	6.318298340E0
4.533125770E-1	6.102819920E0	2.959233284E0	6.385335922E0
4.559997200E-1	6.169857979E0	3.090914488E0	6.473921299E0
4.577616540E-1	6.241683960E0	3.193865061E0	6.581660271E0
4.599947970E-1	6.303933144E0	3.248931646E0	6.715735912E0
4.611688460E-1	6.361393929E0	3.275267839E0	6.904877663E0
4.640512590E-1	6.428431511E0	3.287238836E0	7.146692276E0
4.658561920E-1	6.514622688E0	3.282450438E0	7.436390400E0
