"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749279509.972	"2025-06-07 12:28:29.972 UTC+05:30"
"PAUSE"	3.699890055E1	1749279546.971	"2025-06-07 12:29:06.971 UTC+05:30"
