"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749277888.199	"2025-06-07 12:01:28.199 UTC+05:30"
"PAUSE"	4.850270996E1	1749277936.701	"2025-06-07 12:02:16.701 UTC+05:30"
