"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749279008.229	"2025-06-07 12:20:08.229 UTC+05:30"
"PAUSE"	5.286877769E1	1749279061.098	"2025-06-07 12:21:01.098 UTC+05:30"
