"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1749279324.343	"2025-06-07 12:25:24.343 UTC+05:30"
"PAUSE"	1.696842115E0	1749279326.040	"2025-06-07 12:25:26.040 UTC+05:30"
