"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.780512500E-2	-1.817083359E-2	1.740837097E-2	7.449913025E-2
2.592274100E-2	1.133298874E-2	4.050803185E-2	3.054885864E-1
3.401947100E-2	-5.975246429E-3	1.284413338E-1	3.989257812E-1
4.215474100E-2	-2.659082413E-3	1.571614742E-1	2.661418915E-1
5.038835600E-2	3.188443184E-2	1.333432198E-1	8.127689362E-2
5.847970200E-2	3.915190697E-2	8.762812614E-2	1.616067886E-1
6.657377900E-2	1.179912090E-1	7.661581039E-2	4.256658554E-1
7.468627900E-2	2.044699192E-1	1.065330505E-1	5.454816818E-1
8.278416400E-2	3.203477859E-1	9.703516960E-2	5.808267593E-1
9.100197100E-2	3.716216087E-1	3.385281563E-2	5.112085342E-1
9.910927900E-2	5.328655243E-1	7.955837250E-2	3.856344223E-1
1.072040480E-1	6.957652569E-1	-3.222131729E-2	-1.304388046E-1
1.152944330E-1	8.037831187E-1	-2.399668694E-1	-2.988538742E-1
1.234332400E-1	8.156576753E-1	-3.295079470E-1	-2.548236847E-1
1.316512790E-1	8.487429619E-1	-3.315459490E-1	-4.693241119E-1
1.397442020E-1	9.565321207E-1	-4.228410721E-1	-6.167802811E-1
1.478523560E-1	1.077171087E0	-6.204768419E-1	-4.047145844E-1
1.559452020E-1	1.124199510E0	-6.887834072E-1	-1.660280228E-1
1.722996630E-1	1.042858481E0	-3.742314577E-1	-5.265693665E-1
1.803918940E-1	7.689229250E-1	-3.706026077E-1	-4.773855209E-1
1.884854710E-1	5.372516513E-1	-3.834606409E-1	-1.446180344E-1
1.965888940E-1	1.708965600E-1	-2.629380226E-1	5.959024429E-1
2.046868170E-1	-8.699178696E-2	-1.134971380E-1	1.438428879E0
2.129057780E-1	-3.221988082E-1	1.927772760E-1	1.972655296E0
2.210134710E-1	-4.650623202E-1	6.803637743E-1	1.930787086E0
2.291055860E-1	-4.941946268E-1	1.061590195E0	1.748705864E0
2.372231240E-1	-5.134906173E-1	1.315568566E0	1.203490257E0
2.453596630E-1	-4.548404217E-1	1.252292871E0	7.776813507E-1
2.535774320E-1	-2.328061461E-1	6.832299232E-1	5.638093948E-1
2.616680860E-1	-1.829555035E-1	2.279572487E-1	3.590965271E-1
2.697759320E-1	8.655154705E-2	9.494352341E-2	7.081890106E-2
2.778596630E-1	3.208503723E-1	-4.003529549E-1	-1.160268784E-1
2.859585090E-1	6.183377504E-1	-7.641571760E-1	3.271389008E-2
2.941882780E-1	7.698576450E-1	-8.295370340E-1	-1.019783020E-1
3.022776240E-1	1.060528755E0	-8.591459394E-1	-5.477657318E-1
3.103682780E-1	1.985137105E0	-8.451848626E-1	-8.763484955E-1
3.184684320E-1	1.862930775E0	-4.005423784E-1	-7.554759979E-1
3.265658550E-1	1.653533578E0	4.085958004E-2	-3.676490784E-1
3.347817010E-1	1.293122768E0	3.413745165E-1	1.291208267E-1
3.428874320E-1	1.023998976E0	6.115247011E-1	6.352977753E-1
3.509812780E-1	4.551264942E-1	9.033545256E-1	9.591856003E-1
3.590715090E-1	4.000959396E-1	1.105043530E0	1.057554245E0
3.671912010E-1	5.154919028E-1	1.225094199E0	9.881324768E-1
3.754091240E-1	5.485131145E-1	1.288545132E0	8.013057709E-1
3.834998930E-1	4.135747552E-1	1.220917940E0	4.564476013E-1
3.916071620E-1	3.462431431E-1	1.045281887E0	-8.949089050E-2
3.997018930E-1	5.603642464E-1	8.809595108E-1	-5.590324402E-1
4.078246240E-1	7.380912900E-1	6.870092154E-1	-8.785848618E-1
4.160571620E-1	1.011676788E0	3.349976540E-1	-9.580736160E-1
4.241464310E-1	1.327662945E0	-9.046673775E-3	-8.319969177E-1
4.322381240E-1	1.278793693E0	-1.788352728E-1	-5.284280777E-1
4.403411240E-1	1.271935105E0	-2.279806137E-2	-3.272933960E-1
4.484389310E-1	1.177080512E0	9.651565552E-2	-5.583858490E-2
4.566550080E-1	9.916405678E-1	5.126464367E-2	1.306638718E-1
4.647598160E-1	6.859872341E-1	1.425971985E-1	3.533430099E-1
4.728522390E-1	3.727718592E-1	4.080011845E-1	4.425868988E-1
4.809432770E-1	1.412689686E-1	3.711673021E-1	3.161077499E-1
4.972967770E-1	-2.771977186E-1	1.306726933E-1	1.556463242E-1
5.053860080E-1	-1.408432722E-1	1.360654831E-1	6.342029572E-2
5.134932770E-1	-6.888270378E-2	5.359566212E-2	7.373714447E-2
5.215821230E-1	2.773535252E-2	-6.036198139E-2	6.462669373E-2
5.297163160E-1	5.416965485E-2	-1.442953348E-1	-1.218910217E-1
5.379470850E-1	-2.272509336E-1	-1.527997255E-1	-1.801300049E-1
5.460387000E-1	-4.569638968E-1	1.011196375E-1	-1.103153229E-1
5.541323540E-1	-6.902703643E-1	2.458376884E-1	7.118701935E-2
5.622432390E-1	-9.826723933E-1	1.043010950E-1	3.152675629E-1
5.703407390E-1	-1.151814938E0	-3.169274330E-2	4.933576584E-1
5.785571230E-1	-1.180509686E0	-4.589605331E-2	4.784259796E-1
5.866638540E-1	-1.136561871E0	2.236080170E-2	3.540601730E-1
5.947559690E-1	-1.138694644E0	9.253954887E-2	1.392107010E-1
6.028457000E-1	-1.292849541E0	2.629319429E-1	-1.725673676E-2
6.109858920E-1	-1.601311207E0	5.199232101E-1	-1.558094025E-1
6.192043540E-1	-1.927108169E0	6.729323864E-1	-1.801309586E-1
6.272963150E-1	-2.926663160E0	9.631824493E-1	-4.025230408E-1
6.354050850E-1	-3.413259029E0	9.811179638E-1	-2.410402298E-1
6.434932770E-1	-3.186923504E0	4.624912739E-1	-2.939205170E-1
6.516190460E-1	-2.509313583E0	-3.718420267E-1	-1.173642159E0
6.597290460E-1	-1.441267371E0	-1.989271402E0	-2.268426418E0
6.678216230E-1	-1.637986302E-1	-2.128845453E0	-1.392213821E0
6.759162000E-1	1.658098400E-2	-1.035419226E0	-1.282078743E0
6.840153920E-1	1.004224181E0	-1.354501843E0	-1.588609695E0
6.921149690E-1	1.378485858E-1	-1.503941059E0	-1.497998238E0
7.003343150E-1	-5.057588816E-1	-1.291634440E0	-1.073515892E0
7.084428150E-1	-1.211821079E0	-1.247127652E0	-4.410486221E-1
7.165380070E-1	-1.405962229E0	-9.580272436E-1	-8.412361145E-3
7.246318920E-1	-1.179964185E0	-7.109760046E-1	-1.682024002E-1
7.327723150E-1	-5.727434158E-1	-5.971634388E-1	-5.538177490E-1
7.409910070E-1	-7.193178535E-1	-6.370700598E-1	-8.058252335E-1
7.490848150E-1	-1.083132744E0	-6.089290380E-1	-9.412393570E-1
7.571950460E-1	-1.657384753E0	-5.725841522E-1	-7.856702805E-1
7.652816990E-1	-1.708961844E0	-5.615625381E-1	-1.622896194E-1
7.733968150E-1	-9.804728627E-1	-3.020462990E-1	1.749801636E-2
7.816293530E-1	1.038312912E-2	-2.813239098E-1	3.232021332E-1
7.897220070E-1	3.629588783E-1	-2.975168228E-1	5.964765549E-1
7.978202760E-1	-6.482601166E-3	-2.263799906E-1	1.361731529E0
8.059271990E-1	1.372666061E-1	-5.536866188E-2	2.127180099E0
8.140260840E-1	5.135534406E-1	1.484949589E-1	2.814794540E0
8.222433530E-1	7.836219072E-1	3.203709126E-1	3.248833656E0
8.303527380E-1	8.499407172E-1	5.829520226E-1	3.341450691E0
8.384488910E-1	7.300627232E-1	5.611965656E-1	2.031608582E0
8.465635450E-1	5.454665422E-2	-4.944424629E-1	6.799764633E-1
8.547021220E-1	1.478798091E-1	-1.213485360E0	4.989480972E-1
8.629208140E-1	3.290873766E-1	-1.418183208E0	8.044328690E-1
8.710135450E-1	6.761258841E-2	-8.837897778E-1	3.825330734E-1
8.791214300E-1	-4.812361002E-1	-4.932031631E-1	1.042995453E-1
8.872104300E-1	-1.200279951E0	-3.052902222E-2	-2.484245300E-1
8.953331600E-1	-1.560847282E0	4.390556812E-1	-3.843126297E-1
9.035656990E-1	-1.094696283E0	5.618715286E-1	-3.078079224E-2
9.116570450E-1	-5.184178352E-1	5.576810837E-1	6.181344986E-1
9.197499680E-1	-6.749877334E-1	3.115556240E-1	1.369701385E0
9.278503910E-1	-8.662924767E-1	2.247343063E-1	1.483195305E0
9.359508140E-1	-1.465265036E0	3.157649040E-1	5.196847916E-1
9.441684680E-1	-1.753740549E0	7.401790619E-1	5.729761124E-1
9.522750450E-1	-2.055167437E0	9.230537415E-1	1.343163490E0
9.603680830E-1	-2.033572912E0	9.386115074E-1	1.979169846E0
9.684801600E-1	-1.941405892E0	7.423081398E-1	2.128746986E0
9.766183140E-1	-1.986568809E0	6.208715439E-1	1.731206894E0
9.929296990E-1	-1.486202598E0	1.338525295E0	1.355798721E0
1.001040775E0	-1.035238862E0	1.700662613E0	1.378701210E0
1.009153698E0	-7.563673854E-1	9.778957367E-1	1.264575005E0
