"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.925322400E-1	-9.337386489E-2	1.357512355E0	9.821015358E0
1.937127300E-1	-2.035071403E-1	1.369483352E0	1.002452278E1
1.965888940E-1	-2.968810201E-1	1.383848548E0	1.025197124E1
1.982966920E-1	-4.118026793E-1	1.424550056E0	1.059913063E1
2.006292780E-1	-4.381389022E-1	1.438915253E0	1.070687008E1
2.019744230E-1	-4.884171486E-1	1.472434044E0	1.091037750E1
2.046868170E-1	-5.626373887E-1	1.515529633E0	1.109712505E1
2.059952300E-1	-6.416460276E-1	1.575384736E0	1.127668953E1
2.085884230E-1	-7.038952708E-1	1.640028119E0	1.143949604E1
2.100470000E-1	-7.517793179E-1	1.714248419E0	1.155920601E1
2.129057780E-1	-7.876923680E-1	1.812410712E0	1.163342571E1
2.146454610E-1	-8.020575643E-1	1.963245392E0	1.166694450E1
2.169562780E-1	-8.212111592E-1	2.068590164E0	1.164779091E1
2.181539610E-1	-8.547300100E-1	2.173935175E0	1.162384892E1
2.210134710E-1	-9.026140571E-1	2.300827742E0	1.159272480E1
2.226264230E-1	-9.528923035E-1	2.439691544E0	1.155441761E1
2.250486630E-1	-1.005564690E0	2.559401512E0	1.151850414E1
2.262245380E-1	-1.055842996E0	2.679111719E0	1.146822643E1
2.291055860E-1	-1.086967587E0	2.798821688E0	1.138203526E1
2.307189610E-1	-1.098938584E0	2.916137695E0	1.126471901E1
2.331658550E-1	-1.101332784E0	3.026270866E0	1.112585545E1
2.343938840E-1	-1.125274777E0	3.124433279E0	1.097023201E1
2.372231240E-1	-1.165976286E0	3.201047659E0	1.080503273E1
2.389747300E-1	-1.192312479E0	3.256114244E0	1.066137981E1
2.413025090E-1	-1.201889277E0	3.296815634E0	1.054406452E1
2.425049610E-1	-1.194706678E0	3.313575268E0	1.043871975E1
2.453596630E-1	-1.161187768E0	3.284844637E0	1.034534550E1
2.468328460E-1	-1.108515382E0	3.193865061E0	1.026873112E1
2.494852400E-1	-1.063025594E0	3.076549292E0	1.022324085E1
2.507508460E-1	-1.022324085E0	2.942473888E0	1.017535686E1
2.535774320E-1	-9.648633003E-1	2.791639090E0	1.011310768E1
2.551325380E-1	-8.786720037E-1	2.633621931E0	1.003888798E1
2.576109320E-1	-7.685387731E-1	2.468421936E0	9.971850395E0
2.588534230E-1	-7.374141216E-1	2.348711967E0	9.940725327E0
2.616680860E-1	-9.361328483E-1	2.355894566E0	9.902418137E0
2.632344230E-1	-1.307234168E0	2.516305923E0	9.753977776E0
2.657188940E-1	-1.307234168E0	2.533065319E0	9.722852707E0
2.669081530E-1	-1.051054597E0	2.437297344E0	9.691728592E0
2.697759320E-1	-6.536170840E-1	2.233790159E0	9.612719536E0
2.713780770E-1	-4.309563041E-1	1.984793186E0	9.478644371E0
2.738027400E-1	-4.764461517E-1	1.932120800E0	9.469067574E0
2.749904610E-1	-5.171475410E-1	1.824381709E0	9.469067574E0
2.778596630E-1	-3.758896589E-1	1.687912226E0	9.440337181E0
2.796800000E-1	-2.274491638E-1	1.546654344E0	9.380482674E0
2.819021240E-1	-2.059013397E-1	1.498770237E0	9.421183586E0
2.830995380E-1	-1.364694983E-1	1.381454349E0	9.528923035E0
2.859585090E-1	9.576806799E-3	1.218648672E0	9.617507935E0
2.873220770E-1	3.112462163E-2	1.158793569E0	9.581595421E0
2.899705770E-1	3.112462163E-2	1.118092179E0	9.548076630E0
2.913270380E-1	1.316810995E-1	1.074996591E0	9.536105156E0
2.941882780E-1	2.729389966E-1	1.039083481E0	9.512163162E0
2.958098840E-1	3.687070608E-1	1.017535686E0	9.409213066E0
2.982213170E-1	4.165911078E-1	1.019929886E0	9.253589630E0
2.994030000E-1	5.003881454E-1	9.840168953E-1	9.150638580E0
3.022776240E-1	7.158663273E-1	9.026140571E-1	9.093177795E0
3.038958460E-1	1.180341482E0	7.924807668E-1	8.942343712E0
3.063121630E-1	1.707065821E0	7.374141216E-1	8.829815865E0
3.075092690E-1	1.848323703E0	7.876923680E-1	8.781931877E0
3.103682780E-1	1.740584612E0	8.906430602E-1	8.772355080E0
3.119837690E-1	1.659181833E0	9.983820915E-1	8.786720276E0
3.144115860E-1	1.659181833E0	1.101332784E0	8.815450668E0
3.156163840E-1	1.683123827E0	1.194706678E0	8.851364136E0
3.184684320E-1	1.699883223E0	1.297657371E0	8.901641846E0
3.201451530E-1	1.695094824E0	1.410184860E0	8.971074104E0
3.225088160E-1	1.673547029E0	1.508347034E0	9.071630478E0
3.237601150E-1	1.644816518E0	1.599326730E0	9.191340446E0
3.265658550E-1	1.589749932E0	1.690306425E0	9.299078941E0
3.279058840E-1	1.515529633E0	1.769315004E0	9.418789864E0
3.306738460E-1	1.426944256E0	1.836352706E0	9.550470352E0
3.319529610E-1	1.350329757E0	1.889025092E0	9.679757118E0
3.347817010E-1	1.326387763E0	1.941697598E0	9.804255486E0
3.365690380E-1	1.357512355E0	2.023100376E0	1.000536919E1
3.388298930E-1	1.345541358E0	2.051830769E0	1.007001209E1
3.400702300E-1	1.292868972E0	2.114080191E0	1.018014526E1
3.428874320E-1	1.151610970E0	2.169146776E0	1.031661510E1
3.444984230E-1	8.044517636E-1	2.245761156E0	1.053448772E1
3.469233160E-1	6.943184733E-1	2.310404539E0	1.058237171E1
3.481090000E-1	6.512228847E-1	2.367865562E0	1.060870743E1
3.509812780E-1	6.703764796E-1	2.425326347E0	1.064462090E1
3.525692690E-1	7.062895298E-1	2.477998734E0	1.068053341E1
3.550137390E-1	7.134721279E-1	2.530671120E0	1.071165848E1
3.563051920E-1	6.991068721E-1	2.566584110E0	1.073799419E1
3.590715090E-1	7.038952708E-1	2.597708941E0	1.074517727E1
3.608353840E-1	7.422025204E-1	2.631227732E0	1.074278259E1
3.631338930E-1	7.924807668E-1	2.652775526E0	1.074517727E1
3.643500380E-1	8.379706144E-1	2.671929121E0	1.072362900E1
3.671912010E-1	9.121908545E-1	2.695871115E0	1.067574501E1
3.685130380E-1	9.744400978E-1	2.715024710E0	1.063743782E1
3.711698460E-1	1.015141487E0	2.726995707E0	1.060152531E1
3.725630380E-1	1.039083481E0	2.734178305E0	1.055124664E1
3.754091240E-1	1.046266198E0	2.743755102E0	1.048660374E1
3.770303070E-1	1.029506683E0	2.748543501E0	1.040998936E1
3.794425090E-1	1.015141487E0	2.731784105E0	1.032858658E1
3.806248840E-1	1.022324085E0	2.707842112E0	1.023760605E1
3.834998930E-1	1.017535686E0	2.667140722E0	1.013704967E1
3.852028840E-1	9.935936928E-1	2.621650934E0	1.001494598E1
3.875498930E-1	9.864110947E-1	2.571372509E0	9.861717224E0
3.888348460E-1	1.003170490E0	2.528276920E0	9.718064308E0
3.916071620E-1	1.053448796E0	2.492363930E0	9.583989143E0
3.932427690E-1	1.146822572E0	2.422932148E0	9.402029991E0
3.956455470E-1	1.189918280E0	2.406172752E0	9.337387085E0
3.968210380E-1	1.288080573E0	2.375048161E0	9.212887764E0
3.997018930E-1	1.369483352E0	2.336740971E0	9.105149269E0
4.014213460E-1	1.479616642E0	2.281674147E0	8.937555313E0
4.037674700E-1	1.520318031E0	2.267308950E0	8.887276649E0
4.050871920E-1	1.594538331E0	2.221819162E0	8.810662270E0
4.078246240E-1	1.644816518E0	2.157175779E0	8.774748802E0
4.091783070E-1	1.697489023E0	2.039859772E0	8.743624687E0
4.119644700E-1	1.776497602E0	1.975216389E0	8.714894295E0
4.133557300E-1	1.893813491E0	1.900996208E0	8.683769226E0
4.160571620E-1	2.008735180E0	1.821987510E0	8.683769226E0
4.178334610E-1	2.114080191E0	1.747767210E0	8.705317497E0
4.200895850E-1	2.224213362E0	1.673547029E0	8.724471092E0
4.213588840E-1	2.336740971E0	1.584961534E0	8.743624687E0
4.241464310E-1	2.408566952E0	1.491587639E0	8.798690796E0
4.257834610E-1	2.422932148E0	1.410184860E0	8.882488251E0
4.281811620E-1	2.408566952E0	1.345541358E0	8.973467827E0
4.294125760E-1	2.403778553E0	1.319205165E0	9.045293808E0
4.322381240E-1	2.434903145E0	1.323993564E0	9.093177795E0
4.338630760E-1	2.468421936E0	1.347935557E0	9.138668060E0
4.362845850E-1	2.477998734E0	1.383848548E0	9.191340446E0
4.374897300E-1	2.487575531E0	1.426944256E0	9.232041359E0
4.403411240E-1	2.489969730E0	1.477222443E0	9.287108421E0
4.420714230E-1	2.487575531E0	1.534683347E0	9.349357605E0
4.443822010E-1	2.506729126E0	1.572990537E0	9.406818390E0
4.458583840E-1	2.497152328E0	1.589749932E0	9.476250648E0
4.484389310E-1	2.444479942E0	1.592144132E0	9.552865028E0
4.498966530E-1	2.372653961E0	1.592144132E0	9.622296333E0
4.523309610E-1	2.341529369E0	1.580173135E0	9.665391922E0
4.539153840E-1	2.329558372E0	1.558625340E0	9.696516991E0
4.566550080E-1	2.296039343E0	1.544260144E0	9.734824181E0
4.582864610E-1	2.205059767E0	1.544260144E0	9.818621635E0
4.607033540E-1	2.171540976E0	1.551442742E0	9.849745750E0
4.618866150E-1	2.099714994E0	1.584961534E0	9.904812813E0
4.647598160E-1	2.011129379E0	1.632845521E0	9.955090523E0
4.663254610E-1	1.869871497E0	1.719036818E0	1.001733971E1
4.687953160E-1	1.829170108E0	1.754949808E0	1.003409958E1
4.699833460E-1	1.759738207E0	1.829170108E0	1.004846478E1
4.728522390E-1	1.702277422E0	1.898601890E0	1.004367638E1
4.744576530E-1	1.628057122E0	1.948880196E0	1.001015759E1
4.768861620E-1	1.575384736E0	1.939303398E0	9.976638794E0
4.782844230E-1	1.549048543E0	1.929726601E0	9.959878922E0
4.809432770E-1	1.470039845E0	1.865083098E0	9.916783333E0
4.826358070E-1	1.391031146E0	1.802833915E0	9.911994934E0
4.850230470E-1	1.302445769E0	1.740584612E0	9.911994934E0
4.866492300E-1	1.209071875E0	1.692700624E0	9.902418137E0
4.890800850E-1	1.132457376E0	1.666364431E0	9.888052940E0
4.904854610E-1	1.082179189E0	1.649604917E0	9.861717224E0
4.932052000E-1	1.046266198E0	1.632845521E0	9.828198433E0
4.944917300E-1	1.036689281E0	1.625662923E0	9.787496567E0
4.972967770E-1	1.051054597E0	1.640028119E0	9.753977776E0
4.989191920E-1	1.077390790E0	1.654393315E0	9.725247383E0
5.013292000E-1	1.106121182E0	1.663970232E0	9.696516991E0
5.025595380E-1	1.142034173E0	1.663970232E0	9.674968719E0
5.053860080E-1	1.182735682E0	1.656787634E0	9.660603523E0
5.069827690E-1	1.206677675E0	1.647210717E0	9.651026726E0
5.094363160E-1	1.213860273E0	1.632845521E0	9.653421402E0
5.106273460E-1	1.230619669E0	1.611297727E0	9.655815125E0
5.134932770E-1	1.244984865E0	1.587355733E0	9.670180321E0
