"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
9.708933000E-3	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
1.091019200E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
1.374743300E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
1.495565400E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
1.780512500E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
1.939800000E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
2.186431800E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
2.307150000E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
2.592274100E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
2.777834600E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
2.996112500E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
3.111476900E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
3.401947100E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
3.567057700E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
3.809674100E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
3.925884600E-2	3.834952042E-2	-4.175836742E-1	-1.747033745E-1
4.215474100E-2	1.320927888E-1	-3.552657068E-1	-3.685815036E-1
4.344342300E-2	1.294296384E-1	-3.627225459E-1	-3.771036267E-1
4.604553800E-2	1.241033077E-1	-3.712446690E-1	-3.861583769E-1
4.748750000E-2	1.155811921E-1	-3.749730885E-1	-3.925499618E-1
5.038835600E-2	1.070590764E-1	-3.824299276E-1	-3.994741738E-1
5.193419200E-2	1.006674916E-1	-3.904194236E-1	-4.026699662E-1
5.442239400E-2	9.267801046E-2	-3.973436356E-1	-4.085289240E-1
5.564342300E-2	8.788431436E-2	-4.127899706E-1	-4.095941782E-1
5.847970200E-2	8.681905270E-2	-4.277036786E-1	-4.122573435E-1
6.004011500E-2	8.202536404E-2	-4.484763443E-1	-4.127899706E-1
6.251574100E-2	8.468852192E-2	-4.676510990E-1	-4.154531360E-1
6.367284600E-2	8.468852192E-2	-4.926848114E-1	-4.170510471E-1
6.657377900E-2	8.788431436E-2	-5.182511806E-1	-4.181163013E-1
6.818776900E-2	9.480853379E-2	-5.581985712E-1	-4.229099751E-1
