"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.775857400E-1	1.539471745E0	2.363077164E0	7.685387611E0
1.792799230E-1	1.491587639E0	2.229001760E0	7.939172745E0
1.816485480E-1	1.632845521E0	2.243366957E0	8.025363922E0
1.828792310E-1	2.030282974E0	2.351106167E0	8.147468567E0
1.857046250E-1	2.470816135E0	2.489969730E0	8.204929352E0
1.873250000E-1	3.038241863E0	2.602497339E0	8.252813339E0
1.897658170E-1	3.181894064E0	2.607285738E0	8.281543732E0
1.909905000E-1	3.380612850E0	2.568978310E0	8.379706383E0
1.938211250E-1	3.473986626E0	2.516305923E0	8.554482460E0
1.954204620E-1	3.476380825E0	2.511517525E0	8.829815865E0
1.978655860E-1	3.462015629E0	2.540247917E0	8.954314232E0
1.990950000E-1	3.447650433E0	2.588132143E0	9.064447403E0
2.019222010E-1	3.433285236E0	2.628833532E0	9.203310966E0
2.036785380E-1	3.421314240E0	2.638410330E0	9.390059471E0
2.058628850E-1	3.421314240E0	2.624045134E0	9.586383820E0
2.072215000E-1	3.471592426E0	2.578555346E0	9.763554573E0
2.100386630E-1	3.608062029E0	2.489969730E0	9.967061996E0
2.116902690E-1	3.778050184E0	2.398990154E0	1.017535686E1
2.141204320E-1	3.897760391E0	2.406172752E0	1.024957752E1
2.154557690E-1	3.986345768E0	2.473210335E0	1.023281765E1
2.181762010E-1	4.029441357E0	2.545036316E0	1.018732834E1
2.198816150E-1	4.012681961E0	2.585737944E0	1.013465595E1
2.222522780E-1	3.962403774E0	2.585737944E0	1.005564690E1
2.234785000E-1	3.873818398E0	2.604891539E0	9.933543205E0
2.263072400E-1	3.763684988E0	2.626439333E0	9.782708168E0
2.278972310E-1	3.665522814E0	2.638410330E0	9.631873131E0
2.303677780E-1	3.574543238E0	2.662352324E0	9.469067574E0
2.315613850E-1	3.497928619E0	2.691082716E0	9.313444138E0
2.344225480E-1	3.445256233E0	2.717418909E0	9.172186852E0
2.360263850E-1	3.404554844E0	2.726995707E0	9.030928612E0
2.384507400E-1	3.339911461E0	2.738966703E0	8.882488251E0
2.396628080E-1	3.296815634E0	2.705447912E0	8.791508675E0
2.425056240E-1	3.315969467E0	2.600103140E0	8.801085472E0
2.442910000E-1	3.438073635E0	2.403778553E0	8.875306129E0
2.464508850E-1	3.502717018E0	2.353500366E0	8.901641846E0
2.480069230E-1	3.648763418E0	2.286462545E0	8.949525833E0
2.506367010E-1	3.775655985E0	2.243366957E0	8.999804497E0
2.520406540E-1	3.833117008E0	2.219424963E0	9.066842079E0
2.547537400E-1	3.830722809E0	2.195482969E0	9.112331390E0
2.561383080E-1	3.799597979E0	2.164358377E0	9.131484985E0
2.588440470E-1	3.720589399E0	2.090138197E0	9.157821655E0
2.605003850E-1	3.675099611E0	2.027888775E0	9.181763649E0
2.629056240E-1	3.665522814E0	1.956062794E0	9.181763649E0
2.641668460E-1	3.689464808E0	1.881842494E0	9.157821655E0
2.669615090E-1	3.763684988E0	1.812410712E0	9.129091263E0
2.686048850E-1	3.888183594E0	1.750161409E0	9.095572472E0
2.710377780E-1	4.067748547E0	1.680729628E0	9.064447403E0
2.723241920E-1	4.288015366E0	1.613691926E0	9.026140213E0
2.750941240E-1	4.489128113E0	1.563413739E0	8.971074104E0
2.768354230E-1	4.620809078E0	1.517923832E0	8.899248123E0
2.791253550E-1	4.673481941E0	1.467645645E0	8.839392662E0
2.806178850E-1	4.663905144E0	1.422155857E0	8.791508675E0
2.831810860E-1	4.620809078E0	1.386242747E0	8.743624687E0
2.848220000E-1	4.577713490E0	1.357512355E0	8.700529099E0
2.872431630E-1	4.577713490E0	1.331176162E0	8.681375504E0
2.884741540E-1	4.627991676E0	1.302445769E0	8.681375504E0
2.912990090E-1	4.692635536E0	1.292868972E0	8.705317497E0
2.929007310E-1	4.766855717E0	1.271321058E0	8.760383606E0
2.953279320E-1	4.848258495E0	1.221042871E0	8.865729332E0
2.967532690E-1	4.888959885E0	1.185129881E0	8.978256226E0
2.993834320E-1	4.874594688E0	1.192312479E0	9.078812599E0
3.009675000E-1	4.853046894E0	1.206677675E0	9.198522568E0
3.034458550E-1	4.876988888E0	1.180341482E0	9.368511200E0
3.046707310E-1	5.058948040E0	1.000776291E0	9.706093788E0
3.075021630E-1	5.173870087E0	8.307880163E-1	1.003170490E1
3.090961540E-1	5.090072632E0	9.457096457E-1	9.962273598E0
3.115647010E-1	5.051765442E0	1.012747288E0	9.904812813E0
3.127810380E-1	4.941632271E0	1.113303781E0	9.811438560E0
3.156273930E-1	4.819528103E0	1.132457376E0	9.742006302E0
3.172437310E-1	4.733336926E0	1.041477680E0	9.634267807E0
3.196717400E-1	4.745307922E0	1.000776291E0	9.595960617E0
3.210331150E-1	4.809951305E0	9.265560508E-1	9.504981041E0
3.237272780E-1	4.920084476E0	8.475474119E-1	9.375694275E0
3.253471150E-1	5.109226227E0	7.445967197E-1	9.114726067E0
3.277534230E-1	5.152322292E0	7.302315235E-1	9.002198219E0
3.291647690E-1	5.219359875E0	7.086837292E-1	8.789113998E0
3.318430860E-1	5.238513470E0	7.015010715E-1	8.566453934E0
3.331930000E-1	5.181052685E0	7.158663273E-1	8.470685959E0
3.359491630E-1	5.090072632E0	7.422025204E-1	8.420407295E0
3.372146920E-1	4.991910458E0	7.541735172E-1	8.415618896E0
3.400394700E-1	4.884171486E0	7.685387731E-1	8.420407295E0
3.416531540E-1	4.754884720E0	8.092401624E-1	8.403648376E0
3.441151620E-1	4.642356873E0	8.499416113E-1	8.425195694E0
3.453450380E-1	4.501099110E0	8.978256583E-1	8.425195694E0
3.481713550E-1	4.367023945E0	9.050082564E-1	8.429984093E0
3.497703460E-1	4.357447147E0	7.637503147E-1	8.571242332E0
3.522009320E-1	4.477157116E0	4.908113480E-1	8.791508675E0
3.534511540E-1	4.699818134E0	1.915361285E-1	8.966285706E0
3.562560860E-1	4.994304657E0	-7.661445439E-2	9.030928612E0
