"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
6.241692770E-1	-1.389101028E0	-6.290566921E-2	4.202694893E-1
6.322870460E-1	-7.129116058E-1	-1.375085115E0	3.959708214E-1
6.404603920E-1	-5.051612854E-3	-5.937029719E-1	-2.234363556E-2
6.485473150E-1	-1.352125645E0	-3.965457976E-1	4.939565659E-1
6.566673920E-1	-1.789969921E0	-8.410460353E-1	5.168995857E-1
6.647699300E-1	-2.228952408E0	-1.607542753E0	1.865160465E-1
6.728885460E-1	3.493871689E-1	-1.828907371E0	5.964994431E-3
6.810054690E-1	4.165029526E-1	-1.833175778E0	5.224480629E-1
6.891027000E-1	5.747785568E-1	-1.144255996E0	-3.911836147E-1
6.972190460E-1	1.319787979E0	-6.442462802E-1	-1.398503542E0
7.053294300E-1	2.702623367E0	-5.249038935E-1	-2.691470146E0
7.134616230E-1	2.264513016E0	-1.672824144E0	-4.168940544E0
7.215802380E-1	4.514946938E0	-6.263701320E-1	-4.992900848E0
7.296663530E-1	5.183735847E0	3.910752535E-1	-4.792086124E0
7.377991610E-1	3.081497192E0	-1.482613444E0	-1.369992495E0
7.460320840E-1	2.610745430E0	-3.329477310E0	2.966942549E0
7.541494690E-1	2.775588989E0	-4.124654770E0	4.609539509E0
7.622835070E-1	2.791215897E0	-4.828385830E0	2.958402634E0
7.703699300E-1	3.516941071E0	-5.172420979E0	3.564019203E-1
7.784907760E-1	2.516841888E0	-4.579206467E0	-3.844971657E-1
7.865770840E-1	2.719630241E0	-3.567496538E0	9.255647659E-2
7.946933530E-1	2.708667755E0	-2.640891314E0	6.810927391E-1
8.028170070E-1	2.781427383E0	-1.945289373E0	2.762322426E-1
8.109186610E-1	2.167308807E0	-3.272400379E0	-3.997902870E-1
8.190381220E-1	5.130881310E0	-1.070512772E0	7.578091621E-1
8.272590450E-1	2.744100571E0	-9.757702351E-1	1.734877110E0
8.353906990E-1	4.075348854E0	-8.878827095E-1	1.543764114E0
8.435085840E-1	3.433034897E0	-1.201575160E0	8.234634399E-1
8.515952370E-1	3.154949188E0	-2.075910568E-2	2.058758736E-1
8.597276610E-1	2.029665947E0	1.559039593E0	8.208084106E-2
8.678665070E-1	1.158091068E0	2.224842787E0	-4.369945526E-1
8.759849680E-1	2.310680866E0	4.857749939E-1	-1.416721582E0
8.841178140E-1	2.210725307E0	-1.951352119E0	-1.379161596E0
8.922029300E-1	1.802282333E0	-3.209339857E0	-1.010031223E0
9.003204300E-1	2.158768654E0	-5.285371304E0	-5.851130486E-1
9.085286220E-1	2.187974930E0	-5.539268494E0	-7.071371078E-1
9.166483910E-1	3.964161873E0	-5.284725189E0	7.219028473E-1
9.247682370E-1	-2.168779373E-1	-3.133581638E0	2.145524025E-1
9.328465060E-1	-3.329623461E0	-3.316385031E0	-4.258537292E-1
9.409631600E-1	-6.817690849E0	-2.335274458E0	-3.215219975E0
9.490726220E-1	-1.217626190E1	-9.313220978E-1	-8.035268784E0
9.572045830E-1	-1.509183502E1	4.217028141E0	-1.404886723E1
9.653303520E-1	-1.404148674E1	5.828391552E0	-1.232348442E1
9.734163910E-1	-1.051642418E1	7.384529114E0	-7.518981934E0
9.815502750E-1	-5.422580719E0	7.997023106E0	-2.130477667E0
9.897756600E-1	-2.139233112E0	5.965000153E0	1.213025570E0
9.978925830E-1	-2.358416796E0	3.730242729E0	8.998060226E-1
1.006027083E0	-2.150505781E0	1.747971058E0	-2.862486839E-1
1.014113506E0	7.994890213E-2	-5.419220924E-1	-2.643034458E0
1.022232275E0	8.085584641E-2	-1.574356079E0	-2.253527164E0
1.030324391E0	-7.135486603E-2	-1.700142384E0	-2.305496216E0
1.038443429E0	-3.289356232E-1	-2.292925835E0	-1.643418312E0
1.046559544E0	4.144196510E-1	-2.413235664E0	-8.809344769E-1
1.054658621E0	7.622241974E-1	-2.806921005E0	-6.736590862E-1
1.062777467E0	1.127001762E0	-3.244483948E0	-3.029243946E-1
1.079104237E0	2.161196709E0	-3.321058273E0	3.336524963E-2
1.087223160E0	2.726705551E0	-1.731247902E0	6.593811512E-1
1.095309044E0	1.813222885E0	-3.118791580E-1	1.965521574E0
1.103442506E0	2.767301559E0	-6.637015343E-1	3.083745480E0
1.111578352E0	3.310813904E0	-2.951558590E0	9.543702602E-1
1.119698429E0	3.847881317E0	-3.454951286E0	1.428438663E0
1.127831852E0	5.200654030E0	-4.203347683E0	-1.108704329E0
1.135918390E0	1.768976212E0	-2.696307659E0	-2.404073954E0
1.144034659E0	1.089725018E0	-3.018990040E0	-1.239412308E0
1.152236659E0	9.632568359E-1	-3.321824074E0	1.505717516E0
1.160355044E0	6.364853382E-1	-3.591345787E0	2.939485788E0
1.168472698E0	4.003000259E-2	-4.114743710E0	3.304925919E0
1.184692313E0	-2.396020889E0	-4.652752876E0	1.036105514E0
1.192819967E0	-4.447777748E0	-3.032520294E0	-1.313466907E0
1.200952890E0	-6.910461426E0	-1.738434315E0	-3.591388226E0
1.209070736E0	-8.448377609E0	1.651954651E-2	-5.922089100E0
1.217157121E0	-9.175179482E0	2.539446831E0	-8.612763405E0
1.225290928E0	-9.626407623E0	5.285775185E0	-1.096089745E1
1.233521159E0	-9.603582382E0	7.763297081E0	-1.251661587E1
1.249775851E0	-7.728975296E0	1.260933590E1	-3.743190050E0
1.255072576E0	-5.767971039E0	1.264435005E1	-1.404952645E0
1.257862505E0	-4.913241386E0	1.239295769E1	-2.581300735E-1
1.265981659E0	-1.570814610E0	1.051742458E1	3.482591152E0
1.274067236E0	6.607011557E-1	7.996965408E0	5.095490456E0
1.282186159E0	1.692791820E0	5.391625404E0	4.802772522E0
1.290311467E0	1.542697430E0	2.990381241E0	3.329610586E0
1.298414082E0	1.131204605E0	1.148024559E0	2.310188293E0
1.306532428E0	1.086236358E0	-3.687677383E-1	1.696274519E0
1.314753890E0	1.195357561E0	-1.578936100E0	1.298404932E-1
1.322888274E0	1.339636922E0	-2.308354855E0	-1.513500452E0
1.331006928E0	1.308121443E0	-2.628881931E0	-2.849998474E0
1.339094082E0	1.219058275E0	-2.738332272E0	-1.733976841E0
1.347226659E0	9.634441137E-1	-2.016644478E0	-2.147716761E0
1.355358774E0	3.336609602E-1	-1.165549278E0	-4.493854523E0
1.363478043E0	-2.830621004E-1	-9.734783173E-1	-4.059977531E0
1.371610889E0	-8.237782717E-1	-7.930202484E-1	-1.852946997E0
1.387813966E0	-1.017364502E0	-3.706235886E-1	2.415338755E-1
1.396019466E0	-9.139301181E-1	-3.307638168E-1	-4.781978130E-1
