"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
2.323935600E-2	9.420000076E0	-4.368000031E1	-6.960000038E0
3.138370200E-2	1.151999950E1	-3.870000076E1	-1.668000031E1
3.946889400E-2	1.247999954E1	-3.570000076E1	-2.118000031E1
4.758566400E-2	1.331999969E1	-3.347999954E1	-2.615999985E1
5.566758700E-2	1.367999935E1	-3.311999893E1	-2.597999954E1
6.378320200E-2	1.385999966E1	-3.318000031E1	-2.543999863E1
7.189997100E-2	1.421999931E1	-3.293999863E1	-2.550000000E1
8.003216300E-2	1.451999950E1	-3.221999741E1	-2.543999863E1
8.814874000E-2	1.434000015E1	-3.245999908E1	-2.513999939E1
9.634885600E-2	1.463999939E1	-3.215999985E1	-2.561999893E1
1.044805860E-1	1.505999947E1	-3.227999878E1	-2.597999954E1
1.125976630E-1	1.523999977E1	-3.221999741E1	-2.627999878E1
1.206837020E-1	1.547999954E1	-3.179999924E1	-2.700000000E1
1.288152020E-1	1.529999924E1	-3.185999870E1	-2.729999924E1
1.369125860E-1	1.505999947E1	-3.215999985E1	-2.735999870E1
1.450298940E-1	1.553999996E1	-3.221999741E1	-2.687999916E1
1.531694320E-1	1.535999966E1	-3.221999741E1	-2.687999916E1
1.612545480E-1	1.571999931E1	-3.197999954E1	-2.687999916E1
1.693725090E-1	1.607999992E1	-3.179999924E1	-2.681999969E1
1.775857400E-1	1.583999920E1	-3.197999954E1	-2.723999977E1
1.857046250E-1	1.626000023E1	-3.204000092E1	-2.711999893E1
1.938211250E-1	1.650000000E1	-3.155999947E1	-2.676000023E1
2.019222010E-1	1.626000023E1	-3.161999893E1	-2.735999870E1
2.100386630E-1	1.602000046E1	-3.143999863E1	-2.807999992E1
2.181762010E-1	1.571999931E1	-3.101999855E1	-2.861999893E1
2.263072400E-1	1.500000000E1	-3.065999985E1	-2.885999870E1
2.344225480E-1	1.457999992E1	-3.017999840E1	-2.855999947E1
2.425056240E-1	1.427999973E1	-2.963999939E1	-2.861999893E1
2.506367010E-1	1.427999973E1	-2.927999878E1	-2.892000008E1
2.588440470E-1	1.439999962E1	-2.921999931E1	-2.969999886E1
2.669615090E-1	1.457999992E1	-2.843999863E1	-3.005999947E1
2.750941240E-1	1.469999981E1	-2.807999992E1	-3.035999870E1
2.831810860E-1	1.469999981E1	-2.765999985E1	-3.071999931E1
2.912990090E-1	1.439999962E1	-2.729999924E1	-3.143999863E1
2.993834320E-1	1.367999935E1	-2.742000008E1	-3.192000008E1
3.075021630E-1	1.367999935E1	-2.663999939E1	-3.263999939E1
3.156273930E-1	1.284000015E1	-2.627999878E1	-3.300000000E1
3.237272780E-1	1.242000008E1	-2.573999977E1	-3.354000092E1
3.318430860E-1	1.217999935E1	-2.495999908E1	-3.438000107E1
3.400394700E-1	1.097999954E1	-2.495999908E1	-3.420000076E1
3.481713550E-1	1.043999958E1	-2.423999977E1	-3.450000000E1
3.562560860E-1	9.840000153E0	-2.418000031E1	-3.450000000E1
3.643404320E-1	9.239999771E0	-2.393999863E1	-3.486000061E1
3.724705470E-1	8.519999504E0	-2.400000000E1	-3.570000076E1
3.805750090E-1	7.259999752E0	-2.400000000E1	-3.659999847E1
3.886912390E-1	6.119999886E0	-2.363999939E1	-3.738000107E1
3.968235470E-1	5.039999962E0	-2.303999901E1	-3.834000015E1
4.049098160E-1	3.659999847E0	-2.250000000E1	-3.881999969E1
